,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:18.697000,25.5,25.0,781.1,False,44.4,305,1.3
1,0 days 00:01:15.947000,25.6,26.0,781.1,False,44.3,302,1.1
2,0 days 00:02:15.948000,25.6,25.0,781.2,False,44.4,246,0.7
3,0 days 00:03:15.948000,25.6,25.0,781.1,False,44.2,90,1.7
4,0 days 00:04:15.958000,25.5,25.0,781.1,False,43.7,0,0.8
5,0 days 00:05:15.970000,25.5,26.0,781.1,False,43.7,162,0.0
6,0 days 00:06:15.996000,25.7,26.0,781.1,False,43.8,342,0.8
7,0 days 00:07:15.996000,25.7,26.0,781.1,False,43.8,278,0.8
8,0 days 00:08:15.990000,25.6,25.0,781.1,False,43.9,263,1.1
9,0 days 00:09:15.990000,25.6,25.0,781.1,False,43.8,154,1.4
10,0 days 00:10:16.015000,25.6,25.0,781.1,False,43.7,167,0.6
11,0 days 00:11:16.031000,25.6,25.0,781.0,False,43.8,141,1.6
12,0 days 00:12:16.031000,25.6,26.0,781.0,False,43.7,199,1.9
13,0 days 00:13:16.032000,25.6,26.0,781.1,False,43.7,32,1.0
14,0 days 00:14:16.032000,25.7,25.0,781.0,False,43.4,36,0.3
15,0 days 00:15:16.032000,25.6,25.0,781.1,False,43.3,113,1.6
16,0 days 00:16:16.032000,25.7,26.0,781.0,False,43.3,131,0.7
17,0 days 00:17:16.030000,25.7,26.0,781.0,False,43.0,133,1.5
18,0 days 00:18:16.033000,25.6,25.0,781.0,False,42.9,53,2.2
19,0 days 00:19:16.024000,25.6,26.0,781.0,False,42.5,123,1.4
20,0 days 00:20:16.027000,25.7,26.0,781.0,False,42.5,0,1.2
21,0 days 00:21:16.043000,25.7,25.0,781.0,False,42.6,203,0.0
22,0 days 00:22:16.028000,25.5,26.0,781.0,False,42.1,60,0.6
23,0 days 00:23:16.044000,25.5,26.0,781.1,False,42.1,285,0.4
24,0 days 00:24:16.038000,25.6,26.0,780.9,False,42.1,244,0.6
25,0 days 00:25:16.047000,25.6,26.0,781.0,False,42.0,261,0.7
26,0 days 00:26:16.123000,25.5,26.0,781.0,False,41.9,287,1.8
27,0 days 00:27:16.091000,25.5,26.0,781.0,False,41.9,274,1.8
