,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:05.267000,21.8,64.0,1017.7,False,26.5,9,1.2
1,0 days 00:01:05.258000,21.8,64.0,1017.8,False,26.5,2,1.2
2,0 days 00:02:05.273000,21.7,64.0,1017.7,False,26.3,333,1.5
3,0 days 00:03:05.259000,21.7,64.0,1017.7,False,26.2,354,1.3
4,0 days 00:04:05.272000,21.6,64.0,1017.7,False,26.2,16,1.2
5,0 days 00:05:05.272000,21.6,64.0,1017.6,False,26.3,351,1.3
6,0 days 00:06:05.268000,21.6,64.0,1017.7,False,26.3,359,1.2
7,0 days 00:07:05.256000,21.6,64.0,1017.8,False,26.3,356,1.2
8,0 days 00:08:05.269000,21.6,64.0,1017.8,False,26.2,332,1.1
9,0 days 00:09:05.269000,21.6,64.0,1017.8,False,26.1,332,1.1
10,0 days 00:10:05.264000,21.6,65.0,1017.7,False,26.1,341,1.0
11,0 days 00:11:05.264000,21.6,65.0,1017.7,False,26.1,350,1.1
12,0 days 00:12:05.301000,21.6,65.0,1017.7,False,26.1,325,1.2
13,0 days 00:13:05.274000,21.6,65.0,1017.8,False,26.3,353,1.3
14,0 days 00:14:05.273000,21.6,65.0,1017.8,False,26.4,13,1.3
15,0 days 00:15:05.287000,21.6,65.0,1017.8,False,26.2,327,1.3
16,0 days 00:16:05.278000,21.6,65.0,1017.6,False,26.2,338,0.9
17,0 days 00:17:05.280000,21.6,66.0,1017.7,False,26.2,322,0.7
18,0 days 00:18:05.277000,21.6,66.0,1017.7,False,26.4,21,0.9
19,0 days 00:19:05.285000,21.6,66.0,1017.8,False,26.4,281,0.9
20,0 days 00:20:05.276000,21.6,66.0,1017.8,False,26.4,34,0.6
21,0 days 00:21:05.285000,21.6,66.0,1017.8,False,26.4,33,1.0
22,0 days 00:22:05.285000,21.6,66.0,1017.8,False,26.4,3,0.4
23,0 days 00:23:05.276000,21.6,66.0,1017.7,False,26.1,29,0.9
24,0 days 00:24:05.292000,21.6,67.0,1017.6,False,26.1,28,0.5
25,0 days 00:25:05.326000,21.6,67.0,1017.6,False,26.1,22,1.1
26,0 days 00:26:05.276000,21.6,67.0,1017.7,False,26.2,177,0.9
27,0 days 00:27:05.280000,21.6,67.0,1017.7,False,26.4,24,0.7
28,0 days 00:28:05.280000,21.6,67.0,1017.6,False,26.4,274,0.8
29,0 days 00:29:05.292000,21.6,67.0,1017.7,False,26.2,309,0.7
30,0 days 00:30:05.289000,21.5,68.0,1017.6,False,26.1,341,0.4
31,0 days 00:31:05.283000,21.6,68.0,1017.7,False,25.8,10,1.0
32,0 days 00:32:05.283000,21.6,68.0,1017.6,False,26.0,11,1.0
33,0 days 00:33:05.302000,21.6,68.0,1017.7,False,26.1,358,1.1
34,0 days 00:34:05.308000,21.6,68.0,1017.5,False,26.1,350,1.1
35,0 days 00:35:05.340000,21.6,69.0,1017.6,False,26.1,3,1.5
36,0 days 00:36:05.335000,21.6,69.0,1017.6,False,26.0,0,1.4
37,0 days 00:37:05.363000,21.5,69.0,1017.6,False,26.1,19,1.2
38,0 days 00:38:05.379000,21.6,69.0,1017.5,False,26.2,0,1.2
39,0 days 00:39:05.388000,21.6,69.0,1017.6,False,26.3,0,0.6
40,0 days 00:40:05.392000,21.6,69.0,1017.6,False,26.2,290,0.5
41,0 days 00:41:05.393000,21.5,69.0,1017.5,False,26.3,0,0.9
42,0 days 00:42:05.391000,21.5,69.0,1017.6,False,26.3,22,0.8
43,0 days 00:43:05.403000,21.5,69.0,1017.5,False,26.3,90,0.7
44,0 days 00:44:05.395000,21.5,69.0,1017.6,False,26.2,0,0.6
45,0 days 00:45:05.403000,21.5,70.0,1017.6,False,26.1,0,0.0
46,0 days 00:46:05.393000,21.5,69.0,1017.6,False,26.2,14,0.8
47,0 days 00:47:05.397000,21.5,69.0,1017.5,False,26.2,14,0.5
48,0 days 00:48:05.397000,21.5,69.0,1017.5,False,25.6,15,1.0
49,0 days 00:49:05.413000,21.5,70.0,1017.5,False,25.5,331,0.8
50,0 days 00:50:05.401000,21.4,70.0,1017.6,False,25.6,22,0.8
51,0 days 00:51:05.404000,21.4,70.0,1017.6,False,25.7,8,1.1
52,0 days 00:52:05.420000,21.5,70.0,1017.6,False,25.8,356,0.9
53,0 days 00:53:05.431000,21.5,70.0,1017.5,False,25.8,0,0.6
54,0 days 00:54:05.445000,21.5,70.0,1017.6,False,26.0,11,1.2
55,0 days 00:55:05.445000,21.5,70.0,1017.6,False,26.0,3,0.8
56,0 days 00:56:05.445000,21.5,70.0,1017.6,False,26.0,4,0.6
57,0 days 00:57:05.444000,21.5,70.0,1017.6,False,25.5,0,1.1
58,0 days 00:58:05.460000,21.4,71.0,1017.6,False,25.6,320,0.7
59,0 days 00:59:05.446000,21.5,71.0,1017.5,False,25.6,10,1.0
60,0 days 01:00:05.440000,21.5,71.0,1017.6,False,25.8,6,1.0
61,0 days 01:01:05.445000,21.5,71.0,1017.6,False,25.6,9,0.9
62,0 days 01:02:05.455000,21.4,71.0,1017.5,False,25.3,11,1.2
