,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:01:01.124000,26.0,47.0,1015.0,False,32.6,340,2.9
1,0 days 00:02:01.125000,26.0,47.0,1015.1,False,32.6,353,3.0
2,0 days 00:03:01.137000,25.9,47.0,1015.0,False,32.6,344,2.8
3,0 days 00:04:01.134000,25.9,47.0,1015.0,False,32.6,338,2.7
4,0 days 00:05:01.126000,25.9,47.0,1015.1,False,32.6,352,2.5
5,0 days 00:06:01.218000,25.9,47.0,1015.1,False,32.6,352,2.5
6,0 days 00:07:01.197000,25.9,47.0,1015.1,False,32.6,352,2.5
7,0 days 00:08:01.213000,25.8,47.0,1015.0,False,32.3,335,2.6
8,0 days 00:09:01.204000,25.8,47.0,1015.0,False,32.3,342,2.7
9,0 days 00:10:01.217000,25.8,48.0,1015.0,False,32.2,351,3.0
10,0 days 00:11:01.209000,25.8,48.0,1015.0,False,32.4,348,2.9
11,0 days 00:12:01.214000,25.7,48.0,1015.1,False,32.5,342,3.0
12,0 days 00:13:01.206000,25.7,48.0,1015.0,False,32.5,342,3.1
13,0 days 00:14:01.214000,25.7,48.0,1015.1,False,32.5,334,3.2
14,0 days 00:15:01.217000,25.7,48.0,1015.1,False,32.3,348,3.4
15,0 days 00:16:01.219000,25.7,49.0,1015.1,False,32.3,352,2.5
16,0 days 00:17:01.204000,25.6,48.0,1015.1,False,32.2,344,2.3
17,0 days 00:18:01.208000,25.7,48.0,1015.1,False,32.3,345,2.1
18,0 days 00:19:01.221000,25.6,48.0,1015.1,False,32.3,336,2.3
19,0 days 00:20:01.220000,25.6,48.0,1015.1,False,32.2,347,2.7
20,0 days 00:21:01.211000,25.6,48.0,1015.1,False,32.1,334,2.7
21,0 days 00:22:01.223000,25.6,48.0,1015.2,False,32.1,336,2.4
22,0 days 00:23:01.233000,25.6,48.0,1015.2,False,32.1,342,2.1
23,0 days 00:24:01.224000,25.6,48.0,1015.2,False,32.1,341,2.6
24,0 days 00:25:01.224000,25.5,48.0,1015.2,False,31.9,343,2.5
25,0 days 00:26:01.228000,25.5,48.0,1015.2,False,32.2,0,2.3
26,0 days 00:27:01.225000,25.5,48.0,1015.1,False,32.2,356,1.9
27,0 days 00:28:01.216000,25.5,48.0,1015.2,False,32.1,332,2.7
28,0 days 00:29:01.223000,25.4,48.0,1015.2,False,31.9,348,2.1
29,0 days 00:30:01.243000,25.4,48.0,1015.2,False,32.1,343,2.4
30,0 days 00:31:01.229000,25.4,48.0,1015.3,False,31.8,344,2.3
31,0 days 00:32:01.235000,25.3,48.0,1015.2,False,31.8,333,2.8
32,0 days 00:33:01.245000,25.3,49.0,1015.2,False,31.8,338,2.7
33,0 days 00:34:01.261000,25.2,49.0,1015.3,False,31.6,342,2.4
34,0 days 00:35:01.247000,25.2,49.0,1015.3,False,31.5,348,2.9
35,0 days 00:36:01.230000,25.2,49.0,1015.3,False,31.5,346,2.5
36,0 days 00:37:01.231000,25.2,49.0,1015.2,False,31.4,355,2.4
37,0 days 00:38:01.245000,25.2,49.0,1015.4,False,31.6,347,2.7
38,0 days 00:39:01.241000,25.1,49.0,1015.2,False,31.7,342,2.3
39,0 days 00:40:01.235000,25.1,49.0,1015.4,False,31.7,350,2.5
40,0 days 00:41:01.236000,25.1,49.0,1015.4,False,31.4,345,3.0
41,0 days 00:42:01.241000,25.1,50.0,1015.4,False,31.4,347,2.4
42,0 days 00:43:01.239000,25.1,50.0,1015.3,False,31.4,356,2.2
43,0 days 00:44:01.230000,25.1,50.0,1015.4,False,31.4,344,2.7
44,0 days 00:45:01.245000,25.0,50.0,1015.3,False,31.3,340,2.6
45,0 days 00:46:01.246000,25.0,50.0,1015.4,False,31.3,346,2.8
46,0 days 00:47:01.244000,25.0,50.0,1015.4,False,31.2,1,2.3
47,0 days 00:48:01.271000,25.0,50.0,1015.4,False,31.3,348,2.5
48,0 days 00:49:01.255000,25.0,50.0,1015.5,False,31.4,346,2.4
49,0 days 00:50:01.233000,25.0,50.0,1015.4,False,31.2,331,1.5
50,0 days 00:51:01.248000,25.0,50.0,1015.5,False,31.0,167,2.1
51,0 days 00:52:01.241000,25.0,50.0,1015.4,False,31.0,349,1.7
52,0 days 00:53:01.254000,25.0,50.0,1015.6,False,31.1,342,1.7
53,0 days 00:54:01.242000,24.9,50.0,1015.6,False,31.1,356,1.8
54,0 days 00:55:01.249000,24.9,50.0,1015.5,False,30.9,355,1.3
55,0 days 00:56:01.466000,24.9,50.0,1015.5,False,30.9,323,1.5
56,0 days 00:57:01.252000,24.8,51.0,1015.5,False,30.9,348,2.1
57,0 days 00:58:01.257000,24.8,50.0,1015.6,False,30.9,357,0.9
58,0 days 00:59:01.247000,24.8,50.0,1015.5,False,31.0,334,1.6
59,0 days 01:00:01.261000,24.8,51.0,1015.5,False,30.7,339,1.6
60,0 days 01:01:01.252000,24.8,50.0,1015.6,False,30.7,349,1.8
61,0 days 01:02:01.253000,24.7,50.0,1015.6,False,30.7,19,1.7
62,0 days 01:03:01.260000,24.7,50.0,1015.6,False,30.7,324,1.9
63,0 days 01:04:01.259000,24.6,51.0,1015.6,False,30.7,127,1.8
64,0 days 01:05:01.261000,24.6,50.0,1015.7,False,30.7,336,2.6
65,0 days 01:06:01.266000,24.6,50.0,1015.7,False,30.7,336,2.6
66,0 days 01:07:01.271000,24.6,50.0,1015.7,False,30.7,266,1.7
67,0 days 01:08:01.261000,24.5,50.0,1015.7,False,30.7,2,1.3
68,0 days 01:09:01.258000,24.5,50.0,1015.6,False,30.8,6,1.3
69,0 days 01:10:01.284000,24.5,50.0,1015.7,False,30.6,10,1.0
70,0 days 01:11:01.300000,24.5,50.0,1015.8,False,30.6,359,1.5
71,0 days 01:12:01.300000,24.5,50.0,1015.7,False,30.2,352,1.5
72,0 days 01:13:01.319000,24.5,51.0,1015.7,False,30.2,321,1.6
73,0 days 01:14:01.303000,24.4,51.0,1015.8,False,30.3,20,2.1
74,0 days 01:15:01.309000,24.4,51.0,1015.8,False,30.3,276,0.8
75,0 days 01:16:01.335000,24.4,51.0,1015.7,False,30.3,317,0.9
