,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:47:26.529000,PIA,81,,1.0,1.0,,,,28.416,24.692,,0 days 00:47:01.976000,0 days 00:47:26.830000,238.0,288.0,277.0,241.0,False,MEDIUM,6.0,False,McLaren,0 days 00:46:00.730000,2025-11-29 14:03:34.555,1,1.0,False,,False,False,,
1,0 days 00:48:51.615000,PIA,81,0 days 00:01:25.086000,2.0,1.0,,,31.501,28.571,25.014,0 days 00:47:58.065000,0 days 00:48:26.636000,0 days 00:48:51.650000,242.0,288.0,278.0,300.0,True,MEDIUM,7.0,False,McLaren,0 days 00:47:26.529000,2025-11-29 14:05:00.354,1,1.0,False,,False,True,85.086,85.086
2,0 days 00:50:16.761000,PIA,81,0 days 00:01:25.146000,3.0,1.0,,,31.465,28.823,24.858,0 days 00:49:23.115000,0 days 00:49:51.938000,0 days 00:50:16.796000,238.0,288.0,279.0,302.0,False,MEDIUM,8.0,False,McLaren,0 days 00:48:51.615000,2025-11-29 14:06:25.440,1,1.0,False,,False,True,85.146,85.146
3,0 days 00:51:41.683000,PIA,81,0 days 00:01:24.922000,4.0,1.0,,,31.432,28.716,24.774,0 days 00:50:48.228000,0 days 00:51:16.944000,0 days 00:51:41.718000,238.0,289.0,279.0,303.0,True,MEDIUM,9.0,False,McLaren,0 days 00:50:16.761000,2025-11-29 14:07:50.586,1,1.0,False,,False,True,84.922,84.922
4,0 days 00:53:06.718000,PIA,81,0 days 00:01:25.035000,5.0,1.0,,,31.363,28.861,24.811,0 days 00:52:13.081000,0 days 00:52:41.942000,0 days 00:53:06.753000,238.0,289.0,280.0,304.0,False,MEDIUM,10.0,False,McLaren,0 days 00:51:41.683000,2025-11-29 14:09:15.508,1,1.0,False,,False,True,85.035,85.035
5,0 days 00:54:31.352000,PIA,81,0 days 00:01:24.634000,6.0,1.0,,,31.247,28.683,24.704,0 days 00:53:38,0 days 00:54:06.683000,0 days 00:54:31.387000,240.0,290.0,279.0,304.0,True,MEDIUM,11.0,False,McLaren,0 days 00:53:06.718000,2025-11-29 14:10:40.543,1,1.0,False,,False,True,84.634,84.634
6,0 days 00:55:56.186000,PIA,81,0 days 00:01:24.834000,7.0,1.0,,,31.247,28.86,24.727,,0 days 00:55:31.494000,0 days 00:55:56.221000,240.0,289.0,280.0,305.0,False,MEDIUM,12.0,False,McLaren,0 days 00:54:31.352000,2025-11-29 14:12:05.177,1,1.0,False,,False,True,84.834,84.834
7,0 days 00:57:20.894000,PIA,81,0 days 00:01:24.708000,8.0,1.0,,,31.29,28.808,24.61,0 days 00:56:27.511000,0 days 00:56:56.319000,0 days 00:57:20.929000,239.0,289.0,280.0,305.0,False,MEDIUM,13.0,False,McLaren,0 days 00:55:56.186000,2025-11-29 14:13:30.011,1,1.0,False,,False,True,84.708,84.708
8,0 days 00:58:45.784000,PIA,81,0 days 00:01:24.890000,9.0,1.0,,,31.288,28.898,24.704,0 days 00:57:52.217000,0 days 00:58:21.115000,0 days 00:58:45.819000,238.0,289.0,280.0,305.0,False,MEDIUM,14.0,False,McLaren,0 days 00:57:20.894000,2025-11-29 14:14:54.719,1,1.0,False,,False,True,84.89,84.89
9,0 days 01:00:10.522000,PIA,81,0 days 00:01:24.738000,10.0,1.0,,,31.257,28.851,24.63,0 days 00:59:17.076000,0 days 00:59:45.927000,0 days 01:00:10.557000,240.0,289.0,280.0,305.0,False,MEDIUM,15.0,False,McLaren,0 days 00:58:45.784000,2025-11-29 14:16:19.609,1,1.0,False,,False,True,84.738,84.738
10,0 days 01:01:35.521000,PIA,81,0 days 00:01:24.999000,11.0,1.0,,,31.374,28.843,24.782,0 days 01:00:41.931000,0 days 01:01:10.774000,0 days 01:01:35.556000,239.0,289.0,280.0,305.0,False,MEDIUM,16.0,False,McLaren,0 days 01:00:10.522000,2025-11-29 14:17:44.347,1,1.0,False,,False,True,84.999,84.999
11,0 days 01:03:00.522000,PIA,81,0 days 00:01:25.001000,12.0,1.0,,,31.286,28.961,24.754,0 days 01:02:06.842000,0 days 01:02:35.803000,0 days 01:03:00.557000,239.0,290.0,280.0,305.0,False,MEDIUM,17.0,False,McLaren,0 days 01:01:35.521000,2025-11-29 14:19:09.346,1,1.0,False,,False,True,85.001,85.001
12,0 days 01:04:25.423000,PIA,81,0 days 00:01:24.901000,13.0,1.0,,,31.264,28.822,24.815,0 days 01:03:31.821000,0 days 01:04:00.643000,0 days 01:04:25.458000,239.0,290.0,280.0,305.0,False,MEDIUM,18.0,False,McLaren,0 days 01:03:00.522000,2025-11-29 14:20:34.347,1,1.0,False,,False,True,84.901,84.901
13,0 days 01:05:50.399000,PIA,81,0 days 00:01:24.976000,14.0,1.0,,,31.257,28.869,24.85,0 days 01:04:56.715000,0 days 01:05:25.584000,0 days 01:05:50.434000,239.0,290.0,281.0,305.0,False,MEDIUM,19.0,False,McLaren,0 days 01:04:25.423000,2025-11-29 14:21:59.248,1,1.0,False,,False,True,84.976,84.976
14,0 days 01:07:15.322000,PIA,81,0 days 00:01:24.923000,15.0,1.0,,,31.274,28.888,24.761,0 days 01:06:21.708000,0 days 01:06:50.596000,0 days 01:07:15.357000,238.0,290.0,281.0,305.0,False,MEDIUM,20.0,False,McLaren,0 days 01:05:50.399000,2025-11-29 14:23:24.224,1,1.0,False,,False,True,84.923,84.923
15,0 days 01:08:39.919000,PIA,81,0 days 00:01:24.597000,16.0,1.0,,,31.18,28.738,24.679,0 days 01:07:46.537000,0 days 01:08:15.275000,0 days 01:08:39.954000,237.0,290.0,281.0,306.0,True,MEDIUM,21.0,False,McLaren,0 days 01:07:15.322000,2025-11-29 14:24:49.147,1,1.0,False,,False,True,84.597,84.597
16,0 days 01:10:04.002000,PIA,81,0 days 00:01:24.083000,17.0,1.0,,,31.037,28.693,24.353,0 days 01:09:10.991000,0 days 01:09:39.684000,0 days 01:10:04.037000,240.0,290.0,282.0,307.0,True,MEDIUM,22.0,False,McLaren,0 days 01:08:39.919000,2025-11-29 14:26:13.744,1,1.0,False,,False,True,84.083,84.083
17,0 days 01:11:28.050000,PIA,81,0 days 00:01:24.048000,18.0,1.0,,,31.113,28.664,24.271,0 days 01:10:35.150000,0 days 01:11:03.814000,0 days 01:11:28.085000,240.0,290.0,282.0,307.0,True,MEDIUM,23.0,False,McLaren,0 days 01:10:04.002000,2025-11-29 14:27:37.827,1,1.0,False,,False,True,84.048,84.048
18,0 days 01:12:52.038000,PIA,81,0 days 00:01:23.988000,19.0,1.0,,,30.977,28.737,24.274,0 days 01:11:59.062000,0 days 01:12:27.799000,0 days 01:12:52.073000,242.0,289.0,282.0,307.0,True,MEDIUM,24.0,False,McLaren,0 days 01:11:28.050000,2025-11-29 14:29:01.875,1,1.0,False,,False,True,83.988,83.988
19,0 days 00:47:27.803000,RUS,63,,1.0,1.0,,,,28.751,24.75,,0 days 00:47:03.111000,0 days 00:47:27.961000,243.0,288.0,280.0,243.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:46:00.730000,2025-11-29 14:03:34.555,1,2.0,False,,False,False,,
20,0 days 00:48:52.888000,RUS,63,0 days 00:01:25.085000,2.0,1.0,,,31.518,28.766,24.801,0 days 00:47:59.341000,0 days 00:48:28.107000,0 days 00:48:52.908000,243.0,289.0,280.0,293.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:47:27.803000,2025-11-29 14:05:01.628,1,2.0,False,,False,True,85.085,85.085
21,0 days 00:50:18.085000,RUS,63,0 days 00:01:25.197000,3.0,1.0,,,31.367,28.988,24.842,0 days 00:49:24.275000,0 days 00:49:53.263000,0 days 00:50:18.105000,242.0,290.0,280.0,308.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:48:52.888000,2025-11-29 14:06:26.713,1,2.0,False,,False,True,85.197,85.197
22,0 days 00:51:43.096000,RUS,63,0 days 00:01:25.011000,4.0,1.0,,,31.355,29.014,24.642,0 days 00:50:49.460000,0 days 00:51:18.474000,0 days 00:51:43.116000,239.0,289.0,281.0,309.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:50:18.085000,2025-11-29 14:07:51.910,1,2.0,False,,False,True,85.011,85.011
23,0 days 00:53:08.021000,RUS,63,0 days 00:01:24.925000,5.0,1.0,,,31.306,29.109,24.51,0 days 00:52:14.422000,0 days 00:52:43.531000,0 days 00:53:08.041000,241.0,289.0,281.0,309.0,True,MEDIUM,11.0,False,Mercedes,0 days 00:51:43.096000,2025-11-29 14:09:16.921,1,2.0,False,,False,True,84.925,84.92500000000001
24,0 days 00:54:32.877000,RUS,63,0 days 00:01:24.856000,6.0,1.0,,,31.132,29.184,24.54,0 days 00:53:39.173000,0 days 00:54:08.357000,0 days 00:54:32.897000,240.0,289.0,282.0,309.0,True,MEDIUM,12.0,False,Mercedes,0 days 00:53:08.021000,2025-11-29 14:10:41.846,1,2.0,False,,False,True,84.856,84.856
25,0 days 00:55:57.862000,RUS,63,0 days 00:01:24.985000,7.0,1.0,,,31.24,29.197,24.548,0 days 00:55:04.137000,0 days 00:55:33.334000,0 days 00:55:57.882000,243.0,289.0,281.0,309.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:54:32.877000,2025-11-29 14:12:06.702,1,2.0,False,,False,True,84.985,84.985
26,0 days 00:57:22.696000,RUS,63,0 days 00:01:24.834000,8.0,1.0,,,31.098,29.257,24.479,0 days 00:56:28.980000,0 days 00:56:58.237000,0 days 00:57:22.716000,244.0,288.0,281.0,310.0,True,MEDIUM,14.0,False,Mercedes,0 days 00:55:57.862000,2025-11-29 14:13:31.687,1,2.0,False,,False,True,84.834,84.834
27,0 days 00:58:47.625000,RUS,63,0 days 00:01:24.929000,9.0,1.0,,,31.15,29.229,24.55,0 days 00:57:53.866000,0 days 00:58:23.095000,0 days 00:58:47.645000,243.0,288.0,282.0,309.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:57:22.696000,2025-11-29 14:14:56.521,1,2.0,True,TRACK LIMITS AT TURN 10 LAP 9 ,False,True,84.929,84.929
28,0 days 01:00:12.489000,RUS,63,0 days 00:01:24.864000,10.0,1.0,,,31.197,29.185,24.482,0 days 00:59:18.842000,0 days 00:59:48.027000,0 days 01:00:12.509000,244.0,290.0,282.0,310.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:58:47.625000,2025-11-29 14:16:21.450,1,2.0,False,,False,True,84.864,84.864
29,0 days 01:01:37.534000,RUS,63,0 days 00:01:25.045000,11.0,1.0,,,31.277,29.241,24.527,0 days 01:00:43.786000,0 days 01:01:13.027000,0 days 01:01:37.554000,243.0,289.0,283.0,309.0,False,MEDIUM,17.0,False,Mercedes,0 days 01:00:12.489000,2025-11-29 14:17:46.314,1,2.0,False,,False,True,85.045,85.045
30,0 days 01:03:02.523000,RUS,63,0 days 00:01:24.989000,12.0,1.0,,,31.259,29.234,24.496,0 days 01:02:08.813000,0 days 01:02:38.047000,0 days 01:03:02.543000,245.0,289.0,282.0,309.0,False,MEDIUM,18.0,False,Mercedes,0 days 01:01:37.534000,2025-11-29 14:19:11.359,1,2.0,False,,False,True,84.989,84.989
31,0 days 01:04:27.484000,RUS,63,0 days 00:01:24.961000,13.0,1.0,,,31.31,29.274,24.377,0 days 01:03:33.853000,0 days 01:04:03.127000,0 days 01:04:27.504000,243.0,289.0,282.0,310.0,False,MEDIUM,19.0,False,Mercedes,0 days 01:03:02.523000,2025-11-29 14:20:36.348,1,2.0,False,,False,True,84.961,84.961
32,0 days 01:05:52.616000,RUS,63,0 days 00:01:25.132000,14.0,1.0,,,31.235,29.351,24.546,0 days 01:04:58.739000,0 days 01:05:28.090000,0 days 01:05:52.636000,244.0,289.0,282.0,309.0,False,MEDIUM,20.0,False,Mercedes,0 days 01:04:27.484000,2025-11-29 14:22:01.309,1,2.0,False,,False,True,85.132,85.132
33,0 days 01:07:17.348000,RUS,63,0 days 00:01:24.732000,15.0,1.0,,,31.143,29.176,24.413,0 days 01:06:23.779000,0 days 01:06:52.955000,0 days 01:07:17.368000,245.0,289.0,282.0,309.0,True,MEDIUM,21.0,False,Mercedes,0 days 01:05:52.616000,2025-11-29 14:23:26.441,1,2.0,False,,False,True,84.732,84.732
34,0 days 01:08:41.912000,RUS,63,0 days 00:01:24.564000,16.0,1.0,,,31.036,29.169,24.359,0 days 01:07:48.404000,0 days 01:08:17.573000,0 days 01:08:41.932000,244.0,290.0,282.0,311.0,True,MEDIUM,22.0,False,Mercedes,0 days 01:07:17.348000,2025-11-29 14:24:51.173,1,2.0,False,,False,True,84.564,84.564
35,0 days 01:10:06.581000,RUS,63,0 days 00:01:24.669000,17.0,1.0,,,31.129,29.188,24.352,0 days 01:09:13.061000,0 days 01:09:42.249000,0 days 01:10:06.601000,244.0,289.0,283.0,311.0,False,MEDIUM,23.0,False,Mercedes,0 days 01:08:41.912000,2025-11-29 14:26:15.737,1,2.0,False,,False,True,84.669,84.669
36,0 days 01:11:31.166000,RUS,63,0 days 00:01:24.585000,18.0,1.0,,,31.093,29.182,24.31,0 days 01:10:37.694000,0 days 01:11:06.876000,0 days 01:11:31.186000,250.0,289.0,284.0,311.0,False,MEDIUM,24.0,False,Mercedes,0 days 01:10:06.581000,2025-11-29 14:27:40.406,1,2.0,False,,False,True,84.585,84.585
37,0 days 01:12:56.989000,RUS,63,0 days 00:01:25.823000,19.0,1.0,,,31.228,29.473,25.122,0 days 01:12:02.414000,0 days 01:12:31.887000,0 days 01:12:57.009000,239.0,289.0,284.0,311.0,False,MEDIUM,25.0,False,Mercedes,0 days 01:11:31.166000,2025-11-29 14:29:04.991,1,2.0,False,,False,True,85.823,85.82300000000001
38,0 days 00:47:28.976000,NOR,4,,1.0,1.0,,,,29.03,24.748,,0 days 00:47:04.255000,0 days 00:47:29.234000,237.0,287.0,279.0,245.0,False,HARD,1.0,True,McLaren,0 days 00:46:00.730000,2025-11-29 14:03:34.555,1,3.0,False,,False,False,,
39,0 days 00:48:54.111000,NOR,4,0 days 00:01:25.135000,2.0,1.0,,,31.619,28.844,24.672,0 days 00:48:00.622000,0 days 00:48:29.466000,0 days 00:48:54.138000,241.0,288.0,280.0,305.0,True,HARD,2.0,True,McLaren,0 days 00:47:28.976000,2025-11-29 14:05:02.801,1,3.0,False,,False,True,85.135,85.135
40,0 days 00:50:19.209000,NOR,4,0 days 00:01:25.098000,3.0,1.0,,,31.427,28.973,24.698,0 days 00:49:25.565000,0 days 00:49:54.538000,0 days 00:50:19.236000,236.0,289.0,281.0,308.0,True,HARD,3.0,True,McLaren,0 days 00:48:54.111000,2025-11-29 14:06:27.936,1,3.0,False,,False,True,85.098,85.098
41,0 days 00:51:44.312000,NOR,4,0 days 00:01:25.103000,4.0,1.0,,,31.267,29.212,24.624,0 days 00:50:50.503000,0 days 00:51:19.715000,0 days 00:51:44.339000,233.0,288.0,282.0,325.0,False,HARD,4.0,True,McLaren,0 days 00:50:19.209000,2025-11-29 14:07:53.034,1,3.0,False,,False,True,85.103,85.103
42,0 days 00:53:09.281000,NOR,4,0 days 00:01:24.969000,5.0,1.0,,,31.177,29.229,24.563,0 days 00:52:15.516000,0 days 00:52:44.745000,0 days 00:53:09.308000,238.0,288.0,282.0,321.0,True,HARD,5.0,True,McLaren,0 days 00:51:44.312000,2025-11-29 14:09:18.137,1,3.0,False,,False,True,84.969,84.969
43,0 days 00:54:34.362000,NOR,4,0 days 00:01:25.081000,6.0,1.0,,,31.291,29.214,24.576,0 days 00:53:40.599000,0 days 00:54:09.813000,0 days 00:54:34.389000,237.0,288.0,281.0,309.0,False,HARD,6.0,True,McLaren,0 days 00:53:09.281000,2025-11-29 14:10:43.106,1,3.0,False,,False,True,85.081,85.08099999999999
