,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:21:40.660000,PIA,81,,1.0,1.0,0 days 00:19:36.751000,,,37.085,32.914,,0 days 00:21:07.983000,0 days 00:21:40.660000,205.0,261.0,292.0,157.0,False,SOFT,1.0,True,McLaren,0 days 00:19:36.751000,2025-05-31 14:06:06.394,1,,False,,False,False,,
1,0 days 00:22:53.211000,PIA,81,0 days 00:01:12.551000,2.0,1.0,,,21.477,29.062,22.012,0 days 00:22:02.137000,0 days 00:22:31.199000,0 days 00:22:53.211000,296.0,315.0,297.0,327.0,True,SOFT,2.0,True,McLaren,0 days 00:21:40.660000,2025-05-31 14:08:10.303,1,,False,,False,True,72.551,72.551
2,0 days 00:24:36.804000,PIA,81,0 days 00:01:43.593000,3.0,1.0,,0 days 00:24:34.189000,34.596,37.166,31.831,0 days 00:23:27.807000,0 days 00:24:04.973000,0 days 00:24:36.804000,220.0,213.0,,137.0,False,SOFT,3.0,True,McLaren,0 days 00:22:53.211000,2025-05-31 14:09:22.854,1,,False,,False,False,103.593,103.593
3,0 days 00:28:53.745000,PIA,81,,4.0,2.0,0 days 00:26:59.708000,,,38.614,25.942,,0 days 00:28:27.835000,0 days 00:28:53.822000,216.0,233.0,295.0,149.0,False,SOFT,4.0,False,McLaren,0 days 00:24:36.804000,2025-05-31 14:11:06.447,1,,False,,False,False,,
4,0 days 00:30:49.757000,PIA,81,0 days 00:01:56.012000,5.0,2.0,,0 days 00:30:15.930000,21.784,31.625,62.603,0 days 00:29:15.529000,0 days 00:29:47.154000,0 days 00:30:49.757000,290.0,201.0,,326.0,False,SOFT,5.0,False,McLaren,0 days 00:28:53.745000,2025-05-31 14:15:23.388,1,,False,,False,False,116.012,116.012
5,0 days 00:44:33.638000,PIA,81,,6.0,3.0,0 days 00:42:36.678000,,,38.985,27.294,,0 days 00:44:06.488000,0 days 00:44:33.672000,220.0,97.0,297.0,88.0,False,SOFT,1.0,True,McLaren,0 days 00:30:49.757000,2025-05-31 14:17:19.400,1,,False,,False,False,,
6,0 days 00:45:45.636000,PIA,81,0 days 00:01:11.998000,7.0,3.0,,,21.366,28.729,21.903,0 days 00:44:55.004000,0 days 00:45:23.733000,0 days 00:45:45.636000,294.0,312.0,295.0,329.0,True,SOFT,2.0,True,McLaren,0 days 00:44:33.638000,2025-05-31 14:31:03.281,1,,False,,False,True,71.998,71.99799999999999
7,0 days 00:47:24.113000,PIA,81,0 days 00:01:38.477000,8.0,3.0,,0 days 00:47:21.379000,29.208,37.368,31.901,0 days 00:46:14.844000,0 days 00:46:52.212000,0 days 00:47:24.113000,210.0,191.0,,207.0,False,SOFT,3.0,True,McLaren,0 days 00:45:45.636000,2025-05-31 14:32:15.279,1,,False,,False,False,98.477,98.47699999999999
8,0 days 01:03:57.701000,PIA,81,,9.0,4.0,0 days 01:02:10.097000,,,38.127,26.635,,0 days 01:03:31.169000,0 days 01:03:57.978000,229.0,262.0,296.0,88.0,False,SOFT,1.0,True,McLaren,0 days 00:47:24.113000,2025-05-31 14:33:53.756,1,,False,,False,False,,
9,0 days 01:05:09.537000,PIA,81,0 days 00:01:11.836000,10.0,4.0,,,21.422,28.656,21.758,0 days 01:04:19.123000,0 days 01:04:47.779000,0 days 01:05:09.537000,294.0,314.0,296.0,324.0,True,SOFT,2.0,True,McLaren,0 days 01:03:57.701000,2025-05-31 14:50:27.344,1,,False,,False,True,71.836,71.836
10,0 days 01:06:50.256000,PIA,81,0 days 00:01:40.719000,11.0,4.0,,0 days 01:06:47.620000,32.293,37.197,31.229,0 days 01:05:41.830000,0 days 01:06:19.027000,0 days 01:06:50.256000,215.0,210.0,,227.0,False,SOFT,3.0,True,McLaren,0 days 01:05:09.537000,2025-05-31 14:51:39.180,1,,False,,False,False,100.719,100.71900000000001
11,0 days 01:12:27.987000,PIA,81,,12.0,5.0,0 days 01:10:30.311000,,,36.948,24.85,,0 days 01:12:03.137000,0 days 01:12:28.209000,237.0,263.0,296.0,72.0,False,SOFT,1.0,True,McLaren,0 days 01:06:50.256000,2025-05-31 14:53:19.899,1,,False,,False,False,,
12,0 days 01:13:39.533000,PIA,81,0 days 00:01:11.546000,13.0,5.0,,,21.259,28.58,21.707,0 days 01:12:49.246000,0 days 01:13:17.826000,0 days 01:13:39.533000,294.0,311.0,297.0,326.0,True,SOFT,2.0,True,McLaren,0 days 01:12:27.987000,2025-05-31 14:58:57.630,1,,False,,False,True,71.546,71.54599999999999
13,0 days 01:15:16.651000,PIA,81,,14.0,5.0,,0 days 01:15:16.651000,27.809,36.674,,0 days 01:14:07.580000,0 days 01:14:44.066000,,213.0,178.0,,236.0,False,SOFT,3.0,True,McLaren,0 days 01:13:39.533000,2025-05-31 15:00:09.176,1,,False,,False,False,,
14,0 days 00:20:53.585000,NOR,4,,1.0,1.0,0 days 00:18:56.890000,,,38.179,24.949,,0 days 00:20:28.636000,0 days 00:20:53.683000,210.0,253.0,293.0,143.0,False,SOFT,1.0,True,McLaren,0 days 00:18:56.890000,2025-05-31 14:05:26.533,1,,False,,False,False,,
15,0 days 00:22:06.384000,NOR,4,0 days 00:01:12.799000,2.0,1.0,,,21.439,29.139,22.221,0 days 00:21:15.024000,0 days 00:21:44.163000,0 days 00:22:06.384000,294.0,309.0,294.0,326.0,True,SOFT,2.0,True,McLaren,0 days 00:20:53.585000,2025-05-31 14:07:23.228,1,,False,,False,True,72.799,72.799
16,0 days 00:23:50.175000,NOR,4,0 days 00:01:43.791000,3.0,1.0,,0 days 00:23:47.464000,29.847,38.703,35.241,0 days 00:22:36.231000,0 days 00:23:14.934000,0 days 00:23:50.175000,203.0,204.0,,240.0,False,SOFT,3.0,True,McLaren,0 days 00:22:06.384000,2025-05-31 14:08:36.027,1,,False,,False,False,103.791,103.79100000000001
17,0 days 00:28:23.034000,NOR,4,,4.0,2.0,0 days 00:26:44.080000,,,39.056,24.99,,0 days 00:27:58.044000,0 days 00:28:23.275000,207.0,227.0,292.0,122.0,False,SOFT,4.0,False,McLaren,0 days 00:23:50.175000,2025-05-31 14:10:19.818,1,,False,,False,False,,
18,0 days 00:29:36.271000,NOR,4,0 days 00:01:13.237000,5.0,2.0,,,21.664,29.349,22.224,0 days 00:28:44.698000,0 days 00:29:14.047000,0 days 00:29:36.271000,291.0,309.0,294.0,324.0,False,SOFT,5.0,False,McLaren,0 days 00:28:23.034000,2025-05-31 14:14:52.677,1,,False,,False,True,73.237,73.23700000000001
19,0 days 00:31:45.941000,NOR,4,0 days 00:02:09.670000,6.0,2.0,,0 days 00:31:15.387000,28.172,37.972,63.526,0 days 00:30:04.443000,0 days 00:30:42.415000,0 days 00:31:45.941000,207.0,88.0,,263.0,False,SOFT,6.0,False,McLaren,0 days 00:29:36.271000,2025-05-31 14:16:05.914,1,,False,,False,False,129.67,129.67000000000002
20,0 days 00:43:40.178000,NOR,4,,7.0,3.0,0 days 00:41:30.060000,,,38.968,24.906,,0 days 00:43:15.355000,0 days 00:43:40.188000,189.0,255.0,295.0,77.0,False,SOFT,1.0,True,McLaren,0 days 00:31:45.941000,2025-05-31 14:18:15.584,1,,False,,False,False,,
21,0 days 00:44:52.234000,NOR,4,0 days 00:01:12.056000,8.0,3.0,,,21.504,28.646,21.906,0 days 00:44:01.682000,0 days 00:44:30.328000,0 days 00:44:52.234000,294.0,312.0,296.0,325.0,True,SOFT,2.0,True,McLaren,0 days 00:43:40.178000,2025-05-31 14:30:09.821,1,,False,,False,True,72.056,72.05600000000001
22,0 days 00:46:32.342000,NOR,4,0 days 00:01:40.108000,9.0,3.0,,0 days 00:46:29.528000,29.751,37.375,32.982,0 days 00:45:21.985000,0 days 00:45:59.360000,0 days 00:46:32.342000,205.0,200.0,,234.0,False,SOFT,3.0,True,McLaren,0 days 00:44:52.234000,2025-05-31 14:31:21.877,1,,False,,False,False,100.108,100.108
23,0 days 01:05:10.810000,NOR,4,,10.0,4.0,0 days 01:03:25.168000,,,38.273,26.369,,0 days 01:04:44.522000,0 days 01:05:10.810000,223.0,268.0,296.0,106.0,False,SOFT,1.0,True,McLaren,0 days 00:46:32.342000,2025-05-31 14:33:01.985,1,,False,,False,False,,
24,0 days 01:06:22.629000,NOR,4,0 days 00:01:11.819000,11.0,4.0,,,21.395,28.682,21.742,0 days 01:05:32.205000,0 days 01:06:00.887000,0 days 01:06:22.629000,294.0,309.0,296.0,325.0,True,SOFT,2.0,True,McLaren,0 days 01:05:10.810000,2025-05-31 14:51:40.453,1,,False,,False,True,71.819,71.819
25,0 days 01:07:58.685000,NOR,4,0 days 00:01:36.056000,12.0,4.0,,0 days 01:07:55.865000,27.145,36.142,32.769,0 days 01:06:49.774000,0 days 01:07:25.916000,0 days 01:07:58.685000,204.0,187.0,,255.0,False,SOFT,3.0,True,McLaren,0 days 01:06:22.629000,2025-05-31 14:52:52.272,1,,False,,False,False,96.056,96.05600000000001
26,0 days 01:12:15.759000,NOR,4,,13.0,5.0,0 days 01:10:24.320000,,,39.525,24.083,,0 days 01:11:51.676000,0 days 01:12:15.843000,182.0,261.0,295.0,117.0,False,SOFT,1.0,True,McLaren,0 days 01:07:58.685000,2025-05-31 14:54:28.328,1,,False,,False,False,,
27,0 days 01:13:27.514000,NOR,4,0 days 00:01:11.755000,14.0,5.0,,,21.27,28.709,21.776,0 days 01:12:37.029000,0 days 01:13:05.738000,0 days 01:13:27.514000,294.0,310.0,295.0,325.0,True,SOFT,2.0,True,McLaren,0 days 01:12:15.759000,2025-05-31 14:58:45.402,1,,False,,False,True,71.755,71.755
28,0 days 01:15:08.648000,NOR,4,,15.0,5.0,,0 days 01:15:08.648000,30.876,39.281,,0 days 01:13:58.398000,0 days 01:14:37.722000,,194.0,169.0,,195.0,False,SOFT,3.0,True,McLaren,0 days 01:13:27.514000,2025-05-31 14:59:57.157,1,,False,,False,False,,
29,0 days 00:23:21.610000,VER,1,,1.0,1.0,0 days 00:21:16.971000,,,41.544,27.263,,0 days 00:22:54.347000,0 days 00:23:21.626000,198.0,254.0,296.0,181.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:21:16.971000,2025-05-31 14:07:46.614,1,,False,,False,False,,
30,0 days 00:24:34.408000,VER,1,0 days 00:01:12.798000,2.0,1.0,,,21.612,29.189,21.997,0 days 00:23:43.222000,0 days 00:24:12.411000,0 days 00:24:34.408000,292.0,311.0,295.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:23:21.610000,2025-05-31 14:09:51.253,1,,False,,False,True,72.798,72.798
31,0 days 00:26:19.808000,VER,1,0 days 00:01:45.400000,3.0,1.0,,0 days 00:26:17.009000,30.48,42.479,32.441,0 days 00:25:04.888000,0 days 00:25:47.367000,0 days 00:26:19.808000,183.0,188.0,,234.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:24:34.408000,2025-05-31 14:11:04.051,1,,False,,False,False,105.4,105.4
32,0 days 00:42:33.380000,VER,1,,4.0,2.0,0 days 00:40:53.063000,,,42.293,23.697,,0 days 00:42:09.683000,0 days 00:42:33.526000,181.0,245.0,295.0,137.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:26:19.808000,2025-05-31 14:12:49.451,1,,False,,False,False,,
33,0 days 00:43:45.738000,VER,1,0 days 00:01:12.358000,5.0,2.0,,,21.617,28.898,21.843,0 days 00:42:54.997000,0 days 00:43:23.895000,0 days 00:43:45.738000,292.0,313.0,297.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:33.380000,2025-05-31 14:29:03.023,1,,False,,False,True,72.358,72.358
