,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:54.870000,32.0,40.0,990.4,False,43.0,101,4.1
1,0 days 00:01:54.869000,32.3,40.0,990.5,False,43.3,112,4.1
2,0 days 00:02:54.868000,32.5,40.0,990.5,False,43.4,102,3.3
3,0 days 00:03:54.871000,32.6,40.0,990.4,False,43.7,96,5.8
4,0 days 00:04:54.869000,32.6,40.0,990.5,False,43.3,95,5.7
5,0 days 00:05:54.871000,32.5,40.0,990.4,False,43.3,137,5.0
6,0 days 00:06:55.576000,32.5,40.0,990.5,False,43.4,117,3.6
7,0 days 00:07:55.642000,32.5,40.0,990.4,False,43.9,112,3.3
8,0 days 00:08:54.870000,32.5,40.0,990.4,False,44.0,113,3.0
9,0 days 00:09:54.871000,32.7,39.0,990.4,False,44.1,103,4.6
10,0 days 00:10:54.871000,32.8,39.0,990.4,False,44.0,116,5.3
11,0 days 00:11:54.872000,32.8,39.0,990.3,False,43.9,99,4.4
12,0 days 00:12:54.872000,32.8,39.0,990.3,False,43.6,106,6.0
13,0 days 00:13:54.878000,32.8,39.0,990.4,False,44.0,104,4.9
14,0 days 00:14:54.870000,32.8,39.0,990.4,False,43.9,109,4.7
15,0 days 00:15:54.872000,32.9,39.0,990.4,False,43.9,98,4.1
16,0 days 00:16:54.887000,32.9,39.0,990.2,False,43.5,76,5.5
17,0 days 00:17:54.884000,32.8,39.0,990.4,False,43.7,84,5.0
18,0 days 00:18:54.873000,32.7,40.0,990.3,False,43.9,98,6.9
19,0 days 00:19:54.872000,32.7,40.0,990.3,False,43.9,95,7.3
20,0 days 00:20:54.886000,32.7,40.0,990.3,False,43.6,109,5.9
21,0 days 00:21:55.450000,32.6,40.0,990.5,False,44.1,127,3.0
22,0 days 00:22:54.885000,32.6,39.0,990.4,False,44.1,112,1.6
23,0 days 00:23:54.886000,32.6,39.0,990.4,False,44.2,104,2.5
24,0 days 00:24:54.886000,32.6,39.0,990.4,False,44.2,113,3.9
25,0 days 00:25:54.885000,32.6,39.0,990.4,False,43.5,104,3.7
26,0 days 00:26:54.889000,32.6,39.0,990.3,False,43.5,102,3.0
27,0 days 00:27:54.887000,32.6,39.0,990.3,False,43.7,114,1.3
28,0 days 00:28:55.374000,32.6,38.0,990.4,False,43.7,326,1.7
29,0 days 00:29:54.892000,32.8,37.0,990.2,False,43.9,91,3.8
30,0 days 00:30:54.886000,32.8,38.0,990.3,False,42.9,101,4.7
31,0 days 00:31:54.887000,32.8,38.0,990.2,False,42.9,90,2.8
32,0 days 00:32:54.888000,32.8,38.0,990.2,False,43.0,147,3.6
33,0 days 00:33:54.887000,32.8,38.0,990.2,False,42.8,148,2.6
34,0 days 00:34:55.233000,32.8,38.0,990.3,False,42.7,189,1.2
35,0 days 00:35:54.890000,32.9,38.0,990.2,False,43.1,287,0.7
36,0 days 00:36:54.897000,32.9,38.0,990.2,False,43.1,84,1.1
37,0 days 00:37:54.889000,32.9,38.0,990.2,False,43.1,86,2.5
38,0 days 00:38:54.896000,32.9,38.0,990.2,False,43.1,82,1.6
39,0 days 00:39:54.901000,33.0,38.0,990.2,False,42.8,69,3.5
40,0 days 00:40:54.898000,33.0,38.0,990.1,False,42.7,104,2.6
41,0 days 00:41:54.895000,32.9,38.0,990.1,False,43.0,101,2.4
42,0 days 00:42:54.903000,32.9,38.0,990.1,False,43.1,106,2.7
43,0 days 00:43:54.901000,32.8,38.0,990.2,False,43.0,194,1.7
44,0 days 00:44:54.889000,32.8,37.0,990.2,False,43.0,96,2.0
45,0 days 00:45:54.903000,32.9,38.0,990.0,False,42.4,76,5.3
46,0 days 00:46:54.904000,32.8,38.0,990.2,False,42.3,116,2.7
47,0 days 00:47:54.914000,32.7,38.0,990.2,False,42.3,129,1.5
48,0 days 00:48:54.904000,32.7,38.0,990.0,False,42.3,92,1.4
49,0 days 00:49:55.592000,32.7,38.0,990.2,False,42.2,125,2.1
50,0 days 00:50:54.904000,32.7,38.0,990.1,False,42.2,93,2.3
51,0 days 00:51:54.913000,32.7,38.0,990.1,False,42.1,112,1.6
52,0 days 00:52:54.913000,32.8,38.0,990.1,False,42.0,142,2.2
53,0 days 00:53:54.915000,32.8,38.0,990.1,False,42.0,93,1.9
54,0 days 00:54:54.914000,32.8,38.0,990.2,False,41.8,170,2.4
55,0 days 00:55:54.913000,32.8,38.0,990.1,False,42.2,42,0.9
56,0 days 00:56:54.916000,32.8,37.0,990.0,False,42.4,346,1.9
57,0 days 00:57:54.916000,32.8,37.0,990.1,False,42.1,306,1.5
58,0 days 00:58:54.914000,32.9,37.0,990.1,False,42.2,87,0.7
59,0 days 00:59:54.905000,33.0,37.0,990.0,False,42.2,90,1.7
