,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:32.377000,NOR,4,,1.0,1.0,0 days 00:15:28.443000,,,48.52,38.169,,0 days 00:16:54.256000,0 days 00:17:32.383000,179.0,110.0,214.0,266.0,False,MEDIUM,1.0,True,McLaren,0 days 00:15:28.443000,2025-10-17 21:32:52.294,1,,False,,False,False,,
1,0 days 00:19:06.699000,NOR,4,0 days 00:01:34.322000,2.0,1.0,,,25.674,38.21,30.438,0 days 00:17:58.051000,0 days 00:18:36.261000,0 days 00:19:06.699000,235.0,193.0,212.0,318.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:32.377000,2025-10-17 21:34:56.228,1,,False,,False,True,94.322,94.322
2,0 days 00:21:23.124000,NOR,4,0 days 00:02:16.425000,3.0,1.0,,,44.943,49.58,41.902,0 days 00:19:51.642000,0 days 00:20:41.222000,0 days 00:21:23.124000,160.0,137.0,86.0,236.0,False,MEDIUM,3.0,True,McLaren,0 days 00:19:06.699000,2025-10-17 21:36:30.550,1,,False,,False,True,136.425,136.425
3,0 days 00:23:46.820000,NOR,4,0 days 00:02:23.696000,4.0,1.0,,,50.049,50.379,43.268,0 days 00:22:13.173000,0 days 00:23:03.552000,0 days 00:23:46.820000,148.0,139.0,215.0,251.0,False,MEDIUM,4.0,True,McLaren,0 days 00:21:23.124000,2025-10-17 21:38:46.975,1,,False,,False,True,143.696,143.696
4,0 days 00:25:20.044000,NOR,4,0 days 00:01:33.224000,5.0,1.0,,,25.261,37.658,30.305,0 days 00:24:12.081000,0 days 00:24:49.739000,0 days 00:25:20.044000,241.0,193.0,209.0,321.0,True,MEDIUM,5.0,True,McLaren,0 days 00:23:46.820000,2025-10-17 21:41:10.671,1,,False,,False,True,93.224,93.22399999999999
5,0 days 00:27:22.473000,NOR,4,0 days 00:02:02.429000,6.0,1.0,,0 days 00:27:21.498000,33.649,49.273,39.507,0 days 00:25:53.693000,0 days 00:26:42.966000,0 days 00:27:22.473000,175.0,135.0,,158.0,False,MEDIUM,6.0,True,McLaren,0 days 00:25:20.044000,2025-10-17 21:42:43.895,1,,False,,False,False,122.429,122.429
6,0 days 00:35:25.273000,NOR,4,,7.0,2.0,0 days 00:33:24.666000,,,46.166,40.964,,0 days 00:34:44.622000,0 days 00:35:25.349000,117.0,128.0,212.0,263.0,False,MEDIUM,1.0,True,McLaren,0 days 00:27:22.473000,2025-10-17 21:44:46.324,1,,False,,False,False,,
7,0 days 00:36:58.306000,NOR,4,0 days 00:01:33.033000,8.0,2.0,,,25.235,37.564,30.234,0 days 00:35:50.508000,0 days 00:36:28.072000,0 days 00:36:58.306000,239.0,191.0,213.0,321.0,True,MEDIUM,2.0,True,McLaren,0 days 00:35:25.273000,2025-10-17 21:52:49.124,1,,False,,False,True,93.033,93.033
8,0 days 00:39:09.295000,NOR,4,0 days 00:02:10.989000,9.0,2.0,,0 days 00:39:08.438000,39.948,50.829,40.212,0 days 00:37:38.254000,0 days 00:38:29.083000,0 days 00:39:09.295000,148.0,129.0,,190.0,False,MEDIUM,3.0,True,McLaren,0 days 00:36:58.306000,2025-10-17 21:54:22.157,1,,False,,False,False,130.989,130.989
9,0 days 00:55:07.796000,NOR,4,,10.0,3.0,0 days 00:53:05.376000,,,50.164,36.84,,0 days 00:54:31.046000,0 days 00:55:07.796000,162.0,131.0,217.0,264.0,False,SOFT,1.0,True,McLaren,0 days 00:39:09.295000,2025-10-17 21:56:33.146,1,,False,,False,False,,
10,0 days 00:56:40.010000,NOR,4,0 days 00:01:32.214000,11.0,3.0,,,24.955,37.134,30.125,0 days 00:55:32.751000,0 days 00:56:09.885000,0 days 00:56:40.010000,241.0,192.0,214.0,323.0,True,SOFT,2.0,True,McLaren,0 days 00:55:07.796000,2025-10-17 22:12:31.647,1,,False,,False,True,92.214,92.214
11,0 days 00:58:48.578000,NOR,4,0 days 00:02:08.568000,12.0,3.0,,0 days 00:58:47.210000,40.361,47.166,41.041,0 days 00:57:20.371000,0 days 00:58:07.537000,0 days 00:58:48.578000,171.0,142.0,,188.0,False,SOFT,3.0,True,McLaren,0 days 00:56:40.010000,2025-10-17 22:14:03.861,1,,False,,False,False,128.568,128.56799999999998
12,0 days 00:15:00.672000,HUL,27,,1.0,1.0,0 days 00:12:56.904000,,,46.55,42.433,,0 days 00:14:18.271000,0 days 00:15:00.698000,152.0,168.0,214.0,285.0,False,MEDIUM,1.0,True,Kick Sauber,0 days 00:12:56.904000,2025-10-17 21:30:20.755,1,,False,,False,False,,
13,0 days 00:16:35.430000,HUL,27,0 days 00:01:34.758000,2.0,1.0,,,25.899,38.079,30.78,0 days 00:15:26.571000,0 days 00:16:04.650000,0 days 00:16:35.430000,234.0,191.0,211.0,323.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:15:00.672000,2025-10-17 21:32:24.523,1,,False,,False,True,94.758,94.75800000000001
14,0 days 00:18:47.870000,HUL,27,0 days 00:02:12.440000,3.0,1.0,,0 days 00:18:46.830000,40.057,51.121,41.262,0 days 00:17:15.487000,0 days 00:18:06.608000,0 days 00:18:47.870000,139.0,140.0,,211.0,False,MEDIUM,3.0,True,Kick Sauber,0 days 00:16:35.430000,2025-10-17 21:33:59.281,1,,False,,False,False,132.44,132.44
15,0 days 00:24:31.128000,HUL,27,,4.0,2.0,0 days 00:22:15.928000,,,49.092,49.985,,0 days 00:23:41.240000,0 days 00:24:31.368000,155.0,136.0,212.0,236.0,False,MEDIUM,4.0,False,Kick Sauber,0 days 00:18:47.870000,2025-10-17 21:36:11.721,1,,False,,False,False,,
16,0 days 00:26:05.364000,HUL,27,0 days 00:01:34.236000,5.0,2.0,,,25.648,37.91,30.678,0 days 00:24:56.776000,0 days 00:25:34.686000,0 days 00:26:05.364000,232.0,191.0,213.0,322.0,True,MEDIUM,5.0,False,Kick Sauber,0 days 00:24:31.128000,2025-10-17 21:41:54.979,1,,False,,False,True,94.236,94.23599999999999
17,0 days 00:28:12.060000,HUL,27,0 days 00:02:06.696000,6.0,2.0,,0 days 00:28:11.336000,35.67,47.2,43.826,0 days 00:26:41.034000,0 days 00:27:28.234000,0 days 00:28:12.060000,157.0,134.0,,221.0,False,MEDIUM,6.0,False,Kick Sauber,0 days 00:26:05.364000,2025-10-17 21:43:29.215,1,,False,,False,False,126.696,126.696
18,0 days 00:40:20.888000,HUL,27,,7.0,3.0,0 days 00:38:08.838000,,,49.855,50.957,,0 days 00:39:30.070000,0 days 00:40:20.888000,169.0,69.0,215.0,258.0,False,MEDIUM,1.0,True,Kick Sauber,0 days 00:28:12.060000,2025-10-17 21:45:35.911,1,,False,,False,False,,
19,0 days 00:41:54.465000,HUL,27,0 days 00:01:33.577000,8.0,3.0,,,25.386,37.75,30.441,0 days 00:40:46.274000,0 days 00:41:24.024000,0 days 00:41:54.465000,234.0,193.0,211.0,320.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:40:20.888000,2025-10-17 21:57:44.739,1,,False,,False,True,93.577,93.577
20,0 days 00:44:03.514000,HUL,27,0 days 00:02:09.049000,9.0,3.0,,0 days 00:44:02.622000,37.029,49.356,42.664,0 days 00:42:31.494000,0 days 00:43:20.850000,0 days 00:44:03.514000,148.0,129.0,,212.0,False,MEDIUM,3.0,True,Kick Sauber,0 days 00:41:54.465000,2025-10-17 21:59:18.316,1,,False,,False,False,129.049,129.049
21,0 days 00:54:23.926000,HUL,27,,10.0,4.0,0 days 00:52:25.162000,,,48.431,38.206,,0 days 00:53:45.873000,0 days 00:54:25.381000,146.0,140.0,216.0,228.0,False,SOFT,1.0,True,Kick Sauber,0 days 00:44:03.514000,2025-10-17 22:01:27.365,1,,False,,False,False,,
22,0 days 00:55:56.571000,HUL,27,0 days 00:01:32.645000,11.0,4.0,,,25.096,37.336,30.213,0 days 00:54:49.022000,0 days 00:55:26.358000,0 days 00:55:56.571000,237.0,194.0,211.0,322.0,True,SOFT,2.0,True,Kick Sauber,0 days 00:54:23.926000,2025-10-17 22:11:47.777,1,,False,,False,True,92.645,92.64500000000001
23,0 days 00:58:10.755000,HUL,27,0 days 00:02:14.184000,12.0,4.0,,0 days 00:58:07.098000,37.476,49.936,46.772,0 days 00:56:34.047000,0 days 00:57:23.983000,0 days 00:58:10.755000,151.0,148.0,,195.0,False,SOFT,3.0,True,Kick Sauber,0 days 00:55:56.571000,2025-10-17 22:13:20.422,1,,False,,False,False,134.184,134.184
24,0 days 00:17:22.232000,PIA,81,,1.0,1.0,0 days 00:15:09.558000,,,45.094,41.739,,0 days 00:16:40.534000,0 days 00:17:22.333000,154.0,166.0,215.0,300.0,False,MEDIUM,1.0,True,McLaren,0 days 00:15:09.558000,2025-10-17 21:32:33.409,1,,False,,False,False,,
25,0 days 00:18:56.524000,PIA,81,0 days 00:01:34.292000,2.0,1.0,,,25.691,37.899,30.702,0 days 00:17:47.923000,0 days 00:18:25.822000,0 days 00:18:56.524000,230.0,192.0,211.0,319.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:22.232000,2025-10-17 21:34:46.083,1,,False,,False,True,94.292,94.292
26,0 days 00:21:12.173000,PIA,81,0 days 00:02:15.649000,3.0,1.0,,,44.597,50.642,40.41,0 days 00:19:41.121000,0 days 00:20:31.763000,0 days 00:21:12.173000,153.0,139.0,118.0,225.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:56.524000,2025-10-17 21:36:20.375,1,,False,,False,True,135.649,135.649
27,0 days 00:23:25.995000,PIA,81,0 days 00:02:13.822000,4.0,1.0,,,45.447,49.305,39.07,0 days 00:21:57.620000,0 days 00:22:46.925000,0 days 00:23:25.995000,154.0,138.0,216.0,199.0,False,MEDIUM,4.0,True,McLaren,0 days 00:21:12.173000,2025-10-17 21:38:36.024,1,,False,,False,True,133.822,133.822
