,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:00,29.9,29.3,943.2,False,49.7,113,0.6
1,0 days 00:00:34.906000,29.8,30.0,943.1,False,49.4,97,2.0
2,0 days 00:01:34.909000,29.8,30.0,943.1,False,49.4,97,2.0
3,0 days 00:02:34.905000,29.9,30.0,943.2,False,48.2,125,2.6
4,0 days 00:03:34.920000,30.0,30.2,943.2,False,49.7,359,0.8
5,0 days 00:04:34.910000,30.0,30.2,943.2,False,49.7,359,0.8
6,0 days 00:05:34.909000,30.2,29.8,943.2,False,49.5,0,0.0
7,0 days 00:06:34.912000,30.2,29.8,943.2,False,49.5,0,0.0
8,0 days 00:07:34.917000,30.2,29.0,943.2,False,50.1,81,2.1
9,0 days 00:08:34.915000,30.1,29.3,943.1,False,49.8,81,2.8
10,0 days 00:09:34.911000,29.2,29.5,943.2,False,49.2,102,0.8
11,0 days 00:10:34.924000,30.1,30.1,943.1,False,50.0,116,1.0
12,0 days 00:11:34.923000,29.4,30.1,943.1,False,50.0,116,1.0
13,0 days 00:12:34.925000,29.4,30.1,943.1,False,50.0,116,1.0
14,0 days 00:13:34.909000,29.9,30.3,943.1,False,50.0,139,0.4
15,0 days 00:14:34.915000,29.9,30.3,943.1,False,50.0,139,0.4
16,0 days 00:15:34.922000,30.3,30.0,943.1,False,50.0,295,1.9
17,0 days 00:16:34.919000,30.3,30.0,943.1,False,50.0,295,1.9
18,0 days 00:17:34.923000,30.5,28.4,943.1,False,48.7,186,0.7
19,0 days 00:18:34.928000,30.4,29.0,943.1,False,50.4,38,0.6
20,0 days 00:19:34.926000,30.3,29.0,943.1,False,50.4,38,0.6
21,0 days 00:20:34.933000,30.3,29.0,943.1,False,50.4,38,0.6
22,0 days 00:21:34.949000,31.0,29.5,943.0,False,50.3,21,0.8
23,0 days 00:22:34.962000,31.0,29.5,943.0,False,50.3,21,0.8
24,0 days 00:23:34.970000,30.6,29.1,943.0,False,49.6,340,1.0
25,0 days 00:24:34.970000,30.6,29.8,943.0,False,50.0,2,1.6
26,0 days 00:25:35,30.1,29.0,943.0,False,50.3,45,0.7
27,0 days 00:26:34.990000,30.1,29.0,943.0,False,50.3,45,0.7
28,0 days 00:27:35.010000,30.8,28.5,942.9,False,49.7,312,3.2
29,0 days 00:28:35.023000,30.9,28.5,942.9,False,49.7,312,3.2
30,0 days 00:29:35.031000,30.1,28.5,942.9,False,49.7,312,3.2
31,0 days 00:30:35.020000,30.5,28.5,942.9,False,49.7,312,3.2
32,0 days 00:31:35.033000,30.5,28.5,942.9,False,49.7,312,3.2
33,0 days 00:32:35.037000,30.1,27.8,943.0,False,50.4,306,2.3
34,0 days 00:33:35.036000,30.8,27.8,943.0,False,50.4,306,2.3
35,0 days 00:34:35.029000,30.8,27.8,943.0,False,50.4,306,2.3
36,0 days 00:35:35.027000,29.9,27.8,943.0,False,50.1,0,0.0
37,0 days 00:36:35.051000,29.9,27.8,943.0,False,50.1,0,0.0
38,0 days 00:37:35.071000,30.9,27.3,943.0,False,50.8,324,0.8
39,0 days 00:38:35.061000,31.1,27.8,943.0,False,50.9,64,1.2
40,0 days 00:39:35.067000,29.9,27.8,943.0,False,50.9,64,1.2
41,0 days 00:40:35.065000,30.7,27.8,943.0,False,50.9,64,1.2
42,0 days 00:41:35.069000,30.1,27.8,943.0,False,50.9,64,1.2
43,0 days 00:42:35.067000,30.1,27.8,943.0,False,50.9,64,1.2
44,0 days 00:43:35.077000,31.0,28.0,943.0,False,50.8,317,1.8
45,0 days 00:44:35.070000,30.6,28.0,943.0,False,50.2,300,2.9
46,0 days 00:45:35.081000,30.6,28.0,943.0,False,50.2,300,2.9
47,0 days 00:46:35.075000,30.8,29.3,943.0,False,49.8,303,2.9
48,0 days 00:47:35.076000,30.2,29.3,943.0,False,49.8,303,2.9
49,0 days 00:48:35.086000,30.2,29.3,943.0,False,49.8,303,2.9
50,0 days 00:49:35.070000,30.2,28.8,942.9,False,50.7,300,1.0
51,0 days 00:50:35.082000,30.2,28.8,942.9,False,50.7,300,1.0
52,0 days 00:51:35.077000,31.0,27.7,942.9,False,50.4,298,2.0
53,0 days 00:52:35.074000,31.0,27.7,942.9,False,50.4,298,2.0
54,0 days 00:53:35.080000,30.4,28.1,942.9,False,50.2,321,2.1
55,0 days 00:54:35.083000,30.3,28.1,942.9,False,50.2,321,2.1
56,0 days 00:55:35.078000,31.1,28.1,942.9,False,50.2,321,2.1
57,0 days 00:56:35.076000,31.8,27.8,942.8,False,51.1,269,0.5
58,0 days 00:57:35.091000,31.8,27.8,942.8,False,51.1,269,0.5
59,0 days 00:58:35.079000,30.2,27.1,942.8,False,50.8,219,0.8
60,0 days 00:59:35.092000,30.2,27.1,942.8,False,50.8,219,0.8
61,0 days 01:00:35.088000,31.6,26.1,942.8,False,51.4,82,1.3
62,0 days 01:01:35.090000,30.7,26.0,942.8,False,50.3,127,1.3
63,0 days 01:02:35.099000,31.4,26.2,942.7,False,51.3,16,1.2
64,0 days 01:03:35.082000,31.3,26.4,942.8,False,51.0,7,1.2
65,0 days 01:04:35.100000,31.4,27.2,942.7,False,51.0,36,0.6
66,0 days 01:05:35.092000,31.4,27.0,942.7,False,50.1,133,1.2
67,0 days 01:06:35.097000,31.5,25.7,942.7,False,51.0,10,0.6
68,0 days 01:07:35.085000,31.3,25.7,942.7,False,51.0,10,0.6
69,0 days 01:08:35.114000,31.4,26.4,942.7,False,51.2,267,0.8
70,0 days 01:09:35.113000,31.3,26.6,942.8,False,51.4,312,1.4
71,0 days 01:10:35.129000,31.2,26.6,942.8,False,51.4,312,1.4
72,0 days 01:11:35.128000,31.6,27.3,942.7,False,51.3,326,0.6
73,0 days 01:12:35.133000,31.5,27.0,942.7,False,51.4,329,1.1
74,0 days 01:13:35.149000,31.5,25.6,942.6,False,50.1,297,1.4
75,0 days 01:14:35.149000,31.4,26.2,942.6,False,50.4,283,0.9
76,0 days 01:15:35.146000,31.3,26.0,942.6,False,51.2,118,0.3
