,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:22:21.791000,NOR,1,,1.0,1.0,0 days 00:19:54.809000,0 days 00:22:17.784000,,63.258,46.131,,0 days 00:21:35.728000,0 days 00:22:21.791000,229.0,150.0,,202.0,False,MEDIUM,1.0,True,McLaren,0 days 00:19:54.809000,2026-07-17 11:36:17.981,1,,False,,False,False,,
1,0 days 00:29:56.558000,NOR,1,,2.0,2.0,0 days 00:27:37.845000,0 days 00:29:52.610000,,56.591,43.15,,0 days 00:29:13.531000,0 days 00:29:56.558000,237.0,185.0,,203.0,False,SOFT,1.0,True,McLaren,0 days 00:22:21.791000,2026-07-17 11:38:44.963,1,,False,,False,False,,
2,0 days 00:39:07.074000,NOR,1,,3.0,3.0,0 days 00:36:31.162000,,,60.038,38.85,,0 days 00:38:28.436000,0 days 00:39:07.117000,160.0,122.0,218.0,266.0,False,SOFT,1.0,False,McLaren,0 days 00:29:56.558000,2026-07-17 11:46:19.730,1,,False,,False,False,,
3,0 days 00:40:57.480000,NOR,1,0 days 00:01:50.406000,4.0,3.0,,,31.488,49.026,29.892,0 days 00:39:38.562000,0 days 00:40:27.588000,0 days 00:40:57.480000,294.0,205.0,163.0,299.0,True,SOFT,2.0,False,McLaren,0 days 00:39:07.074000,2026-07-17 11:55:30.246,1,,False,,False,True,110.406,110.406
4,0 days 00:43:39.786000,NOR,1,,5.0,3.0,,,54.395,72.577,35.357,0 days 00:41:52.136000,0 days 00:43:04.625000,0 days 00:43:39.848000,152.0,141.0,205.0,169.0,False,SOFT,3.0,False,McLaren,0 days 00:40:57.480000,2026-07-17 11:57:20.652,1,,False,,False,False,,162.329
5,0 days 00:45:28.689000,NOR,1,0 days 00:01:48.903000,6.0,3.0,,,31.406,48.007,29.49,0 days 00:44:11.192000,0 days 00:44:59.199000,0 days 00:45:28.689000,302.0,213.0,202.0,296.0,True,SOFT,4.0,False,McLaren,0 days 00:43:39.786000,2026-07-17 12:00:02.958,1,,False,,False,True,108.903,108.90299999999999
6,0 days 00:48:31.571000,NOR,1,,7.0,3.0,,,55.887,87.499,39.43,0 days 00:46:24.701000,0 days 00:47:52.306000,0 days 00:48:31.581000,174.0,113.0,204.0,170.0,False,SOFT,5.0,False,McLaren,0 days 00:45:28.689000,2026-07-17 12:01:51.861,1,,False,,False,False,,182.816
7,0 days 00:50:27.993000,NOR,1,0 days 00:01:56.422000,8.0,3.0,,0 days 00:50:24.042000,31.391,47.741,37.29,0 days 00:49:02.962000,0 days 00:49:50.703000,0 days 00:50:27.993000,299.0,210.0,,299.0,False,SOFT,6.0,False,McLaren,0 days 00:48:31.571000,2026-07-17 12:04:54.743,1,,False,,False,False,116.422,116.422
8,0 days 00:58:53.797000,NOR,1,,9.0,4.0,0 days 00:56:52.303000,,,54.862,34.249,,0 days 00:58:19.786000,0 days 00:58:53.830000,285.0,178.0,217.0,229.0,False,SOFT,1.0,True,McLaren,0 days 00:50:27.993000,2026-07-17 12:06:51.165,1,,False,,False,False,,
9,0 days 01:00:41.728000,NOR,1,0 days 00:01:47.931000,10.0,4.0,,,30.972,47.78,29.179,0 days 00:59:24.769000,0 days 01:00:12.549000,0 days 01:00:41.728000,302.0,211.0,172.0,304.0,True,SOFT,2.0,True,McLaren,0 days 00:58:53.797000,2026-07-17 12:15:16.969,1,,False,,False,True,107.931,107.93100000000001
10,0 days 01:03:40.439000,NOR,1,,11.0,4.0,,,52.399,87.365,38.907,0 days 01:01:34.294000,0 days 01:03:01.589000,0 days 01:03:40.565000,104.0,113.0,216.0,164.0,False,SOFT,3.0,True,McLaren,0 days 01:00:41.728000,2026-07-17 12:17:04.900,1,,False,,False,False,,178.671
