,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:58.410000,25.3,45.4,1007.8,False,43.7,278,1.1
1,0 days 00:01:58.412000,25.4,46.1,1007.7,False,43.7,253,3.4
2,0 days 00:02:58.428000,25.5,46.4,1007.8,False,44.0,259,3.4
3,0 days 00:03:58.434000,25.5,46.9,1007.7,False,44.4,262,2.0
4,0 days 00:04:58.451000,25.4,46.3,1007.8,False,41.1,261,2.2
5,0 days 00:05:58.453000,25.2,46.6,1007.7,False,41.2,330,1.6
6,0 days 00:06:58.453000,25.1,47.5,1007.7,False,43.2,281,1.9
7,0 days 00:07:58.468000,25.2,47.4,1007.7,False,43.9,230,1.4
8,0 days 00:08:58.477000,25.2,48.1,1007.8,False,42.2,244,3.6
9,0 days 00:09:58.480000,25.2,46.9,1007.6,False,43.7,256,2.6
10,0 days 00:10:58.499000,25.3,47.5,1007.8,False,41.5,179,1.3
11,0 days 00:11:58.515000,25.3,47.7,1007.7,False,40.5,262,3.1
12,0 days 00:12:58.515000,25.1,47.7,1007.7,False,40.2,239,2.8
13,0 days 00:13:58.531000,25.1,48.2,1007.7,False,39.1,267,3.7
14,0 days 00:14:58.536000,25.1,49.0,1007.8,False,39.1,264,2.8
15,0 days 00:15:58.553000,25.0,49.6,1007.8,False,39.2,265,2.8
16,0 days 00:16:58.556000,25.1,49.3,1007.6,False,39.7,219,0.5
17,0 days 00:17:58.546000,25.1,49.5,1007.7,False,40.9,265,2.1
18,0 days 00:18:58.552000,25.1,49.8,1007.7,False,39.9,200,2.3
19,0 days 00:19:58.552000,25.1,49.4,1007.6,False,39.2,231,1.6
20,0 days 00:20:58.549000,25.0,49.8,1007.7,False,38.5,285,2.6
21,0 days 00:21:58.561000,25.0,49.6,1007.7,False,38.4,259,3.1
22,0 days 00:22:58.542000,25.0,50.0,1007.7,False,40.1,145,1.6
23,0 days 00:23:58.561000,25.2,50.0,1007.7,False,40.1,145,1.6
24,0 days 00:24:58.562000,25.2,49.1,1007.7,False,41.2,212,2.8
25,0 days 00:25:58.564000,25.2,48.8,1007.7,False,41.6,53,0.7
26,0 days 00:26:58.561000,25.2,49.0,1007.6,False,42.1,358,1.7
27,0 days 00:27:58.561000,25.2,48.0,1007.7,False,42.3,123,2.5
28,0 days 00:28:58.569000,25.3,48.0,1007.7,False,42.6,165,0.8
29,0 days 00:29:58.576000,25.3,48.1,1007.6,False,41.0,238,2.9
30,0 days 00:30:58.564000,25.2,47.2,1007.7,False,40.7,234,2.8
31,0 days 00:31:58.556000,25.2,47.9,1007.6,False,40.2,221,2.7
32,0 days 00:32:58.573000,25.2,48.3,1007.6,False,40.0,226,2.4
33,0 days 00:33:58.580000,25.1,48.8,1007.6,False,39.6,254,2.5
34,0 days 00:34:58.601000,25.1,48.5,1007.6,False,40.5,232,1.8
35,0 days 00:35:58.594000,25.1,49.5,1007.6,False,41.1,102,2.8
36,0 days 00:36:58.612000,25.1,48.5,1007.5,False,42.1,247,1.1
37,0 days 00:37:58.616000,25.2,48.2,1007.7,False,42.3,240,1.9
38,0 days 00:38:58.629000,25.1,48.2,1007.6,False,42.2,248,2.7
39,0 days 00:39:58.644000,25.2,47.4,1007.7,False,42.6,43,0.3
40,0 days 00:40:58.666000,25.1,47.9,1007.6,False,42.5,176,1.9
41,0 days 00:41:58.680000,25.2,48.0,1007.6,False,42.5,295,1.6
42,0 days 00:42:58.672000,25.2,48.1,1007.5,False,42.5,270,3.3
43,0 days 00:43:58.675000,25.3,48.0,1007.6,False,42.2,257,1.3
44,0 days 00:44:58.675000,25.3,47.6,1007.6,False,42.5,225,1.5
45,0 days 00:45:58.688000,25.3,46.9,1007.8,False,41.4,264,2.4
46,0 days 00:46:58.704000,25.3,47.0,1007.6,False,40.9,87,2.5
47,0 days 00:47:58.697000,25.3,46.7,1007.5,False,42.1,202,0.3
48,0 days 00:48:58.706000,25.2,47.5,1007.6,False,41.3,10,2.5
49,0 days 00:49:58.703000,25.1,47.2,1007.5,False,40.4,284,1.5
50,0 days 00:50:58.697000,25.2,47.4,1007.6,False,41.6,31,1.0
51,0 days 00:51:58.694000,25.3,46.9,1007.6,False,41.9,270,2.1
52,0 days 00:52:58.700000,25.5,46.7,1007.6,False,41.4,255,3.5
53,0 days 00:53:58.681000,25.5,46.2,1007.4,False,41.5,259,2.6
54,0 days 00:54:58.705000,25.6,46.9,1007.4,False,41.7,245,3.8
