,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:21.237000,25.6,32.1,1009.9,False,43.4,214,3.3
1,0 days 00:01:21.235000,25.1,32.2,1009.9,False,43.6,257,3.1
2,0 days 00:02:21.246000,25.5,32.0,1010.0,False,43.5,252,3.7
3,0 days 00:03:21.248000,25.5,32.0,1010.0,False,43.5,252,3.7
4,0 days 00:04:21.247000,26.2,32.0,1010.0,False,43.5,252,3.7
5,0 days 00:05:21.266000,25.4,32.0,1010.0,False,43.5,252,3.7
6,0 days 00:06:21.285000,26.2,32.0,1010.0,False,43.5,252,3.7
7,0 days 00:07:21.282000,25.2,33.4,1009.9,False,43.2,10,1.1
8,0 days 00:08:21.299000,26.0,33.4,1009.9,False,43.2,10,1.1
9,0 days 00:09:21.300000,25.3,33.4,1009.9,False,43.2,10,1.1
10,0 days 00:10:21.304000,25.1,33.4,1009.9,False,43.2,10,1.1
11,0 days 00:11:21.301000,25.5,33.4,1009.9,False,43.2,10,1.1
12,0 days 00:12:21.297000,25.7,33.4,1009.9,False,43.2,10,1.1
13,0 days 00:13:21.303000,25.4,34.0,1009.8,False,41.5,227,4.5
14,0 days 00:14:21.318000,25.5,34.0,1009.8,False,41.5,227,4.5
15,0 days 00:15:21.335000,25.5,34.0,1009.8,False,41.5,227,4.5
16,0 days 00:16:21.335000,25.4,34.0,1009.8,False,41.5,227,4.5
17,0 days 00:17:21.336000,25.2,34.6,1009.8,False,40.3,228,4.1
18,0 days 00:18:21.334000,25.1,34.8,1009.8,False,40.2,224,4.4
19,0 days 00:19:21.333000,24.6,34.8,1009.9,False,40.0,241,3.7
20,0 days 00:20:21.341000,25.1,34.8,1009.9,False,40.0,241,3.7
21,0 days 00:21:21.337000,25.3,34.8,1009.9,False,40.0,241,3.7
22,0 days 00:22:21.344000,25.6,34.8,1009.9,False,40.0,241,3.7
23,0 days 00:23:21.344000,25.4,34.8,1009.9,False,40.0,241,3.7
24,0 days 00:24:21.341000,25.0,35.0,1009.9,False,40.5,255,3.5
25,0 days 00:25:21.344000,25.5,35.0,1009.9,False,40.5,255,3.5
26,0 days 00:26:21.344000,25.3,35.0,1009.9,False,40.5,255,3.5
27,0 days 00:27:21.342000,25.2,35.0,1009.9,False,40.5,255,3.5
28,0 days 00:28:21.344000,25.1,35.0,1009.9,False,40.5,255,3.5
29,0 days 00:29:21.351000,25.1,35.0,1009.9,False,40.5,255,3.5
30,0 days 00:30:21.352000,24.6,35.0,1009.9,False,40.5,255,3.5
31,0 days 00:31:21.345000,24.5,35.0,1009.9,False,40.5,255,3.5
32,0 days 00:32:21.364000,24.6,35.0,1009.9,False,40.5,255,3.5
33,0 days 00:33:21.363000,25.5,35.0,1009.9,False,40.5,255,3.5
34,0 days 00:34:21.378000,25.0,35.0,1009.9,False,40.5,255,3.5
35,0 days 00:35:21.396000,25.1,35.0,1009.9,False,40.5,255,3.5
36,0 days 00:36:21.385000,25.3,35.0,1009.9,False,40.5,255,3.5
37,0 days 00:37:21.397000,24.9,34.5,1009.8,False,40.4,244,1.3
38,0 days 00:38:21.397000,24.8,34.5,1009.8,False,40.4,244,1.3
39,0 days 00:39:21.396000,24.8,34.4,1009.8,False,40.1,258,2.3
40,0 days 00:40:21.393000,24.8,34.4,1009.8,False,40.1,258,2.3
41,0 days 00:41:21.403000,24.8,35.0,1009.6,False,39.3,234,3.5
42,0 days 00:42:21.400000,24.7,34.8,1009.7,False,39.3,257,4.3
43,0 days 00:43:21.401000,25.4,34.8,1009.7,False,39.3,257,4.3
44,0 days 00:44:21.400000,25.1,34.8,1009.7,False,39.3,257,4.3
45,0 days 00:45:21.396000,24.6,33.7,1009.7,False,39.4,229,2.5
46,0 days 00:46:21.402000,24.9,33.7,1009.7,False,39.4,229,2.5
47,0 days 00:47:21.401000,24.9,33.7,1009.7,False,39.4,229,2.5
48,0 days 00:48:21.405000,24.8,33.7,1009.7,False,39.4,229,2.5
49,0 days 00:49:21.405000,24.7,33.7,1009.7,False,39.4,229,2.5
50,0 days 00:50:21.406000,24.5,34.6,1009.8,False,40.4,231,1.0
51,0 days 00:51:21.407000,24.7,34.6,1009.8,False,40.4,231,1.0
52,0 days 00:52:21.413000,24.7,34.6,1009.8,False,40.4,231,1.0
53,0 days 00:53:21.411000,24.7,34.6,1009.8,False,40.4,231,1.0
54,0 days 00:54:21.409000,24.8,34.6,1009.8,False,40.4,231,1.0
55,0 days 00:55:21.410000,24.8,34.6,1009.8,False,40.4,231,1.0
56,0 days 00:56:21.411000,24.8,34.6,1009.8,False,40.4,231,1.0
57,0 days 00:57:21.430000,24.6,34.7,1009.8,False,40.6,277,2.0
58,0 days 00:58:21.428000,24.4,34.7,1009.8,False,40.6,277,2.0
59,0 days 00:59:21.444000,24.9,34.7,1009.8,False,40.6,277,2.0
