,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:29.599000,21.7,58.8,1008.8,False,35.2,134,0.3
1,0 days 00:01:29.611000,21.7,58.3,1008.8,False,31.8,109,2.1
2,0 days 00:02:29.608000,22.0,58.3,1008.8,False,31.8,109,2.1
3,0 days 00:03:29.602000,21.7,58.0,1008.8,False,33.5,166,1.1
4,0 days 00:04:29.614000,21.7,58.0,1008.8,False,33.5,166,1.1
5,0 days 00:05:29.599000,21.4,58.5,1008.8,False,36.5,288,2.2
6,0 days 00:06:29.605000,21.6,58.5,1008.8,False,36.5,288,2.2
7,0 days 00:07:29.615000,21.6,58.5,1008.8,False,36.5,288,2.2
8,0 days 00:08:29.622000,21.8,58.5,1008.8,False,36.5,288,2.2
9,0 days 00:09:29.639000,21.8,58.5,1008.8,False,36.5,288,2.2
10,0 days 00:10:29.642000,21.9,58.5,1008.8,False,36.5,288,2.2
11,0 days 00:11:29.648000,21.9,58.5,1008.8,False,36.5,288,2.2
12,0 days 00:12:29.658000,21.7,57.4,1008.9,False,34.7,0,0.0
13,0 days 00:13:29.670000,21.9,57.4,1008.9,False,34.7,0,0.0
14,0 days 00:14:29.699000,22.4,57.4,1008.9,False,34.7,0,0.0
15,0 days 00:15:29.716000,22.1,58.1,1008.8,False,37.5,258,1.5
16,0 days 00:16:29.717000,22.3,58.1,1008.8,False,37.5,258,1.5
17,0 days 00:17:29.721000,22.2,56.0,1008.8,False,35.2,132,1.9
18,0 days 00:18:29.715000,21.6,56.0,1008.8,False,35.2,132,1.9
19,0 days 00:19:29.729000,23.0,56.0,1008.8,False,35.2,132,1.9
20,0 days 00:20:29.757000,21.4,56.0,1008.8,False,35.2,132,1.9
21,0 days 00:21:29.748000,22.5,56.0,1008.8,False,35.2,132,1.9
22,0 days 00:22:29.757000,21.8,57.9,1008.7,False,36.0,222,2.9
23,0 days 00:23:29.741000,21.9,56.9,1008.7,False,35.5,212,3.4
