,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:49:09.819000,ANT,12,,1.0,1.0,,,,38.78,25.089,,0 days 00:48:44.789000,0 days 00:49:09.977000,310.0,265.0,254.0,317.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:47:33.017000,2026-07-04 11:03:56.571,1,2.0,False,,False,False,,
1,0 days 00:50:42.200000,ANT,12,0 days 00:01:32.381000,2.0,1.0,,,29.664,37.183,25.534,0 days 00:49:39.542000,0 days 00:50:16.725000,0 days 00:50:42.259000,295.0,261.0,254.0,301.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:49:09.819000,2026-07-04 11:05:33.373,12,2.0,False,,False,True,92.381,92.381
2,0 days 00:52:14.530000,ANT,12,0 days 00:01:32.330000,3.0,1.0,,,29.633,37.217,25.48,0 days 00:51:11.892000,0 days 00:51:49.109000,0 days 00:52:14.589000,297.0,262.0,254.0,303.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:50:42.200000,2026-07-04 11:07:05.754,1,2.0,False,,False,True,92.33,92.33
3,0 days 00:53:46.500000,ANT,12,0 days 00:01:31.970000,4.0,1.0,,,29.446,37.273,25.251,0 days 00:52:44.035000,0 days 00:53:21.308000,0 days 00:53:46.559000,307.0,262.0,256.0,303.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:52:14.530000,2026-07-04 11:08:38.084,1,2.0,False,,False,True,91.97,91.97000000000001
4,0 days 00:55:18.475000,ANT,12,0 days 00:01:31.975000,5.0,1.0,,,29.367,37.193,25.415,0 days 00:54:15.926000,0 days 00:54:53.119000,0 days 00:55:18.534000,312.0,265.0,250.0,308.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:53:46.500000,2026-07-04 11:10:10.054,1,2.0,False,,False,True,91.975,91.975
5,0 days 00:56:50.579000,ANT,12,0 days 00:01:32.104000,6.0,1.0,,,29.434,37.345,25.325,0 days 00:55:47.968000,0 days 00:56:25.313000,0 days 00:56:50.638000,313.0,262.0,255.0,309.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:55:18.475000,2026-07-04 11:11:42.029,1,2.0,False,,False,True,92.104,92.104
6,0 days 00:58:23.029000,ANT,12,0 days 00:01:32.450000,7.0,1.0,,,29.386,37.522,25.542,0 days 00:57:20.024000,0 days 00:57:57.546000,0 days 00:58:23.088000,318.0,264.0,255.0,314.0,False,MEDIUM,7.0,True,Mercedes,0 days 00:56:50.579000,2026-07-04 11:13:14.133,1,2.0,False,,False,True,92.45,92.45
7,0 days 00:59:55.478000,ANT,12,0 days 00:01:32.449000,8.0,1.0,,,29.6,37.846,25.003,0 days 00:58:52.688000,0 days 00:59:30.534000,0 days 00:59:55.537000,305.0,262.0,252.0,318.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:58:23.029000,2026-07-04 11:14:46.583,1,1.0,False,,False,True,92.449,92.449
8,0 days 01:01:27.941000,ANT,12,0 days 00:01:32.463000,9.0,1.0,,,29.759,37.16,25.544,0 days 01:00:25.296000,0 days 01:01:02.456000,0 days 01:01:28,294.0,262.0,255.0,296.0,False,MEDIUM,9.0,True,Mercedes,0 days 00:59:55.478000,2026-07-04 11:16:19.032,1,1.0,False,,False,True,92.463,92.463
9,0 days 01:03:00.385000,ANT,12,0 days 00:01:32.444000,10.0,1.0,,,29.588,37.223,25.633,0 days 01:01:57.588000,0 days 01:02:34.811000,0 days 01:03:00.444000,302.0,261.0,253.0,294.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:01:27.941000,2026-07-04 11:17:51.495,1,1.0,False,,False,True,92.444,92.444
10,0 days 01:04:32.468000,ANT,12,0 days 00:01:32.083000,11.0,1.0,,,29.612,37.121,25.35,0 days 01:03:30.056000,0 days 01:04:07.177000,0 days 01:04:32.527000,302.0,263.0,253.0,297.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:03:00.385000,2026-07-04 11:19:23.939,1,1.0,False,,False,True,92.083,92.083
11,0 days 01:06:04.751000,ANT,12,0 days 00:01:32.283000,12.0,1.0,,,29.798,37.144,25.341,0 days 01:05:02.325000,0 days 01:05:39.469000,0 days 01:06:04.810000,301.0,262.0,254.0,299.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:04:32.468000,2026-07-04 11:20:56.022,1,1.0,False,,False,True,92.283,92.28299999999999
12,0 days 01:07:37.325000,ANT,12,0 days 00:01:32.574000,13.0,1.0,,,29.934,37.266,25.374,0 days 01:06:34.744000,0 days 01:07:12.010000,0 days 01:07:37.384000,299.0,262.0,253.0,302.0,False,MEDIUM,13.0,True,Mercedes,0 days 01:06:04.751000,2026-07-04 11:22:28.305,1,1.0,False,,False,True,92.574,92.574
