Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:58.725000,NOR,1,0 days 00:01:26.181000,1.0,1.0,,,,26.091,32.008,,0 days 01:03:26.884000,0 days 01:03:59.009000,240.0,274.0,278.0,298.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 01:02:32.281000,2026-05-24 20:09:47.755,1,1.0,False,,False,False,86.181,
1,0 days 01:05:36.499000,NOR,1,0 days 00:01:37.774000,2.0,1.0,,0 days 01:05:14.626000,23.565,26.304,47.905,0 days 01:04:22.322000,0 days 01:04:48.626000,0 days 01:05:36.531000,226.0,267.0,,296.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 01:03:58.725000,2026-05-24 20:11:14.199,1,13.0,False,,False,False,97.774,97.774
2,0 days 01:07:00.574000,NOR,1,0 days 00:01:24.075000,3.0,2.0,0 days 01:05:38.119000,,26.055,25.903,32.117,0 days 01:06:02.586000,0 days 01:06:28.489000,0 days 01:07:00.606000,237.0,283.0,271.0,305.0,False,MEDIUM,1.0,True,McLaren,0 days 01:05:36.499000,2026-05-24 20:12:51.973,1,14.0,False,,False,False,84.075,84.07499999999999
3,0 days 01:08:21.744000,NOR,1,0 days 00:01:21.170000,4.0,2.0,,,24.684,25.667,30.819,0 days 01:07:25.290000,0 days 01:07:50.957000,0 days 01:08:21.776000,227.0,280.0,283.0,313.0,False,MEDIUM,2.0,True,McLaren,0 days 01:07:00.574000,2026-05-24 20:14:16.048,1,14.0,True,TRACK LIMITS AT TURN 4 LAP 4 ,False,True,81.17,81.17
4,0 days 01:09:40.347000,NOR,1,0 days 00:01:18.603000,5.0,2.0,,,22.558,25.085,30.96,0 days 01:08:44.334000,0 days 01:09:09.419000,0 days 01:09:40.379000,234.0,279.0,283.0,313.0,True,MEDIUM,3.0,True,McLaren,0 days 01:08:21.744000,2026-05-24 20:15:37.218,1,14.0,False,,False,True,78.603,78.60300000000001
5,0 days 01:10:59.690000,NOR,1,0 days 00:01:19.343000,6.0,2.0,,,22.674,25.181,31.488,0 days 01:10:03.053000,0 days 01:10:28.234000,0 days 01:10:59.722000,233.0,286.0,286.0,320.0,False,MEDIUM,4.0,True,McLaren,0 days 01:09:40.347000,2026-05-24 20:16:55.821,1,14.0,False,,False,True,79.343,79.343
6,0 days 01:12:17.769000,NOR,1,0 days 00:01:18.079000,7.0,2.0,,,22.5,24.805,30.774,0 days 01:11:22.222000,0 days 01:11:47.027000,0 days 01:12:17.801000,236.0,287.0,293.0,326.0,True,MEDIUM,5.0,True,McLaren,0 days 01:10:59.690000,2026-05-24 20:18:15.164,1,13.0,False,,False,True,78.079,78.07900000000001
7,0 days 01:13:35.796000,NOR,1,0 days 00:01:18.027000,8.0,2.0,,,22.487,24.992,30.548,0 days 01:12:40.288000,0 days 01:13:05.280000,0 days 01:13:35.828000,237.0,279.0,272.0,312.0,True,MEDIUM,6.0,True,McLaren,0 days 01:12:17.769000,2026-05-24 20:19:33.243,1,11.0,False,,False,True,78.027,78.027
8,0 days 01:14:52.902000,NOR,1,0 days 00:01:17.106000,9.0,2.0,,,22.114,24.496,30.496,0 days 01:13:57.942000,0 days 01:14:22.438000,0 days 01:14:52.934000,235.0,278.0,276.0,309.0,True,MEDIUM,7.0,True,McLaren,0 days 01:13:35.796000,2026-05-24 20:20:51.270,1,11.0,False,,False,True,77.106,77.106
9,0 days 01:16:10.128000,NOR,1,0 days 00:01:17.226000,10.0,2.0,,,22.097,24.661,30.468,0 days 01:15:15.031000,0 days 01:15:39.692000,0 days 01:16:10.160000,235.0,281.0,275.0,326.0,False,MEDIUM,8.0,True,McLaren,0 days 01:14:52.902000,2026-05-24 20:22:08.376,1,11.0,False,,False,True,77.226,77.226
