,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:22.633000,19.5,24.0,1026.5,False,42.3,172,3.3
1,0 days 00:01:22.631000,19.5,24.9,1026.4,False,42.2,184,2.5
2,0 days 00:02:22.635000,19.6,24.0,1026.4,False,42.2,174,2.2
3,0 days 00:03:22.633000,19.6,24.9,1026.5,False,42.0,184,2.5
4,0 days 00:04:22.633000,19.7,23.9,1026.4,False,42.2,183,2.7
5,0 days 00:05:22.638000,19.6,23.4,1026.4,False,42.2,184,1.8
6,0 days 00:06:22.648000,19.7,24.3,1026.3,False,42.1,180,2.5
7,0 days 00:07:22.638000,19.8,24.0,1026.3,False,41.9,185,3.1
8,0 days 00:08:22.649000,19.9,23.9,1026.3,False,42.1,172,2.7
9,0 days 00:09:22.640000,19.8,23.6,1026.3,False,41.8,173,2.4
10,0 days 00:10:22.697000,19.8,24.2,1026.3,False,41.9,186,3.2
11,0 days 00:11:22.699000,19.7,24.5,1026.2,False,41.9,188,2.9
12,0 days 00:12:22.649000,19.7,25.0,1026.2,False,42.1,165,2.0
13,0 days 00:13:22.639000,19.7,24.3,1026.3,False,42.1,211,1.6
14,0 days 00:14:22.659000,19.7,25.2,1026.2,False,42.2,166,2.3
15,0 days 00:15:22.641000,19.8,24.5,1026.2,False,42.2,176,1.6
16,0 days 00:16:22.650000,19.8,23.5,1026.1,False,42.0,173,2.3
17,0 days 00:17:22.653000,19.7,23.5,1026.2,False,41.9,185,1.1
18,0 days 00:18:22.651000,19.6,24.3,1026.1,False,41.8,317,0.7
19,0 days 00:19:22.651000,19.7,24.5,1026.2,False,41.9,355,0.8
20,0 days 00:20:22.648000,19.8,24.7,1026.1,False,41.8,166,1.6
21,0 days 00:21:22.646000,19.8,24.4,1026.2,False,41.8,259,0.6
22,0 days 00:22:22.655000,19.7,24.5,1026.2,False,41.7,138,1.8
23,0 days 00:23:22.649000,19.9,24.5,1026.1,False,41.4,148,1.1
24,0 days 00:24:22.648000,20.0,24.3,1026.1,False,42.4,131,1.2
25,0 days 00:25:22.671000,20.1,25.1,1026.2,False,42.1,193,2.2
26,0 days 00:26:22.679000,20.1,24.6,1026.1,False,41.6,257,0.9
27,0 days 00:27:22.670000,20.1,25.5,1026.2,False,42.1,200,0.3
28,0 days 00:28:22.664000,20.0,24.4,1026.2,False,41.5,180,1.7
29,0 days 00:29:22.690000,19.9,24.4,1026.2,False,41.9,173,1.4
