Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:16:22.323000,ANT,12,0 days 00:01:43.433000,1.0,1.0,0 days 00:14:40.765000,,33.525,26.964,42.944,0 days 00:15:12.450000,0 days 00:15:39.497000,0 days 00:16:22.556000,232.0,237.0,271.0,110.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:14:40.765000,2026-05-22 20:31:53.527,1,,False,,False,False,103.433,103.433
1,0 days 00:17:49.857000,ANT,12,0 days 00:01:27.534000,2.0,1.0,,,23.552,28.981,35.001,0 days 00:16:45.875000,0 days 00:17:14.856000,0 days 00:17:49.857000,229.0,242.0,273.0,250.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:16:22.323000,2026-05-22 20:33:35.085,1,,False,,False,True,87.534,87.53399999999999
2,0 days 00:19:03.867000,ANT,12,0 days 00:01:14.010000,3.0,1.0,,,21.241,23.499,29.27,0 days 00:18:11.098000,0 days 00:18:34.597000,0 days 00:19:03.867000,248.0,289.0,275.0,319.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:17:49.857000,2026-05-22 20:35:02.619,1,,False,,False,True,74.01,74.00999999999999
3,0 days 00:20:34.726000,ANT,12,0 days 00:01:30.859000,4.0,1.0,,,27.477,26.118,37.264,0 days 00:19:31.344000,0 days 00:19:57.462000,0 days 00:20:34.726000,222.0,252.0,274.0,237.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:19:03.867000,2026-05-22 20:36:16.629,1,,False,,False,True,90.859,90.859
4,0 days 00:22:07.376000,ANT,12,0 days 00:01:32.650000,5.0,1.0,,,23.204,26.961,42.485,0 days 00:20:57.930000,0 days 00:21:24.891000,0 days 00:22:07.376000,190.0,239.0,270.0,141.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:20:34.726000,2026-05-22 20:37:47.488,1,,False,,False,True,92.65,92.65
5,0 days 00:50:54.494000,ANT,12,,6.0,1.0,,0 days 00:23:25.774000,21.091,23.352,,0 days 00:22:28.717000,0 days 00:22:52.008000,,248.0,288.0,,141.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:22:07.376000,2026-05-22 20:39:20.138,125,,False,,False,False,,
6,0 days 00:52:22.160000,ANT,12,,7.0,2.0,0 days 00:50:54.494000,,,26.334,32.422,,0 days 00:51:49.889000,0 days 00:52:22.268000,231.0,255.0,265.0,268.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:50:54.494000,2026-05-22 21:08:07.256,1,,False,,False,False,,
7,0 days 00:53:50.533000,ANT,12,0 days 00:01:28.373000,8.0,2.0,,,22.811,25.855,39.707,0 days 00:52:44.971000,0 days 00:53:10.826000,0 days 00:53:50.533000,238.0,240.0,279.0,248.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:52:22.160000,2026-05-22 21:09:34.922,1,,False,,False,True,88.373,88.37299999999999
8,0 days 00:55:04.084000,ANT,12,0 days 00:01:13.551000,9.0,2.0,,,20.895,23.303,29.353,0 days 00:54:11.428000,0 days 00:54:34.731000,0 days 00:55:04.084000,248.0,291.0,277.0,319.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:53:50.533000,2026-05-22 21:11:03.295,1,,False,,False,True,73.551,73.551
9,0 days 00:56:44.201000,ANT,12,0 days 00:01:40.117000,10.0,2.0,,,27.495,31.822,40.8,0 days 00:55:31.579000,0 days 00:56:03.401000,0 days 00:56:44.201000,155.0,229.0,275.0,222.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:55:04.084000,2026-05-22 21:12:16.846,1,,False,,False,True,100.117,100.117
10,0 days 01:10:46.448000,ANT,12,,11.0,2.0,,0 days 00:58:04.893000,21.002,26.305,,0 days 00:57:05.332000,0 days 00:57:31.756000,,248.0,231.0,,127.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:56:44.201000,2026-05-22 21:13:56.963,1,,False,,False,False,,
11,0 days 01:12:25.179000,ANT,12,0 days 00:01:38.731000,12.0,3.0,0 days 01:10:47.915000,,29.339,28.401,40.991,0 days 01:11:15.787000,0 days 01:11:44.188000,0 days 01:12:25.179000,240.0,229.0,279.0,193.0,False,SOFT,1.0,True,Mercedes,0 days 01:10:46.448000,2026-05-22 21:27:59.210,1,,False,,False,False,98.731,98.731
12,0 days 01:13:38.679000,ANT,12,0 days 00:01:13.500000,13.0,3.0,,,21.08,23.207,29.213,0 days 01:12:46.259000,0 days 01:13:09.466000,0 days 01:13:38.679000,247.0,287.0,276.0,319.0,True,SOFT,2.0,True,Mercedes,0 days 01:12:25.179000,2026-05-22 21:29:37.941,1,,False,,False,True,73.5,73.5
13,0 days 01:15:21.397000,ANT,12,0 days 00:01:42.718000,14.0,3.0,,,24.305,37.549,40.864,0 days 01:14:02.984000,0 days 01:14:40.533000,0 days 01:15:21.397000,222.0,102.0,272.0,244.0,False,SOFT,3.0,True,Mercedes,0 days 01:13:38.679000,2026-05-22 21:30:51.441,1,,False,,False,True,102.718,102.718
14,0 days 01:16:34.430000,ANT,12,0 days 00:01:13.033000,15.0,3.0,,,20.899,23.194,28.94,0 days 01:15:42.296000,0 days 01:16:05.490000,0 days 01:16:34.430000,248.0,288.0,276.0,320.0,True,SOFT,4.0,True,Mercedes,0 days 01:15:21.397000,2026-05-22 21:32:34.159,1,,False,,False,True,73.033,73.033
15,0 days 01:18:05.363000,ANT,12,,16.0,3.0,,0 days 01:18:05.363000,29.027,30.266,,0 days 01:17:03.499000,0 days 01:17:33.712000,,158.0,251.0,,258.0,False,SOFT,5.0,True,Mercedes,0 days 01:16:34.430000,2026-05-22 21:33:47.192,1,,False,,False,False,,
16,0 days 00:16:16.329000,RUS,63,0 days 00:01:43.965000,1.0,1.0,0 days 00:14:33.940000,,32.918,27.897,43.15,0 days 00:15:05.305000,0 days 00:15:33.231000,0 days 00:16:16.559000,226.0,232.0,272.0,123.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:14:33.940000,2026-05-22 20:31:46.702,1,,False,,False,False,103.965,103.965
17,0 days 00:17:31.101000,RUS,63,0 days 00:01:14.772000,2.0,1.0,,,21.507,23.567,29.698,0 days 00:16:37.836000,0 days 00:17:01.403000,0 days 00:17:31.101000,245.0,289.0,277.0,321.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:16:16.329000,2026-05-22 20:33:29.091,1,,False,,False,True,74.772,74.77199999999999
18,0 days 00:19:02.761000,RUS,63,0 days 00:01:31.660000,3.0,1.0,,,24.776,28.736,38.148,0 days 00:17:55.877000,0 days 00:18:24.613000,0 days 00:19:02.761000,220.0,248.0,271.0,251.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:17:31.101000,2026-05-22 20:34:43.863,1,,False,,False,True,91.66,91.66
