,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:48.367000,19.7,26.2,1031.0,False,29.3,311,1.2
1,0 days 00:01:48.361000,19.6,26.5,1031.0,False,30.0,254,0.8
2,0 days 00:02:48.374000,19.6,26.5,1031.0,False,29.5,315,1.9
3,0 days 00:03:48.383000,19.7,25.8,1030.9,False,29.6,314,1.9
4,0 days 00:04:48.377000,19.7,25.8,1030.9,False,29.6,314,1.9
5,0 days 00:05:48.378000,19.7,25.9,1031.0,False,29.5,331,2.2
6,0 days 00:06:48.384000,19.7,25.7,1031.0,False,29.8,268,1.0
7,0 days 00:07:48.386000,19.8,26.9,1031.0,False,30.4,324,0.9
8,0 days 00:08:48.386000,19.7,25.6,1030.9,False,29.6,318,1.5
9,0 days 00:09:48.387000,19.8,26.3,1030.9,False,30.1,302,1.7
10,0 days 00:10:48.387000,19.7,26.3,1030.9,False,30.1,302,1.7
11,0 days 00:11:48.385000,19.7,26.0,1030.9,False,30.0,277,1.5
12,0 days 00:12:48.407000,19.6,25.7,1030.9,False,30.6,313,0.8
13,0 days 00:13:48.430000,19.6,26.3,1030.9,False,31.1,334,1.7
14,0 days 00:14:48.423000,19.6,26.2,1030.9,False,31.2,333,1.8
15,0 days 00:15:48.436000,19.6,26.2,1030.9,False,31.2,333,1.8
16,0 days 00:16:48.450000,19.6,26.3,1030.9,False,30.9,308,0.4
17,0 days 00:17:48.457000,19.8,26.1,1030.9,False,31.0,302,1.4
18,0 days 00:18:48.457000,19.9,25.7,1031.0,False,31.1,324,1.5
19,0 days 00:19:48.447000,19.9,25.9,1030.9,False,31.0,245,1.5
20,0 days 00:20:48.450000,20.1,25.9,1030.9,False,31.5,236,0.6
21,0 days 00:21:48.479000,20.1,25.6,1030.9,False,31.6,199,0.6
22,0 days 00:22:48.481000,20.0,25.3,1030.9,False,31.5,253,0.9
23,0 days 00:23:48.482000,20.0,25.5,1031.0,False,31.3,224,1.9
24,0 days 00:24:48.472000,19.9,24.9,1030.9,False,31.4,239,1.3
25,0 days 00:25:48.516000,19.9,25.4,1031.0,False,31.8,0,0.0
26,0 days 00:26:48.470000,19.9,25.6,1030.8,False,31.7,192,0.9
27,0 days 00:27:48.470000,19.8,25.4,1030.8,False,32.0,195,1.2
28,0 days 00:28:48.474000,19.8,24.5,1030.9,False,32.0,219,0.5
29,0 days 00:29:48.475000,19.8,25.5,1030.8,False,31.8,317,0.6
30,0 days 00:30:48.475000,19.8,24.9,1030.8,False,31.5,315,1.6
31,0 days 00:31:48.484000,19.8,25.3,1030.7,False,31.3,326,1.8
32,0 days 00:32:48.486000,19.8,26.0,1030.8,False,30.9,334,1.9
33,0 days 00:33:48.489000,19.9,26.2,1030.9,False,31.9,322,1.3
34,0 days 00:34:48.486000,19.9,25.7,1030.8,False,31.5,336,0.9
35,0 days 00:35:48.477000,19.9,25.3,1030.8,False,31.8,266,0.9
36,0 days 00:36:48.486000,19.8,25.9,1030.7,False,31.8,328,1.6
37,0 days 00:37:48.487000,19.8,25.9,1030.7,False,31.8,328,1.6
38,0 days 00:38:48.503000,20.1,26.1,1030.8,False,32.4,274,0.9
39,0 days 00:39:48.490000,20.1,25.0,1030.8,False,31.7,247,2.3
40,0 days 00:40:48.485000,20.1,25.4,1030.8,False,32.0,214,1.6
41,0 days 00:41:48.491000,20.0,25.8,1030.7,False,32.1,289,1.4
42,0 days 00:42:48.493000,20.0,24.9,1030.8,False,31.7,297,1.4
43,0 days 00:43:48.490000,19.9,24.9,1030.7,False,32.3,194,1.1
44,0 days 00:44:48.490000,20.0,24.6,1030.8,False,32.3,255,1.0
45,0 days 00:45:48.509000,20.0,24.6,1030.7,False,32.1,189,1.9
46,0 days 00:46:48.528000,19.9,25.1,1030.7,False,31.7,299,1.5
47,0 days 00:47:48.541000,20.1,25.4,1030.7,False,32.4,190,1.4
48,0 days 00:48:48.551000,20.1,25.4,1030.7,False,32.4,190,1.4
49,0 days 00:49:48.580000,20.3,25.0,1030.7,False,32.0,224,0.4
50,0 days 00:50:48.592000,20.3,25.0,1030.7,False,32.2,5,0.9
51,0 days 00:51:48.608000,20.3,24.4,1030.8,False,31.7,293,1.2
52,0 days 00:52:48.628000,20.4,24.7,1030.7,False,32.0,0,0.0
53,0 days 00:53:48.618000,20.4,25.3,1030.7,False,32.6,292,1.3
54,0 days 00:54:48.628000,20.4,25.6,1030.7,False,32.4,317,0.9
55,0 days 00:55:48.634000,20.4,26.1,1030.7,False,32.2,321,1.9
56,0 days 00:56:48.626000,20.5,25.2,1030.7,False,32.1,331,1.2
57,0 days 00:57:48.623000,20.4,25.0,1030.7,False,32.1,279,0.3
58,0 days 00:58:48.633000,20.2,25.6,1030.7,False,32.7,298,0.7
59,0 days 00:59:48.630000,20.2,25.6,1030.7,False,32.7,298,0.7
60,0 days 01:00:48.624000,20.4,25.3,1030.7,False,32.4,294,1.9
61,0 days 01:01:48.643000,20.5,24.8,1030.7,False,32.4,323,1.0
62,0 days 01:02:48.634000,20.4,25.3,1030.7,False,32.8,192,0.6
63,0 days 01:03:48.628000,20.4,24.9,1030.7,False,32.8,236,1.6
64,0 days 01:04:48.654000,20.4,25.3,1030.6,False,32.5,282,1.5
65,0 days 01:05:48.642000,20.3,25.5,1030.6,False,32.4,333,1.9
66,0 days 01:06:48.658000,20.5,25.6,1030.6,False,32.7,320,2.0
67,0 days 01:07:48.701000,20.5,25.2,1030.6,False,32.2,321,2.4
68,0 days 01:08:48.718000,20.5,25.3,1030.6,False,33.0,5,0.8
69,0 days 01:09:48.706000,20.5,25.6,1030.6,False,32.5,331,2.2
70,0 days 01:10:48.717000,20.5,25.6,1030.6,False,32.5,331,2.2
71,0 days 01:11:48.731000,20.4,24.5,1030.6,False,31.8,314,1.9
72,0 days 01:12:48.726000,20.3,24.8,1030.6,False,32.8,324,1.0
73,0 days 01:13:48.737000,20.3,25.3,1030.6,False,33.2,3,0.9
74,0 days 01:14:48.723000,20.4,25.1,1030.6,False,32.3,265,0.6
75,0 days 01:15:48.744000,20.4,25.7,1030.6,False,32.8,237,1.1
76,0 days 01:16:48.756000,20.5,26.0,1030.5,False,32.5,237,1.1
77,0 days 01:17:48.777000,20.5,25.6,1030.5,False,32.8,221,0.7
