Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:45:45.368000,RUS,63,,1.0,1.0,,,,24.21,30.056,,0 days 00:45:15.396000,0 days 00:45:45.493000,250.0,284.0,282.0,309.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:44:24.605000,2026-05-23 16:03:15.848,1,1.0,False,,False,False,,
1,0 days 00:47:00.673000,RUS,63,0 days 00:01:15.305000,2.0,1.0,,,21.551,23.793,29.961,0 days 00:46:06.947000,0 days 00:46:30.740000,0 days 00:47:00.701000,240.0,279.0,278.0,306.0,True,MEDIUM,8.0,False,Mercedes,0 days 00:45:45.368000,2026-05-23 16:04:36.611,1,1.0,False,,False,True,75.305,75.30499999999999
2,0 days 00:48:15.718000,RUS,63,0 days 00:01:15.045000,3.0,1.0,,,21.405,23.811,29.829,0 days 00:47:22.106000,0 days 00:47:45.917000,0 days 00:48:15.746000,241.0,279.0,278.0,305.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:47:00.673000,2026-05-23 16:05:51.916,1,1.0,False,,False,True,75.045,75.045
3,0 days 00:49:30.439000,RUS,63,0 days 00:01:14.721000,4.0,1.0,,,21.266,23.606,29.849,0 days 00:48:37.012000,0 days 00:49:00.618000,0 days 00:49:30.467000,241.0,280.0,281.0,305.0,True,MEDIUM,10.0,False,Mercedes,0 days 00:48:15.718000,2026-05-23 16:07:06.961,1,1.0,False,,False,True,74.721,74.721
4,0 days 00:50:45.595000,RUS,63,0 days 00:01:15.156000,5.0,1.0,,,21.37,23.746,30.04,0 days 00:49:51.837000,0 days 00:50:15.583000,0 days 00:50:45.623000,241.0,279.0,289.0,320.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:49:30.439000,2026-05-23 16:08:21.682,1,1.0,False,,False,True,75.156,75.156
5,0 days 00:52:02.794000,RUS,63,0 days 00:01:17.199000,6.0,1.0,,,22.69,24.886,29.623,0 days 00:51:08.313000,0 days 00:51:33.199000,0 days 00:52:02.822000,232.0,274.0,293.0,322.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:50:45.595000,2026-05-23 16:09:36.838,1,1.0,False,,False,True,77.199,77.199
6,0 days 00:53:17.964000,RUS,63,0 days 00:01:15.170000,7.0,1.0,,,21.383,23.973,29.814,0 days 00:52:24.205000,0 days 00:52:48.178000,0 days 00:53:17.992000,240.0,278.0,276.0,313.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:52:02.794000,2026-05-23 16:10:54.037,1,1.0,False,,False,True,75.17,75.16999999999999
7,0 days 00:54:32.944000,RUS,63,0 days 00:01:14.980000,8.0,1.0,,,21.43,23.786,29.764,0 days 00:53:39.422000,0 days 00:54:03.208000,0 days 00:54:32.972000,240.0,279.0,277.0,312.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:53:17.964000,2026-05-23 16:12:09.207,1,1.0,False,,False,True,74.98,74.98
8,0 days 00:55:47.680000,RUS,63,0 days 00:01:14.736000,9.0,1.0,,,21.374,23.717,29.645,0 days 00:54:54.346000,0 days 00:55:18.063000,0 days 00:55:47.708000,240.0,279.0,278.0,314.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:54:32.944000,2026-05-23 16:13:24.187,1,1.0,False,,False,True,74.736,74.73599999999999
9,0 days 00:57:02.471000,RUS,63,0 days 00:01:14.791000,10.0,1.0,,,21.307,23.814,29.67,0 days 00:56:09.015000,0 days 00:56:32.829000,0 days 00:57:02.499000,240.0,279.0,277.0,314.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:55:47.680000,2026-05-23 16:14:38.923,1,1.0,False,,False,True,74.791,74.791
10,0 days 00:58:17.413000,RUS,63,0 days 00:01:14.942000,11.0,1.0,,,21.281,23.887,29.774,0 days 00:57:23.780000,0 days 00:57:47.667000,0 days 00:58:17.441000,239.0,281.0,275.0,317.0,False,MEDIUM,17.0,False,Mercedes,0 days 00:57:02.471000,2026-05-23 16:15:53.714,1,1.0,False,,False,True,74.942,74.94200000000001
11,0 days 00:59:32.449000,RUS,63,0 days 00:01:15.036000,12.0,1.0,,,21.629,23.804,29.603,0 days 00:58:39.070000,0 days 00:59:02.874000,0 days 00:59:32.477000,240.0,281.0,277.0,318.0,False,MEDIUM,18.0,False,Mercedes,0 days 00:58:17.413000,2026-05-23 16:17:08.656,1,1.0,False,,False,True,75.036,75.036
12,0 days 01:00:47.258000,RUS,63,0 days 00:01:14.809000,13.0,1.0,,,21.371,23.735,29.703,0 days 00:59:53.848000,0 days 01:00:17.583000,0 days 01:00:47.286000,240.0,280.0,276.0,317.0,False,MEDIUM,19.0,False,Mercedes,0 days 00:59:32.449000,2026-05-23 16:18:23.692,1,1.0,False,,False,True,74.809,74.809
13,0 days 01:02:02.143000,RUS,63,0 days 00:01:14.885000,14.0,1.0,,,21.43,23.786,29.669,0 days 01:01:08.716000,0 days 01:01:32.502000,0 days 01:02:02.171000,239.0,280.0,278.0,317.0,False,MEDIUM,20.0,False,Mercedes,0 days 01:00:47.258000,2026-05-23 16:19:38.501,1,1.0,False,,False,True,74.885,74.885
14,0 days 01:03:16.915000,RUS,63,0 days 00:01:14.772000,15.0,1.0,,,21.391,23.79,29.591,0 days 01:02:23.562000,0 days 01:02:47.352000,0 days 01:03:16.943000,240.0,281.0,279.0,318.0,False,MEDIUM,21.0,False,Mercedes,0 days 01:02:02.143000,2026-05-23 16:20:53.386,1,1.0,False,,False,True,74.772,74.77199999999999
15,0 days 01:04:31.617000,RUS,63,0 days 00:01:14.702000,16.0,1.0,,,21.354,23.708,29.64,0 days 01:03:38.297000,0 days 01:04:02.005000,0 days 01:04:31.645000,242.0,284.0,281.0,326.0,True,MEDIUM,22.0,False,Mercedes,0 days 01:03:16.915000,2026-05-23 16:22:08.158,1,1.0,False,,False,True,74.702,74.702
16,0 days 01:05:46.664000,RUS,63,0 days 00:01:15.047000,17.0,1.0,,,21.407,23.887,29.753,0 days 01:04:53.052000,0 days 01:05:16.939000,0 days 01:05:46.692000,242.0,286.0,279.0,333.0,False,MEDIUM,23.0,False,Mercedes,0 days 01:04:31.617000,2026-05-23 16:23:22.860,12,1.0,False,,False,True,75.047,75.047
