,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:20.726000,RUS,63,,1.0,1.0,0 days 00:16:26.869000,,,30.974,54.663,,0 days 00:17:26.119000,0 days 00:18:20.895000,247.0,245.0,277.0,260.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:16:26.869000,2026-03-13 07:33:46.000,1,,False,,False,False,,
1,0 days 00:19:53.756000,RUS,63,0 days 00:01:33.030000,2.0,1.0,,,24.276,28.182,40.572,0 days 00:18:45.002000,0 days 00:19:13.184000,0 days 00:19:53.756000,276.0,264.0,259.0,318.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:18:20.726000,2026-03-13 07:35:39.857,1,,False,,False,True,93.03,93.03
2,0 days 00:21:59.292000,RUS,63,0 days 00:02:05.536000,3.0,1.0,,0 days 00:21:57.427000,30.753,37.442,57.341,0 days 00:20:24.509000,0 days 00:21:01.951000,0 days 00:21:59.292000,251.0,158.0,,303.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:19:53.756000,2026-03-13 07:37:12.887,1,,False,,False,False,125.536,125.536
3,0 days 00:36:04.934000,RUS,63,,4.0,2.0,0 days 00:34:05.072000,,,36.881,53.641,,0 days 00:35:11.421000,0 days 00:36:04.957000,235.0,50.0,280.0,260.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:21:59.292000,2026-03-13 07:39:18.423,12,,False,,False,False,,
4,0 days 00:37:37.175000,RUS,63,0 days 00:01:32.241000,5.0,2.0,,,24.062,27.79,40.389,0 days 00:36:28.996000,0 days 00:36:56.786000,0 days 00:37:37.175000,275.0,265.0,255.0,320.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:36:04.934000,2026-03-13 07:53:24.065,1,,False,,False,True,92.241,92.24100000000001
5,0 days 00:39:53.019000,RUS,63,0 days 00:02:15.844000,6.0,2.0,,,33.777,42.586,59.481,0 days 00:38:10.952000,0 days 00:38:53.538000,0 days 00:39:53.019000,198.0,213.0,280.0,258.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:37:37.175000,2026-03-13 07:54:56.306,1,,False,,False,True,135.844,135.844
6,0 days 00:41:25.312000,RUS,63,0 days 00:01:32.293000,7.0,2.0,,,24.226,27.831,40.236,0 days 00:40:17.245000,0 days 00:40:45.076000,0 days 00:41:25.312000,274.0,259.0,256.0,316.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:39:53.019000,2026-03-13 07:57:12.150,1,,False,,False,True,92.293,92.293
7,0 days 00:43:24.637000,RUS,63,0 days 00:01:59.325000,8.0,2.0,,0 days 00:43:22.743000,29.64,33.981,55.704,0 days 00:41:54.952000,0 days 00:42:28.933000,0 days 00:43:24.637000,250.0,260.0,,232.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:41:25.312000,2026-03-13 07:58:44.443,1,,False,,False,False,119.325,119.325
8,0 days 00:50:59.533000,RUS,63,,9.0,3.0,0 days 00:49:17.856000,,,30.159,46.145,,0 days 00:50:13.524000,0 days 00:50:59.533000,239.0,237.0,281.0,258.0,False,SOFT,1.0,True,Mercedes,0 days 00:43:24.637000,2026-03-13 08:00:43.768,12,,False,,False,False,,
9,0 days 00:52:31.053000,RUS,63,0 days 00:01:31.520000,10.0,3.0,,,23.962,27.569,39.989,0 days 00:51:23.495000,0 days 00:51:51.064000,0 days 00:52:31.053000,269.0,255.0,260.0,313.0,True,SOFT,2.0,True,Mercedes,0 days 00:50:59.533000,2026-03-13 08:08:18.664,1,,False,,False,True,91.52,91.52
10,0 days 00:54:34.675000,RUS,63,0 days 00:02:03.622000,11.0,3.0,,,33.731,41.687,48.204,0 days 00:53:04.784000,0 days 00:53:46.471000,0 days 00:54:34.675000,204.0,179.0,282.0,291.0,False,SOFT,3.0,True,Mercedes,0 days 00:52:31.053000,2026-03-13 08:09:50.184,1,,False,,False,True,123.622,123.62200000000001
11,0 days 00:56:06.382000,RUS,63,0 days 00:01:31.707000,12.0,3.0,,,23.974,27.627,40.106,0 days 00:54:58.649000,0 days 00:55:26.276000,0 days 00:56:06.382000,271.0,252.0,258.0,315.0,False,SOFT,4.0,True,Mercedes,0 days 00:54:34.675000,2026-03-13 08:11:53.806,1,,False,,False,True,91.707,91.707
12,0 days 00:58:17.764000,RUS,63,0 days 00:02:11.382000,13.0,3.0,,0 days 00:58:15.090000,31.386,36.132,63.864,0 days 00:56:37.768000,0 days 00:57:13.900000,0 days 00:58:17.764000,209.0,200.0,,219.0,False,SOFT,5.0,True,Mercedes,0 days 00:56:06.382000,2026-03-13 08:13:25.513,1,,False,,False,False,131.382,131.382
13,0 days 00:18:16.817000,ANT,12,,1.0,1.0,0 days 00:16:18.447000,,,36.386,51.567,,0 days 00:17:25.371000,0 days 00:18:17.157000,223.0,245.0,276.0,256.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:16:18.447000,2026-03-13 07:33:37.578,1,,False,,False,False,,
14,0 days 00:19:50.272000,ANT,12,0 days 00:01:33.455000,2.0,1.0,,,24.508,28.154,40.793,0 days 00:18:41.325000,0 days 00:19:09.479000,0 days 00:19:50.272000,279.0,269.0,254.0,314.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:18:16.817000,2026-03-13 07:35:35.948,1,,False,,False,True,93.455,93.455
15,0 days 00:22:00.210000,ANT,12,0 days 00:02:09.938000,3.0,1.0,,0 days 00:21:58.411000,38.392,37.667,53.879,0 days 00:20:28.664000,0 days 00:21:06.331000,0 days 00:22:00.210000,158.0,238.0,,301.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:19:50.272000,2026-03-13 07:37:09.403,1,,False,,False,False,129.938,129.938
16,0 days 00:35:54.761000,ANT,12,,4.0,2.0,0 days 00:33:51.570000,,,34.617,51.849,,0 days 00:35:03.038000,0 days 00:35:54.813000,257.0,253.0,276.0,269.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:22:00.210000,2026-03-13 07:39:19.341,12,,False,,False,False,,
17,0 days 00:37:27.331000,ANT,12,0 days 00:01:32.570000,5.0,2.0,,,24.308,27.903,40.359,0 days 00:36:19.069000,0 days 00:36:46.972000,0 days 00:37:27.331000,276.0,261.0,257.0,318.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:35:54.761000,2026-03-13 07:53:13.892,1,,False,,False,True,92.57,92.57
18,0 days 00:39:35.970000,ANT,12,0 days 00:02:08.639000,6.0,2.0,,,32.251,41.142,55.246,0 days 00:37:59.582000,0 days 00:38:40.724000,0 days 00:39:35.970000,192.0,183.0,278.0,176.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:37:27.331000,2026-03-13 07:54:46.462,1,,False,,False,True,128.639,128.639
19,0 days 00:41:08.261000,ANT,12,0 days 00:01:32.291000,7.0,2.0,,,24.204,27.806,40.281,0 days 00:40:00.174000,0 days 00:40:27.980000,0 days 00:41:08.261000,274.0,259.0,258.0,317.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:39:35.970000,2026-03-13 07:56:55.101,1,,False,,False,True,92.291,92.291
