,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:13.409000,13.9,54.3,1027.0,False,12.2,44,5.1
1,0 days 00:01:13.437000,13.9,54.2,1027.0,False,12.4,47,3.6
2,0 days 00:02:13.440000,13.9,54.2,1027.0,False,13.7,68,3.2
3,0 days 00:03:13.462000,14.0,54.0,1027.1,False,14.7,68,3.0
4,0 days 00:04:13.479000,14.2,53.1,1027.0,False,13.3,92,1.0
5,0 days 00:05:13.478000,14.2,52.6,1027.1,False,13.2,149,0.5
6,0 days 00:06:13.458000,14.3,52.4,1027.1,False,14.1,49,2.5
7,0 days 00:07:13.473000,14.3,52.4,1027.1,False,14.1,49,2.5
8,0 days 00:08:13.472000,14.2,52.1,1026.9,False,13.1,73,3.1
9,0 days 00:09:13.475000,14.1,52.6,1027.1,False,12.7,66,2.7
10,0 days 00:10:13.477000,14.1,52.9,1027.1,False,14.0,68,2.7
11,0 days 00:11:13.479000,14.1,53.0,1027.1,False,13.0,55,1.7
12,0 days 00:12:13.470000,14.1,52.5,1026.9,False,13.1,55,2.9
13,0 days 00:13:13.475000,14.3,51.8,1027.0,False,13.0,63,4.1
14,0 days 00:14:13.473000,14.3,51.4,1026.9,False,12.7,46,3.5
15,0 days 00:15:13.504000,14.3,51.6,1027.0,False,13.2,51,2.4
16,0 days 00:16:13.529000,14.5,52.0,1027.0,False,12.9,59,4.5
17,0 days 00:17:13.549000,14.5,51.2,1026.9,False,13.0,68,3.2
18,0 days 00:18:13.564000,14.4,50.8,1027.0,False,13.1,73,2.8
19,0 days 00:19:13.559000,14.6,51.0,1026.9,False,12.9,68,4.2
20,0 days 00:20:13.559000,14.5,50.2,1027.0,False,13.1,43,2.3
21,0 days 00:21:13.580000,14.6,50.6,1026.8,False,13.2,49,4.5
22,0 days 00:22:13.595000,14.7,50.4,1026.9,False,15.0,49,4.5
23,0 days 00:23:13.596000,14.6,50.4,1026.9,False,13.6,64,3.5
24,0 days 00:24:13.605000,14.6,50.2,1026.9,False,13.1,61,3.3
25,0 days 00:25:13.611000,14.6,50.8,1026.9,False,13.7,81,2.8
26,0 days 00:26:13.615000,14.6,50.9,1026.9,False,13.6,48,3.6
27,0 days 00:27:13.616000,14.6,51.0,1026.9,False,14.0,55,4.6
28,0 days 00:28:13.619000,14.3,51.0,1026.8,False,13.8,60,2.9
29,0 days 00:29:13.619000,14.3,51.0,1026.8,False,13.8,60,2.9
30,0 days 00:30:13.632000,14.7,50.8,1026.9,False,13.8,61,2.2
31,0 days 00:31:13.666000,14.9,49.8,1026.8,False,13.8,71,2.8
32,0 days 00:32:13.670000,14.9,48.9,1026.8,False,14.3,62,3.8
33,0 days 00:33:13.664000,14.8,49.4,1026.8,False,14.0,35,3.8
34,0 days 00:34:13.694000,14.6,50.4,1026.7,False,15.6,63,3.1
35,0 days 00:35:13.701000,14.7,50.6,1026.9,False,14.2,73,3.1
36,0 days 00:36:13.682000,14.7,50.4,1026.7,False,16.2,65,3.3
37,0 days 00:37:13.701000,14.6,49.3,1026.8,False,18.3,51,6.1
38,0 days 00:38:13.701000,14.7,49.3,1026.6,False,13.8,63,3.8
39,0 days 00:39:13.702000,14.8,50.3,1026.7,False,13.4,57,3.5
40,0 days 00:40:13.721000,14.8,50.3,1026.7,False,13.4,57,3.5
41,0 days 00:41:13.700000,14.9,49.0,1026.7,False,13.2,35,2.7
42,0 days 00:42:13.700000,14.8,48.9,1026.7,False,14.2,56,4.0
43,0 days 00:43:13.716000,14.9,49.4,1026.7,False,14.6,65,4.6
44,0 days 00:44:13.703000,14.9,50.0,1026.7,False,13.0,52,3.4
45,0 days 00:45:13.734000,14.8,50.4,1026.7,False,13.2,58,3.6
46,0 days 00:46:13.724000,14.9,50.7,1026.7,False,13.4,65,4.3
47,0 days 00:47:13.752000,14.9,50.6,1026.8,False,13.6,50,3.7
48,0 days 00:48:13.775000,15.1,50.1,1026.6,False,13.4,64,5.3
49,0 days 00:49:13.785000,15.0,49.5,1026.7,False,13.3,51,6.1
50,0 days 00:50:13.787000,15.0,49.7,1026.6,False,13.6,61,4.8
51,0 days 00:51:13.791000,15.1,50.1,1026.7,False,13.8,61,4.0
52,0 days 00:52:13.776000,15.1,50.3,1026.6,False,13.5,54,5.3
53,0 days 00:53:13.794000,15.1,49.9,1026.5,False,13.9,70,5.0
54,0 days 00:54:13.796000,15.2,50.2,1026.6,False,14.1,65,5.2
