,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:58:08.742000,NOR,1,0 days 00:01:24.177000,1.0,1.0,,,,27.056,25.56,,0 days 00:57:44.833000,0 days 00:58:10.361000,290.0,280.0,308.0,208.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:45.791000,2026-08-23 13:03:28.568,1,1.0,False,,False,False,84.177,
1,0 days 01:00:11.939000,NOR,1,0 days 00:02:03.197000,2.0,1.0,,0 days 01:00:10.950000,26.899,40.058,56.24,0 days 00:58:37.260000,0 days 00:59:17.318000,0 days 01:00:13.558000,271.0,163.0,,269.0,False,MEDIUM,2.0,True,McLaren,0 days 00:58:08.742000,2026-08-23 13:04:51.519,125,1.0,False,,False,False,123.197,123.197
2,0 days 01:28:33.657000,NOR,1,,3.0,2.0,0 days 01:26:22.390000,,,35.231,61.496,,0 days 01:27:33.798000,0 days 01:28:35.276000,267.0,199.0,82.0,269.0,False,SOFT,4.0,False,McLaren,0 days 01:26:17.312000,2026-08-23 13:33:00.089,1,1.0,False,,False,False,,
3,0 days 01:31:52.188000,NOR,1,,4.0,2.0,,,,28.34,58.131,,0 days 01:30:55.700000,0 days 01:31:53.916000,246.0,176.0,52.0,112.0,False,SOFT,5.0,False,McLaren,0 days 01:28:33.657000,2026-08-23 13:35:16.434,12,1.0,False,,False,False,,
4,0 days 01:34:18.122000,NOR,1,0 days 00:02:25.934000,5.0,2.0,,,95.385,27.429,23.12,0 days 01:33:29.192000,0 days 01:33:56.621000,0 days 01:34:19.741000,266.0,269.0,311.0,212.0,True,SOFT,6.0,False,McLaren,0 days 01:31:52.188000,2026-08-23 13:38:34.965,12,2.0,False,,False,True,145.934,145.934
5,0 days 01:35:34.989000,NOR,1,0 days 00:01:16.867000,6.0,2.0,,,26.295,27.442,23.13,0 days 01:34:46.036000,0 days 01:35:13.478000,0 days 01:35:36.608000,277.0,276.0,314.0,301.0,True,SOFT,7.0,False,McLaren,0 days 01:34:18.122000,2026-08-23 13:41:00.899,1,2.0,False,,False,True,76.867,76.867
6,0 days 01:36:51.882000,NOR,1,0 days 00:01:16.893000,7.0,2.0,,,26.209,27.466,23.218,0 days 01:36:02.817000,0 days 01:36:30.283000,0 days 01:36:53.501000,286.0,279.0,315.0,300.0,False,SOFT,8.0,False,McLaren,0 days 01:35:34.989000,2026-08-23 13:42:17.766,1,2.0,False,,False,True,76.893,76.893
7,0 days 01:38:08.629000,NOR,1,0 days 00:01:16.747000,8.0,2.0,,,25.922,27.712,23.113,0 days 01:37:19.423000,0 days 01:37:47.135000,0 days 01:38:10.248000,285.0,279.0,318.0,307.0,True,SOFT,9.0,False,McLaren,0 days 01:36:51.882000,2026-08-23 13:43:34.659,1,2.0,False,,False,True,76.747,76.747
8,0 days 01:39:25.295000,NOR,1,0 days 00:01:16.666000,9.0,2.0,,,25.905,27.682,23.079,0 days 01:38:36.153000,0 days 01:39:03.835000,0 days 01:39:26.914000,287.0,278.0,313.0,306.0,True,SOFT,10.0,False,McLaren,0 days 01:38:08.629000,2026-08-23 13:44:51.406,1,2.0,False,,False,True,76.666,76.666
9,0 days 01:40:42.190000,NOR,1,0 days 00:01:16.895000,10.0,2.0,,,25.976,27.796,23.123,0 days 01:39:52.890000,0 days 01:40:20.686000,0 days 01:40:43.809000,289.0,279.0,314.0,300.0,False,SOFT,11.0,False,McLaren,0 days 01:39:25.295000,2026-08-23 13:46:08.072,1,2.0,False,,False,True,76.895,76.895
10,0 days 01:41:59.235000,NOR,1,0 days 00:01:17.045000,11.0,2.0,,,25.975,27.893,23.177,0 days 01:41:09.784000,0 days 01:41:37.677000,0 days 01:42:00.854000,283.0,272.0,312.0,302.0,False,SOFT,12.0,False,McLaren,0 days 01:40:42.190000,2026-08-23 13:47:24.967,1,2.0,False,,False,True,77.045,77.045
11,0 days 01:43:16.305000,NOR,1,0 days 00:01:17.070000,12.0,2.0,,,26.011,27.857,23.202,0 days 01:42:26.865000,0 days 01:42:54.722000,0 days 01:43:17.924000,282.0,273.0,313.0,305.0,False,SOFT,13.0,False,McLaren,0 days 01:41:59.235000,2026-08-23 13:48:42.012,1,2.0,False,,False,True,77.07,77.07
12,0 days 01:44:33.370000,NOR,1,0 days 00:01:17.065000,13.0,2.0,,,25.988,27.868,23.209,0 days 01:43:43.912000,0 days 01:44:11.780000,0 days 01:44:34.989000,283.0,275.0,312.0,306.0,False,SOFT,14.0,False,McLaren,0 days 01:43:16.305000,2026-08-23 13:49:59.082,1,2.0,False,,False,True,77.065,77.065
13,0 days 01:45:50.611000,NOR,1,0 days 00:01:17.241000,14.0,2.0,,,25.894,28.041,23.306,0 days 01:45:00.883000,0 days 01:45:28.924000,0 days 01:45:52.230000,283.0,273.0,312.0,306.0,False,SOFT,15.0,False,McLaren,0 days 01:44:33.370000,2026-08-23 13:51:16.147,1,2.0,False,,False,True,77.241,77.241
14,0 days 01:47:07.803000,NOR,1,0 days 00:01:17.192000,15.0,2.0,,,25.971,27.951,23.27,0 days 01:46:18.201000,0 days 01:46:46.152000,0 days 01:47:09.422000,282.0,273.0,312.0,305.0,False,SOFT,16.0,False,McLaren,0 days 01:45:50.611000,2026-08-23 13:52:33.388,1,2.0,False,,False,True,77.192,77.192
15,0 days 01:48:24.995000,NOR,1,0 days 00:01:17.192000,16.0,2.0,,,25.908,28.026,23.258,0 days 01:47:35.330000,0 days 01:48:03.356000,0 days 01:48:26.614000,282.0,274.0,314.0,306.0,False,SOFT,17.0,False,McLaren,0 days 01:47:07.803000,2026-08-23 13:53:50.580,1,2.0,False,,False,True,77.192,77.192
16,0 days 01:49:42.409000,NOR,1,0 days 00:01:17.414000,17.0,2.0,,,25.91,28.135,23.369,0 days 01:48:52.524000,0 days 01:49:20.659000,0 days 01:49:44.028000,281.0,274.0,313.0,309.0,False,SOFT,18.0,False,McLaren,0 days 01:48:24.995000,2026-08-23 13:55:07.772,1,2.0,False,,False,True,77.414,77.414
17,0 days 01:50:59.851000,NOR,1,0 days 00:01:17.442000,18.0,2.0,,,26.031,28.074,23.337,0 days 01:50:10.059000,0 days 01:50:38.133000,0 days 01:51:01.470000,281.0,275.0,312.0,309.0,False,SOFT,19.0,False,McLaren,0 days 01:49:42.409000,2026-08-23 13:56:25.186,1,2.0,False,,False,True,77.442,77.44200000000001
18,0 days 01:52:17.359000,NOR,1,0 days 00:01:17.508000,19.0,2.0,,,25.971,28.202,23.335,0 days 01:51:27.441000,0 days 01:51:55.643000,0 days 01:52:18.978000,281.0,273.0,314.0,307.0,False,SOFT,20.0,False,McLaren,0 days 01:50:59.851000,2026-08-23 13:57:42.628,1,2.0,False,,False,True,77.508,77.50800000000001
19,0 days 01:53:35.180000,NOR,1,0 days 00:01:17.821000,20.0,2.0,,,26.007,28.469,23.345,0 days 01:52:44.985000,0 days 01:53:13.454000,0 days 01:53:36.799000,281.0,275.0,313.0,309.0,False,SOFT,21.0,False,McLaren,0 days 01:52:17.359000,2026-08-23 13:59:00.136,1,2.0,False,,False,True,77.821,77.821
20,0 days 01:54:55.760000,NOR,1,0 days 00:01:20.580000,21.0,2.0,,0 days 01:54:56.178000,26.032,28.348,26.2,0 days 01:54:02.831000,0 days 01:54:31.179000,0 days 01:54:57.379000,283.0,274.0,,307.0,False,SOFT,22.0,False,McLaren,0 days 01:53:35.180000,2026-08-23 14:00:17.957,1,2.0,False,,False,False,80.58,80.58
21,0 days 01:56:29.030000,NOR,1,0 days 00:01:33.270000,22.0,3.0,0 days 01:55:14.266000,,43.107,27.31,22.853,0 days 01:55:40.486000,0 days 01:56:07.796000,0 days 01:56:30.649000,287.0,276.0,313.0,307.0,False,HARD,1.0,True,McLaren,0 days 01:54:55.760000,2026-08-23 14:01:38.537,1,3.0,False,,False,False,93.27,93.27000000000001
22,0 days 01:57:44.999000,NOR,1,0 days 00:01:15.969000,23.0,3.0,,,25.782,27.335,22.852,0 days 01:56:56.431000,0 days 01:57:23.766000,0 days 01:57:46.618000,283.0,276.0,314.0,302.0,True,HARD,2.0,True,McLaren,0 days 01:56:29.030000,2026-08-23 14:03:11.807,1,3.0,False,,False,True,75.969,75.96900000000001
