,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:30.151000,19.7,55.5,1011.1,False,33.0,38,3.4
1,0 days 00:01:30.134000,19.7,55.5,1011.1,False,32.0,36,1.4
2,0 days 00:02:30.128000,19.6,56.3,1011.0,False,31.9,40,2.6
3,0 days 00:03:30.134000,19.5,56.6,1011.1,False,32.7,53,3.1
4,0 days 00:04:30.150000,19.4,57.0,1011.0,False,33.1,25,1.4
5,0 days 00:05:30.151000,19.5,57.5,1011.2,True,33.9,29,2.5
6,0 days 00:06:30.165000,19.5,57.3,1011.1,False,34.1,32,2.3
7,0 days 00:07:30.162000,19.6,57.1,1011.1,False,33.6,35,2.2
8,0 days 00:08:30.172000,19.5,56.6,1011.2,False,32.8,51,2.8
9,0 days 00:09:30.193000,19.5,56.6,1011.2,False,32.8,48,3.2
10,0 days 00:10:30.182000,19.4,55.7,1011.2,False,33.6,27,2.0
11,0 days 00:11:30.193000,19.4,55.4,1011.2,True,34.3,54,2.3
12,0 days 00:12:30.213000,19.5,55.1,1011.2,False,34.3,38,3.1
13,0 days 00:13:30.224000,19.4,54.3,1011.2,False,34.0,25,2.1
14,0 days 00:14:30.226000,19.5,55.1,1011.2,False,35.0,85,1.2
15,0 days 00:15:30.225000,19.6,54.5,1011.1,False,35.1,38,2.2
16,0 days 00:16:30.239000,19.7,55.4,1011.1,False,35.6,32,1.4
17,0 days 00:17:30.240000,19.8,55.2,1011.2,False,35.9,69,2.0
18,0 days 00:18:30.254000,19.9,54.0,1011.2,False,35.9,58,2.1
19,0 days 00:19:30.264000,19.9,54.5,1011.1,False,35.7,51,2.8
20,0 days 00:20:30.266000,19.8,55.0,1011.2,False,35.8,49,1.8
21,0 days 00:21:30.279000,19.7,53.8,1011.2,False,35.8,82,2.6
22,0 days 00:22:30.281000,19.9,53.7,1011.3,True,36.5,29,1.6
23,0 days 00:23:30.280000,20.0,53.8,1011.2,False,35.5,51,2.6
24,0 days 00:24:30.299000,20.0,53.7,1011.3,False,35.3,6,0.9
25,0 days 00:25:30.296000,20.0,53.7,1011.2,False,35.8,54,2.2
26,0 days 00:26:30.321000,19.9,54.5,1011.2,False,35.5,7,1.4
27,0 days 00:27:30.316000,19.9,54.8,1011.3,False,35.9,42,0.8
28,0 days 00:28:30.313000,19.9,54.5,1011.3,False,35.2,28,2.5
29,0 days 00:29:30.313000,19.9,55.4,1011.3,False,34.2,33,1.9
30,0 days 00:30:30.318000,19.9,56.8,1011.3,False,34.3,36,3.3
31,0 days 00:31:30.323000,19.7,56.7,1011.3,False,33.5,24,1.7
32,0 days 00:32:30.320000,19.7,55.7,1011.3,False,32.8,31,3.2
33,0 days 00:33:30.322000,19.6,56.5,1011.3,False,32.5,32,2.4
34,0 days 00:34:30.319000,19.5,56.9,1011.4,False,32.4,32,1.9
35,0 days 00:35:30.321000,19.4,57.3,1011.4,False,32.6,32,3.4
36,0 days 00:36:30.323000,19.3,57.2,1011.3,False,32.8,35,3.7
37,0 days 00:37:30.324000,19.3,56.2,1011.4,False,33.0,29,3.4
38,0 days 00:38:30.318000,19.3,56.6,1011.3,False,32.6,24,2.7
39,0 days 00:39:30.340000,19.3,56.7,1011.3,False,32.4,64,3.2
40,0 days 00:40:30.336000,19.3,56.6,1011.3,False,32.3,46,2.6
41,0 days 00:41:30.365000,19.3,57.3,1011.3,False,32.1,46,4.7
42,0 days 00:42:30.371000,19.3,56.0,1011.4,False,31.4,55,2.3
43,0 days 00:43:30.366000,19.2,55.7,1011.3,False,31.6,35,1.9
44,0 days 00:44:30.372000,19.2,56.3,1011.3,False,31.6,82,1.1
45,0 days 00:45:30.377000,19.1,57.6,1011.3,False,31.1,27,1.6
46,0 days 00:46:30.361000,19.1,57.5,1011.3,False,31.1,41,3.1
47,0 days 00:47:30.364000,19.1,58.0,1011.3,False,30.8,40,3.0
48,0 days 00:48:30.373000,19.1,57.7,1011.3,False,31.2,43,2.6
49,0 days 00:49:30.373000,19.1,59.1,1011.4,False,31.1,40,1.6
50,0 days 00:50:30.373000,19.0,58.9,1011.4,False,31.3,21,1.7
51,0 days 00:51:30.377000,19.0,59.2,1011.4,False,31.4,42,3.0
52,0 days 00:52:30.369000,19.1,59.7,1011.3,False,31.5,32,1.2
53,0 days 00:53:30.392000,19.1,59.3,1011.4,False,30.6,44,3.7
54,0 days 00:54:30.410000,19.0,59.0,1011.3,False,30.6,64,2.0
55,0 days 00:55:30.432000,19.0,59.2,1011.4,False,30.3,40,2.5
56,0 days 00:56:30.447000,19.0,58.8,1011.3,False,30.5,43,2.8
57,0 days 00:57:30.571000,19.0,58.7,1011.3,False,30.4,48,3.5
58,0 days 00:58:30.464000,19.0,57.6,1011.4,False,30.2,41,2.9
59,0 days 00:59:30.460000,18.9,57.5,1011.3,False,30.0,27,3.4
60,0 days 01:00:30.459000,18.9,59.1,1011.3,False,30.3,46,2.5
61,0 days 01:01:30.466000,18.9,59.6,1011.4,False,30.1,31,2.2
