,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:53.884000,18.2,60.1,1018.7,False,24.5,144,0.6
1,0 days 00:01:53.887000,18.2,59.4,1018.6,False,25.1,56,2.2
2,0 days 00:02:53.921000,18.2,60.3,1018.5,False,24.4,16,4.0
3,0 days 00:03:53.905000,18.1,59.8,1018.7,False,24.6,99,0.7
4,0 days 00:04:53.917000,18.0,59.3,1018.7,False,24.9,32,1.5
5,0 days 00:05:53.915000,17.9,59.3,1018.7,False,24.4,52,2.3
6,0 days 00:06:53.938000,17.9,60.0,1018.7,False,25.3,84,0.4
7,0 days 00:07:53.936000,17.9,61.1,1018.7,False,26.4,82,1.3
8,0 days 00:08:53.931000,17.8,61.7,1018.7,False,27.1,39,3.1
9,0 days 00:09:53.931000,17.9,62.0,1018.8,False,26.2,95,4.5
10,0 days 00:10:53.945000,18.0,62.2,1018.5,False,25.3,115,2.1
11,0 days 00:11:53.976000,18.0,63.5,1018.8,False,24.6,47,4.7
12,0 days 00:12:53.986000,18.0,63.6,1018.8,False,24.2,34,3.4
13,0 days 00:13:53.982000,17.8,63.3,1018.9,False,23.7,62,3.6
14,0 days 00:14:53.991000,17.7,64.5,1018.7,True,23.8,77,3.1
15,0 days 00:15:53.976000,17.6,64.3,1018.8,False,23.4,7,4.3
16,0 days 00:16:53.992000,17.5,64.6,1018.9,False,23.6,22,3.5
17,0 days 00:17:53.991000,17.5,64.6,1018.8,True,23.2,31,2.2
18,0 days 00:18:53.993000,17.4,64.1,1018.9,False,23.5,43,2.8
19,0 days 00:19:53.994000,17.3,63.8,1018.8,False,23.2,60,1.4
20,0 days 00:20:54.002000,17.3,63.9,1018.9,False,23.4,19,2.5
21,0 days 00:21:53.986000,17.4,64.0,1018.9,False,23.5,44,2.2
22,0 days 00:22:54.005000,17.4,63.0,1019.0,False,23.6,64,2.2
23,0 days 00:23:53.995000,17.5,62.4,1018.8,False,23.4,41,2.8
24,0 days 00:24:53.991000,17.6,62.4,1018.9,False,22.9,36,3.1
25,0 days 00:25:54.012000,17.6,61.1,1018.9,False,23.1,25,2.2
26,0 days 00:26:54.032000,17.6,60.9,1018.9,False,23.0,35,2.5
27,0 days 00:27:54.023000,17.6,60.8,1019.0,False,23.4,49,2.8
28,0 days 00:28:54.026000,17.5,60.2,1019.0,False,23.4,33,2.1
29,0 days 00:29:54.033000,17.5,61.0,1019.0,False,23.6,65,2.6
30,0 days 00:30:54.029000,17.6,61.9,1018.9,False,23.9,54,2.1
31,0 days 00:31:54.039000,17.6,62.7,1019.0,False,24.3,43,3.2
32,0 days 00:32:54.040000,17.7,63.8,1018.9,False,24.1,62,2.2
33,0 days 00:33:54.056000,17.7,64.8,1019.0,False,23.9,18,1.3
34,0 days 00:34:54.038000,17.7,63.9,1019.0,False,24.2,37,2.1
35,0 days 00:35:54.050000,17.7,62.9,1018.9,False,24.6,43,1.8
36,0 days 00:36:54.058000,17.6,63.5,1019.0,False,25.3,38,4.1
37,0 days 00:37:54.067000,17.7,63.1,1019.0,False,25.0,28,3.6
38,0 days 00:38:54.082000,17.8,62.5,1019.0,False,24.8,52,2.7
39,0 days 00:39:54.089000,17.8,60.2,1019.1,True,24.3,2,3.1
40,0 days 00:40:54.088000,17.8,59.4,1019.1,False,24.6,44,3.1
41,0 days 00:41:54.083000,17.8,59.9,1019.0,False,24.8,35,2.9
42,0 days 00:42:54.099000,17.8,62.1,1019.1,False,25.2,79,3.0
43,0 days 00:43:54.090000,17.9,61.9,1019.2,False,26.8,46,2.1
44,0 days 00:44:54.094000,18.0,61.4,1019.1,False,26.3,32,2.2
45,0 days 00:45:54.112000,18.0,61.7,1019.1,False,26.3,45,2.5
46,0 days 00:46:54.116000,18.2,62.7,1019.1,False,26.0,26,1.3
47,0 days 00:47:54.116000,18.1,62.8,1019.1,False,25.5,32,0.5
48,0 days 00:48:54.120000,18.1,62.0,1019.0,False,26.4,44,3.4
49,0 days 00:49:54.118000,18.2,62.1,1018.9,False,26.1,42,3.8
50,0 days 00:50:54.133000,18.2,61.7,1019.1,False,27.0,24,2.2
51,0 days 00:51:54.135000,18.1,61.4,1019.2,False,27.8,44,3.9
52,0 days 00:52:54.135000,18.1,61.5,1019.1,False,28.3,46,2.4
53,0 days 00:53:54.157000,18.2,62.2,1019.1,False,27.3,40,1.9
54,0 days 00:54:54.177000,18.2,61.8,1019.2,False,26.9,51,3.0
55,0 days 00:55:54.170000,18.2,61.3,1019.1,False,26.6,68,2.8
56,0 days 00:56:54.175000,18.2,62.8,1019.1,False,25.3,14,2.8
57,0 days 00:57:54.179000,18.0,64.1,1019.2,False,25.1,71,2.8
58,0 days 00:58:54.174000,17.9,64.3,1019.3,False,24.2,61,4.2
59,0 days 00:59:54.187000,17.7,63.5,1019.2,False,25.5,28,2.5
60,0 days 01:00:54.180000,17.7,64.2,1019.2,False,26.7,57,2.1
61,0 days 01:01:54.166000,17.7,62.9,1019.0,False,25.4,25,1.6
62,0 days 01:02:54.173000,17.8,63.1,1019.3,False,26.2,32,2.5
63,0 days 01:03:54.188000,17.8,63.5,1019.3,False,26.8,31,2.9
64,0 days 01:04:54.173000,17.8,62.3,1019.3,False,27.4,37,2.9
