,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:46:26.161000,RUS,63,,1.0,1.0,,,,26.476,22.836,,0 days 00:46:03.428000,0 days 00:46:26.307000,282.0,278.0,309.0,214.0,False,MEDIUM,5.0,False,Mercedes,0 days 00:45:06.466000,2026-08-22 10:03:10.077,1,1.0,False,,False,False,,
1,0 days 00:47:41.810000,RUS,63,0 days 00:01:15.649000,2.0,1.0,,,26.147,26.736,22.766,0 days 00:46:52.331000,0 days 00:47:19.067000,0 days 00:47:41.833000,279.0,279.0,308.0,294.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:46:26.161000,2026-08-22 10:04:29.772,1,1.0,False,,False,True,75.649,75.649
2,0 days 00:48:57.089000,RUS,63,0 days 00:01:15.279000,3.0,1.0,,,25.811,26.811,22.657,0 days 00:48:07.644000,0 days 00:48:34.455000,0 days 00:48:57.112000,280.0,275.0,311.0,299.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:47:41.810000,2026-08-22 10:05:45.421,1,1.0,False,,False,True,75.279,75.279
3,0 days 00:50:12.537000,RUS,63,0 days 00:01:15.448000,4.0,1.0,,,25.882,26.83,22.736,0 days 00:49:22.994000,0 days 00:49:49.824000,0 days 00:50:12.560000,285.0,277.0,315.0,301.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:48:57.089000,2026-08-22 10:07:00.700,1,1.0,False,,False,True,75.448,75.44800000000001
4,0 days 00:51:27.473000,RUS,63,0 days 00:01:14.936000,5.0,1.0,,,25.565,26.739,22.632,0 days 00:50:38.125000,0 days 00:51:04.864000,0 days 00:51:27.496000,290.0,275.0,319.0,305.0,True,MEDIUM,9.0,False,Mercedes,0 days 00:50:12.537000,2026-08-22 10:08:16.148,1,1.0,False,,False,True,74.936,74.936
5,0 days 00:52:42.589000,RUS,63,0 days 00:01:15.116000,6.0,1.0,,,25.566,26.916,22.634,0 days 00:51:53.062000,0 days 00:52:19.978000,0 days 00:52:42.612000,281.0,278.0,320.0,306.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:51:27.473000,2026-08-22 10:09:31.084,1,1.0,False,,False,True,75.116,75.116
6,0 days 00:53:58.247000,RUS,63,0 days 00:01:15.658000,7.0,1.0,,,25.805,27.071,22.782,0 days 00:53:08.417000,0 days 00:53:35.488000,0 days 00:53:58.270000,280.0,278.0,320.0,307.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:52:42.589000,2026-08-22 10:10:46.200,1,1.0,False,,False,True,75.658,75.658
7,0 days 00:55:13.544000,RUS,63,0 days 00:01:15.297000,8.0,1.0,,,25.729,26.921,22.647,0 days 00:54:23.999000,0 days 00:54:50.920000,0 days 00:55:13.567000,282.0,276.0,321.0,305.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:53:58.247000,2026-08-22 10:12:01.858,1,1.0,False,,False,True,75.297,75.297
8,0 days 00:56:29.197000,RUS,63,0 days 00:01:15.653000,9.0,1.0,,,25.697,27.202,22.754,0 days 00:55:39.264000,0 days 00:56:06.466000,0 days 00:56:29.220000,281.0,276.0,321.0,309.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:55:13.544000,2026-08-22 10:13:17.155,1,1.0,False,,False,True,75.653,75.653
9,0 days 00:57:44.908000,RUS,63,0 days 00:01:15.711000,10.0,1.0,,,25.824,27.172,22.715,0 days 00:56:55.044000,0 days 00:57:22.216000,0 days 00:57:44.931000,283.0,275.0,319.0,311.0,False,MEDIUM,14.0,False,Mercedes,0 days 00:56:29.197000,2026-08-22 10:14:32.808,1,1.0,False,,False,True,75.711,75.711
10,0 days 00:59:01.007000,RUS,63,0 days 00:01:16.099000,11.0,1.0,,,25.807,27.356,22.936,0 days 00:58:10.738000,0 days 00:58:38.094000,0 days 00:59:01.030000,281.0,276.0,318.0,308.0,False,MEDIUM,15.0,False,Mercedes,0 days 00:57:44.908000,2026-08-22 10:15:48.519,1,1.0,False,,False,True,76.099,76.09899999999999
11,0 days 01:00:17.035000,RUS,63,0 days 00:01:16.028000,12.0,1.0,,,25.812,27.185,23.031,0 days 00:59:26.842000,0 days 00:59:54.027000,0 days 01:00:17.058000,281.0,277.0,316.0,311.0,False,MEDIUM,16.0,False,Mercedes,0 days 00:59:01.007000,2026-08-22 10:17:04.618,1,1.0,False,,False,True,76.028,76.02799999999999
12,0 days 01:01:32.912000,RUS,63,0 days 00:01:15.877000,13.0,1.0,,,25.905,27.208,22.764,0 days 01:00:42.963000,0 days 01:01:10.171000,0 days 01:01:32.935000,287.0,277.0,316.0,301.0,False,MEDIUM,17.0,False,Mercedes,0 days 01:00:17.035000,2026-08-22 10:18:20.646,1,1.0,False,,False,True,75.877,75.877
13,0 days 01:02:48.839000,RUS,63,0 days 00:01:15.927000,14.0,1.0,,,25.822,27.202,22.903,0 days 01:01:58.757000,0 days 01:02:25.959000,0 days 01:02:48.862000,288.0,277.0,318.0,299.0,False,MEDIUM,18.0,False,Mercedes,0 days 01:01:32.912000,2026-08-22 10:19:36.523,1,1.0,False,,False,True,75.927,75.92699999999999
14,0 days 01:04:05.163000,RUS,63,0 days 00:01:16.324000,15.0,1.0,,,26.084,27.311,22.929,0 days 01:03:14.946000,0 days 01:03:42.257000,0 days 01:04:05.186000,285.0,277.0,317.0,299.0,False,MEDIUM,19.0,False,Mercedes,0 days 01:02:48.839000,2026-08-22 10:20:52.450,1,1.0,False,,False,True,76.324,76.324
15,0 days 01:05:21.344000,RUS,63,0 days 00:01:16.181000,16.0,1.0,,,25.981,27.264,22.936,0 days 01:04:31.167000,0 days 01:04:58.431000,0 days 01:05:21.367000,282.0,279.0,320.0,305.0,False,MEDIUM,20.0,False,Mercedes,0 days 01:04:05.163000,2026-08-22 10:22:08.774,1,1.0,False,,False,True,76.181,76.18100000000001
