,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:46.859000,26.5,22.9,984.4,False,50.5,143,1.8
1,0 days 00:01:46.879000,26.6,22.8,984.4,False,49.5,133,2.4
2,0 days 00:02:46.872000,26.8,22.9,984.5,False,48.7,207,1.3
3,0 days 00:03:46.881000,26.8,23.5,984.5,False,50.0,130,1.6
4,0 days 00:04:46.875000,26.9,23.0,984.5,False,47.8,129,2.0
5,0 days 00:05:46.879000,26.9,22.8,984.5,False,48.6,175,2.0
6,0 days 00:06:46.888000,26.9,23.4,984.4,False,49.5,104,2.8
7,0 days 00:07:46.886000,26.9,23.3,984.4,False,49.7,134,1.1
8,0 days 00:08:46.888000,26.8,22.8,984.3,False,47.7,98,1.2
9,0 days 00:09:46.899000,26.6,23.2,984.3,False,49.5,158,3.7
10,0 days 00:10:46.906000,26.6,23.4,984.3,False,49.3,137,1.2
11,0 days 00:11:46.894000,26.6,23.0,984.4,False,47.9,135,2.5
12,0 days 00:12:46.911000,26.6,23.1,984.4,False,48.5,184,2.0
13,0 days 00:13:46.919000,26.7,23.3,984.3,False,49.1,139,1.8
14,0 days 00:14:46.940000,26.8,22.8,984.4,False,48.9,176,2.0
15,0 days 00:15:46.938000,26.5,23.1,984.3,False,48.4,187,0.4
16,0 days 00:16:46.943000,26.6,23.0,984.3,False,49.0,141,1.8
17,0 days 00:17:46.928000,26.6,22.5,984.2,False,49.0,144,2.1
18,0 days 00:18:46.938000,26.7,22.3,984.3,False,49.2,147,2.5
19,0 days 00:19:46.934000,26.8,22.2,984.3,False,48.1,95,0.9
20,0 days 00:20:46.961000,26.9,22.3,984.2,False,48.3,130,2.2
21,0 days 00:21:46.989000,26.9,22.3,984.3,False,48.7,150,2.1
22,0 days 00:22:46.970000,26.9,22.7,984.3,False,48.5,110,2.9
23,0 days 00:23:46.971000,27.0,22.7,984.3,False,48.7,135,0.8
24,0 days 00:24:46.986000,27.1,22.6,984.3,False,48.3,121,1.2
25,0 days 00:25:47.013000,27.2,22.4,984.3,False,48.2,122,1.6
26,0 days 00:26:47.012000,27.2,22.5,984.3,False,48.0,124,2.0
27,0 days 00:27:47.013000,27.1,22.7,984.2,False,48.0,132,3.0
28,0 days 00:28:47.025000,27.1,23.0,984.2,False,47.6,144,1.9
29,0 days 00:29:47.033000,27.0,23.0,984.3,False,47.2,106,1.4
30,0 days 00:30:47.033000,27.0,23.4,984.1,False,48.0,164,1.2
31,0 days 00:31:47.041000,27.0,22.5,984.3,False,47.7,169,1.4
32,0 days 00:32:47.034000,27.0,22.5,984.2,False,47.6,141,1.6
33,0 days 00:33:47.028000,26.9,22.6,984.2,False,47.5,142,1.7
34,0 days 00:34:47.028000,26.8,23.6,984.3,False,47.3,140,2.6
35,0 days 00:35:47.039000,26.8,23.1,984.3,False,46.6,0,0.0
36,0 days 00:36:47.039000,26.8,23.2,984.2,False,46.2,97,2.3
37,0 days 00:37:47.039000,26.7,23.6,984.2,False,46.5,117,1.8
38,0 days 00:38:47.033000,26.7,24.0,984.2,False,47.0,121,2.4
39,0 days 00:39:47.028000,26.8,23.6,984.2,False,45.8,122,2.0
40,0 days 00:40:47.044000,26.8,23.7,984.1,False,46.5,133,3.0
41,0 days 00:41:47.038000,26.8,23.5,984.1,False,46.3,142,4.2
42,0 days 00:42:47.020000,26.9,23.3,984.1,False,46.5,140,2.5
43,0 days 00:43:47.039000,26.9,23.1,984.1,False,47.4,140,2.6
44,0 days 00:44:47.040000,27.0,23.0,984.1,False,47.2,157,3.1
45,0 days 00:45:47.044000,27.0,23.0,984.2,False,47.4,153,2.8
46,0 days 00:46:47.038000,26.8,23.1,984.1,False,47.4,137,2.3
47,0 days 00:47:47.031000,26.9,22.6,984.1,False,46.8,162,1.4
48,0 days 00:48:47.055000,26.8,23.6,984.2,False,47.2,168,1.2
49,0 days 00:49:47.068000,26.9,24.0,984.1,False,47.2,134,1.8
50,0 days 00:50:47.093000,26.9,23.9,984.2,False,47.6,118,1.3
51,0 days 00:51:47.091000,26.8,23.9,984.2,False,46.5,109,2.0
52,0 days 00:52:47.113000,26.8,23.3,984.1,False,45.6,161,1.9
53,0 days 00:53:47.104000,26.8,23.3,984.1,False,44.1,82,2.1
54,0 days 00:54:47.124000,26.8,23.7,984.1,False,45.4,183,2.2
55,0 days 00:55:47.125000,26.9,23.3,984.2,False,44.7,133,1.2
56,0 days 00:56:47.122000,26.9,23.0,984.1,False,45.0,148,2.5
57,0 days 00:57:47.127000,26.9,23.1,984.0,False,43.4,113,4.1
58,0 days 00:58:47.133000,26.9,23.2,984.1,False,42.8,149,1.6
59,0 days 00:59:47.133000,26.8,23.1,984.1,False,43.9,155,1.0
60,0 days 01:00:47.122000,26.8,23.4,984.1,False,42.9,135,2.6
61,0 days 01:01:47.131000,26.7,23.6,984.0,False,42.1,103,1.8
62,0 days 01:02:47.132000,26.6,23.8,984.1,False,43.0,115,0.6
63,0 days 01:03:47.132000,26.6,23.7,984.1,False,43.3,131,1.0
64,0 days 01:04:47.134000,26.6,23.4,984.0,False,43.4,117,1.6
65,0 days 01:05:47.141000,26.6,23.8,984.1,False,42.1,96,2.3
66,0 days 01:06:47.154000,26.6,23.8,984.2,False,42.4,119,1.9
67,0 days 01:07:47.153000,26.7,23.6,984.1,False,42.9,115,2.4
68,0 days 01:08:47.154000,26.7,23.7,984.1,False,42.2,135,0.6
69,0 days 01:09:47.168000,26.6,23.9,984.1,False,42.7,79,0.8
70,0 days 01:10:47.172000,26.5,23.8,984.0,False,42.5,166,1.6
71,0 days 01:11:47.185000,26.5,23.9,984.1,False,42.2,109,0.7
72,0 days 01:12:47.182000,26.4,24.0,984.0,False,42.4,1,0.4
73,0 days 01:13:47.187000,26.5,23.4,984.1,False,42.0,0,0.0
74,0 days 01:14:47.196000,26.6,23.2,984.1,False,42.6,271,1.2
75,0 days 01:15:47.186000,26.5,23.3,984.1,False,42.0,134,0.4
