,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:10.550000,33.9,34.1,994.9,False,56.2,0,0.0
1,0 days 00:01:10.568000,33.8,34.2,994.9,False,56.1,0,0.0
2,0 days 00:02:10.587000,33.8,34.7,994.9,False,54.9,269,2.7
3,0 days 00:03:10.581000,33.7,34.9,994.9,False,54.4,266,1.8
4,0 days 00:04:10.617000,33.6,35.4,994.8,False,55.8,205,1.6
5,0 days 00:05:10.618000,33.6,35.5,994.9,False,55.8,47,0.9
6,0 days 00:06:10.650000,33.7,34.9,994.8,False,56.1,37,1.5
7,0 days 00:07:10.651000,33.9,34.5,994.8,False,56.0,19,1.7
8,0 days 00:08:10.641000,33.8,34.2,994.8,False,55.8,56,0.7
9,0 days 00:09:10.634000,33.9,33.0,994.8,False,55.8,14,2.0
10,0 days 00:10:10.650000,34.1,32.1,994.8,False,55.8,255,1.1
11,0 days 00:11:10.673000,34.2,32.6,994.8,False,55.0,266,0.9
12,0 days 00:12:10.687000,34.1,33.0,994.8,False,56.1,214,1.0
13,0 days 00:13:10.695000,34.1,33.5,994.9,False,54.9,211,2.9
14,0 days 00:14:10.684000,34.1,34.2,994.8,False,55.0,210,1.9
15,0 days 00:15:10.686000,34.2,34.8,994.8,False,54.5,253,1.6
16,0 days 00:16:10.691000,34.1,35.3,994.8,False,53.8,270,3.3
17,0 days 00:17:10.681000,34.0,34.7,994.7,False,54.2,225,3.1
18,0 days 00:18:10.697000,34.0,35.3,994.8,False,55.3,192,0.9
19,0 days 00:19:10.684000,34.1,34.7,994.7,False,55.3,101,0.5
20,0 days 00:20:10.697000,34.1,34.0,994.7,False,53.8,295,2.0
21,0 days 00:21:10.699000,34.2,33.6,994.7,False,55.5,186,1.4
22,0 days 00:22:10.698000,34.1,34.1,994.8,False,54.5,282,1.6
23,0 days 00:23:10.698000,34.2,34.1,994.8,False,54.8,196,1.7
24,0 days 00:24:10.695000,34.2,34.5,994.8,False,55.4,168,0.5
