,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:16.278000,31.5,38.5,1000.8,False,55.0,354,2.9
1,0 days 00:01:16.275000,31.5,38.6,1000.8,False,54.8,354,2.3
2,0 days 00:02:16.275000,31.5,38.4,1000.8,False,54.8,355,1.3
3,0 days 00:03:16.288000,31.4,39.0,1000.8,False,55.2,360,0.3
4,0 days 00:04:16.277000,31.5,38.6,1000.7,False,55.1,213,0.5
5,0 days 00:05:16.274000,31.5,38.5,1000.8,False,55.0,289,1.0
6,0 days 00:06:16.274000,31.5,38.8,1000.8,False,55.8,77,0.9
7,0 days 00:07:16.291000,31.5,38.4,1000.8,False,56.2,191,0.5
8,0 days 00:08:16.316000,31.7,38.3,1000.8,False,55.8,192,1.9
9,0 days 00:09:16.328000,31.7,37.8,1000.8,False,56.0,201,1.6
10,0 days 00:10:16.331000,31.7,37.8,1000.8,False,55.7,199,1.4
11,0 days 00:11:16.338000,31.6,37.8,1000.8,False,55.0,177,1.5
12,0 days 00:12:16.339000,31.6,38.0,1000.8,False,55.8,228,0.8
13,0 days 00:13:16.361000,31.6,38.0,1000.8,False,56.0,164,1.8
14,0 days 00:14:16.362000,31.5,37.8,1000.8,False,56.3,186,1.3
15,0 days 00:15:16.374000,31.5,37.8,1000.8,False,55.1,157,0.8
16,0 days 00:16:16.367000,31.5,38.0,1000.8,False,55.5,184,0.5
17,0 days 00:17:16.368000,31.7,38.4,1000.8,False,55.9,190,1.4
18,0 days 00:18:16.382000,31.7,37.9,1000.8,False,54.9,242,1.0
19,0 days 00:19:16.365000,31.7,38.7,1000.8,False,56.3,189,0.9
20,0 days 00:20:16.366000,31.7,38.7,1000.8,False,56.1,214,1.3
21,0 days 00:21:16.375000,31.8,38.4,1000.8,False,56.6,203,1.2
22,0 days 00:22:16.366000,31.9,37.9,1000.8,False,55.0,311,1.0
23,0 days 00:23:16.373000,31.9,37.1,1000.8,False,54.2,319,2.0
24,0 days 00:24:16.376000,31.8,36.8,1000.8,False,56.0,354,1.6
25,0 days 00:25:16.399000,31.7,38.5,1000.7,False,56.1,335,0.6
26,0 days 00:26:16.401000,31.6,38.7,1000.7,False,56.7,11,1.1
27,0 days 00:27:16.421000,31.6,38.4,1000.8,False,56.3,326,1.9
28,0 days 00:28:16.413000,31.6,37.5,1000.8,False,56.0,285,0.6
29,0 days 00:29:16.424000,31.6,36.8,1000.8,False,55.0,102,0.3
30,0 days 00:30:16.432000,31.6,37.3,1000.8,False,56.0,0,0.0
31,0 days 00:31:16.424000,31.5,38.7,1000.8,False,56.4,134,0.7
32,0 days 00:32:16.424000,31.6,38.0,1000.7,False,56.8,174,1.4
33,0 days 00:33:16.448000,31.7,37.7,1000.7,False,56.8,199,0.9
34,0 days 00:34:16.459000,31.7,38.4,1000.7,False,55.7,265,0.9
35,0 days 00:35:16.469000,31.6,39.1,1000.8,False,55.7,350,2.8
36,0 days 00:36:16.487000,31.5,38.9,1000.8,False,55.8,356,2.4
37,0 days 00:37:16.509000,31.4,39.7,1000.7,False,54.0,333,3.3
38,0 days 00:38:16.514000,31.5,39.8,1000.8,False,55.9,341,1.1
39,0 days 00:39:16.519000,31.6,40.2,1000.7,False,56.5,54,0.9
40,0 days 00:40:16.515000,31.7,39.3,1000.7,False,55.9,303,0.9
41,0 days 00:41:16.516000,31.8,38.7,1000.7,False,55.8,356,1.9
42,0 days 00:42:16.503000,31.9,38.2,1000.6,False,55.6,310,0.5
43,0 days 00:43:16.517000,31.9,38.2,1000.7,False,55.4,0,1.2
44,0 days 00:44:16.509000,31.9,37.8,1000.7,False,55.2,349,1.7
45,0 days 00:45:16.509000,31.9,38.0,1000.6,False,55.5,356,1.2
46,0 days 00:46:16.527000,32.0,37.5,1000.6,False,55.0,322,0.8
47,0 days 00:47:16.518000,31.9,37.3,1000.6,False,54.5,321,1.2
48,0 days 00:48:16.519000,31.9,37.7,1000.6,False,55.1,211,1.3
49,0 days 00:49:16.519000,31.9,37.7,1000.7,False,55.8,156,1.6
50,0 days 00:50:16.519000,32.1,37.5,1000.6,False,55.0,174,0.9
51,0 days 00:51:16.520000,32.1,38.4,1000.6,False,55.1,169,0.4
52,0 days 00:52:16.511000,32.0,39.3,1000.6,False,55.9,200,1.6
53,0 days 00:53:16.515000,31.8,39.3,1000.6,False,55.4,206,1.6
54,0 days 00:54:16.529000,31.7,39.6,1000.6,False,56.0,189,0.7
55,0 days 00:55:16.521000,31.7,39.7,1000.6,False,55.9,139,0.7
56,0 days 00:56:16.528000,31.8,39.7,1000.5,False,55.7,213,0.7
57,0 days 00:57:16.517000,31.8,39.7,1000.7,False,55.8,214,0.8
58,0 days 00:58:16.517000,31.9,40.5,1000.5,False,56.3,137,0.4
59,0 days 00:59:16.533000,32.0,40.2,1000.6,False,56.2,187,0.9
60,0 days 01:00:16.534000,32.2,38.8,1000.6,False,55.9,208,2.0
61,0 days 01:01:16.531000,32.2,38.3,1000.6,False,56.1,182,2.1
62,0 days 01:02:16.527000,32.3,37.7,1000.6,False,55.9,168,0.4
63,0 days 01:03:16.527000,32.3,37.7,1000.5,False,56.0,156,0.8
64,0 days 01:04:16.533000,32.3,37.4,1000.6,False,55.5,166,1.4
65,0 days 01:05:16.533000,32.1,37.9,1000.6,False,55.4,119,0.5
66,0 days 01:06:16.513000,32.0,37.9,1000.5,False,56.3,211,0.9
67,0 days 01:07:16.535000,32.1,37.4,1000.7,False,56.0,203,0.4
68,0 days 01:08:16.536000,32.2,38.0,1000.6,False,56.5,179,1.3
69,0 days 01:09:16.537000,32.3,38.0,1000.6,False,56.5,188,0.9
70,0 days 01:10:16.530000,32.2,38.3,1000.5,False,56.3,198,0.9
71,0 days 01:11:16.531000,32.1,38.3,1000.6,False,56.0,213,0.8
72,0 days 01:12:16.539000,31.9,38.3,1000.5,False,55.0,264,0.8
73,0 days 01:13:16.544000,31.9,38.4,1000.5,False,55.5,274,0.7
74,0 days 01:14:16.538000,31.8,39.2,1000.5,False,55.4,325,1.3
75,0 days 01:15:16.531000,31.7,39.2,1000.5,False,56.4,347,0.7
76,0 days 01:16:16.539000,31.7,38.9,1000.5,False,57.0,170,0.6
77,0 days 01:17:16.535000,31.8,39.0,1000.5,False,57.1,192,1.6
78,0 days 01:18:16.542000,31.8,38.5,1000.5,False,56.8,184,1.4
79,0 days 01:19:16.531000,31.9,38.0,1000.5,False,56.5,172,1.1
80,0 days 01:20:16.534000,31.9,38.8,1000.5,False,55.5,257,0.4
81,0 days 01:21:16.543000,31.9,39.3,1000.5,False,56.5,214,1.0
82,0 days 01:22:16.544000,32.1,39.5,1000.5,False,56.2,217,1.3
83,0 days 01:23:16.542000,32.0,39.9,1000.4,False,56.2,243,0.7
84,0 days 01:24:16.552000,31.9,40.2,1000.5,False,56.7,216,1.0
85,0 days 01:25:16.543000,31.9,39.3,1000.4,False,55.8,262,0.6
86,0 days 01:26:16.551000,32.0,38.4,1000.4,False,56.2,255,0.7
87,0 days 01:27:16.570000,32.1,38.1,1000.4,False,56.4,221,0.9
88,0 days 01:28:16.589000,32.1,38.9,1000.4,False,56.9,346,1.1
89,0 days 01:29:16.600000,32.2,39.1,1000.3,False,57.0,23,1.8
90,0 days 01:30:16.587000,32.3,38.5,1000.4,False,57.0,22,0.8
91,0 days 01:31:16.603000,32.4,38.4,1000.3,False,56.1,354,1.5
92,0 days 01:32:16.616000,32.3,38.3,1000.4,False,56.7,25,2.0
93,0 days 01:33:16.616000,32.3,38.4,1000.4,False,56.3,5,0.5
94,0 days 01:34:16.617000,32.2,38.3,1000.4,False,56.5,208,0.8
95,0 days 01:35:16.642000,32.3,38.1,1000.4,False,56.6,211,0.9
96,0 days 01:36:16.656000,32.2,38.8,1000.4,False,56.9,221,2.3
97,0 days 01:37:16.668000,32.3,38.1,1000.4,False,56.7,77,1.1
