,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:16.440000,29.6,12.5,942.1,False,52.2,323,1.1
1,0 days 00:01:16.448000,29.6,12.3,942.0,False,52.4,287,2.2
2,0 days 00:02:16.444000,29.5,12.0,942.1,False,52.2,242,0.5
3,0 days 00:03:16.442000,29.5,12.4,942.1,False,52.2,20,0.7
4,0 days 00:04:16.438000,29.5,12.4,942.1,False,52.1,288,0.4
5,0 days 00:05:16.475000,29.4,12.2,942.1,False,52.3,0,0.0
6,0 days 00:06:16.449000,29.5,12.2,942.0,False,52.7,89,0.9
7,0 days 00:07:16.479000,29.6,12.1,942.0,False,52.7,79,0.3
8,0 days 00:08:16.488000,29.6,12.2,942.0,False,53.1,0,0.0
9,0 days 00:09:16.480000,29.6,12.4,942.1,False,53.0,304,0.7
10,0 days 00:10:16.478000,29.8,12.1,942.0,False,52.3,299,3.3
11,0 days 00:11:16.480000,29.8,11.9,942.0,False,52.3,290,1.5
12,0 days 00:12:16.480000,29.9,12.2,942.0,False,52.5,308,0.4
13,0 days 00:13:16.498000,30.0,12.1,942.1,False,52.5,0,0.0
14,0 days 00:14:16.493000,30.1,12.0,942.0,False,52.7,327,1.3
15,0 days 00:15:16.512000,30.1,11.7,942.0,False,52.8,85,0.6
16,0 days 00:16:16.523000,30.1,11.8,941.9,False,52.6,182,0.6
17,0 days 00:17:16.548000,30.1,12.2,942.0,False,52.8,0,0.0
18,0 days 00:18:16.571000,30.2,12.1,941.9,False,51.8,192,0.5
19,0 days 00:19:16.583000,30.4,12.0,942.0,False,52.8,266,1.3
20,0 days 00:20:16.595000,30.5,12.1,941.8,False,52.7,322,1.1
21,0 days 00:21:16.611000,30.5,11.7,941.9,False,52.6,291,1.0
22,0 days 00:22:16.619000,30.6,11.2,941.9,False,52.3,107,1.1
23,0 days 00:23:16.619000,30.4,11.3,941.9,False,52.0,120,0.8
24,0 days 00:24:16.616000,30.2,11.4,941.9,False,51.7,54,1.9
25,0 days 00:25:16.637000,30.3,11.2,941.9,False,51.6,60,1.8
26,0 days 00:26:16.612000,30.3,11.2,941.9,False,51.3,58,1.1
27,0 days 00:27:16.632000,30.2,11.4,941.9,False,51.7,30,0.9
28,0 days 00:28:16.663000,30.2,11.4,941.8,False,52.0,68,1.8
29,0 days 00:29:16.651000,30.1,11.4,941.9,False,51.6,64,2.7
30,0 days 00:30:16.658000,30.0,11.2,941.9,False,51.3,222,0.9
31,0 days 00:31:16.669000,30.2,11.1,942.0,False,51.7,289,1.5
32,0 days 00:32:16.665000,30.2,10.7,941.9,False,51.4,297,1.6
33,0 days 00:33:16.668000,30.3,10.8,941.9,False,51.5,96,0.5
34,0 days 00:34:16.676000,30.3,10.7,941.9,False,51.6,81,2.1
35,0 days 00:35:16.676000,30.4,10.5,941.8,False,51.0,54,1.6
36,0 days 00:36:16.677000,30.1,10.7,941.8,False,50.2,66,2.1
37,0 days 00:37:16.707000,30.1,11.1,941.9,False,50.7,88,1.8
38,0 days 00:38:16.660000,30.2,11.1,941.8,False,50.9,71,2.0
39,0 days 00:39:16.668000,30.3,11.1,941.8,False,51.1,87,1.1
40,0 days 00:40:16.682000,30.2,11.1,941.8,False,50.8,287,0.6
41,0 days 00:41:16.682000,30.1,11.0,941.8,False,50.5,338,0.9
42,0 days 00:42:16.690000,30.1,11.2,941.8,False,51.0,341,0.5
