,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:31.860000,30.4,19.1,943.2,False,54.2,236,0.9
1,0 days 00:01:31.876000,30.4,19.1,943.1,False,54.1,254,1.1
2,0 days 00:02:31.868000,30.4,19.1,943.3,False,54.3,281,0.9
3,0 days 00:03:32.443000,30.5,18.9,943.2,False,54.4,59,2.4
4,0 days 00:04:31.871000,30.5,18.6,943.2,False,54.0,74,2.5
5,0 days 00:05:31.871000,30.4,19.0,943.1,False,53.9,71,2.5
6,0 days 00:06:31.890000,30.3,19.0,943.2,False,54.0,75,2.4
7,0 days 00:07:31.909000,30.4,18.7,943.2,False,54.1,71,3.5
8,0 days 00:08:31.930000,30.3,18.5,943.2,False,53.8,68,1.9
9,0 days 00:09:31.937000,30.1,18.8,943.2,False,53.9,58,0.6
10,0 days 00:10:31.936000,30.1,19.1,943.2,False,54.3,53,0.9
11,0 days 00:11:31.933000,30.2,19.2,943.1,False,54.0,76,1.5
12,0 days 00:12:31.937000,30.3,19.6,943.1,False,54.0,36,0.8
13,0 days 00:13:31.944000,30.3,19.7,943.1,False,53.9,187,0.6
14,0 days 00:14:31.951000,30.4,19.3,943.2,False,54.2,235,0.9
15,0 days 00:15:31.983000,30.5,18.7,943.2,False,54.4,356,0.7
16,0 days 00:16:31.991000,30.6,18.4,943.0,False,54.7,83,0.7
17,0 days 00:17:31.981000,30.7,18.4,943.1,False,54.3,70,1.1
18,0 days 00:18:32.069000,30.7,19.0,943.0,False,54.5,52,1.0
19,0 days 00:19:32.003000,30.8,19.2,943.0,False,54.6,47,0.4
20,0 days 00:20:32.017000,30.8,18.8,943.1,False,54.5,24,0.8
21,0 days 00:21:32.005000,30.7,18.7,943.0,False,54.3,49,1.2
22,0 days 00:22:32.014000,30.8,18.9,943.0,False,54.2,320,0.5
23,0 days 00:23:32.015000,30.8,18.6,943.0,False,54.4,182,0.7
24,0 days 00:24:32.034000,30.7,18.6,943.0,False,54.6,245,0.6
25,0 days 00:25:32.056000,30.8,18.1,943.1,False,54.3,19,1.0
26,0 days 00:26:32.075000,30.9,17.8,943.1,False,54.3,291,1.3
27,0 days 00:27:32.087000,30.9,17.7,943.0,False,54.4,268,0.7
28,0 days 00:28:32.077000,30.9,17.8,943.1,False,54.4,251,1.0
29,0 days 00:29:32.116000,30.8,18.0,943.0,False,54.6,69,1.7
30,0 days 00:30:32.185000,30.9,17.0,942.9,False,54.6,59,1.6
31,0 days 00:31:32.117000,30.9,16.9,943.0,False,54.9,0,0.0
32,0 days 00:32:32.120000,31.0,17.2,943.0,False,55.0,270,0.3
33,0 days 00:33:32.116000,30.9,17.1,942.9,False,54.5,33,2.2
34,0 days 00:34:32.136000,30.9,16.6,942.9,False,54.6,93,1.2
35,0 days 00:35:32.132000,30.8,16.6,943.0,False,54.3,50,0.8
36,0 days 00:36:32.151000,30.9,16.6,942.9,False,53.8,86,1.0
37,0 days 00:37:32.161000,30.9,16.4,943.0,False,53.8,356,1.0
38,0 days 00:38:32.154000,30.9,16.7,943.0,False,53.8,66,1.1
39,0 days 00:39:32.142000,30.8,16.8,943.0,False,53.0,54,1.3
40,0 days 00:40:32.759000,30.5,17.2,942.9,False,53.4,50,0.9
41,0 days 00:41:32.159000,30.5,17.5,942.9,False,53.5,63,2.5
42,0 days 00:42:32.160000,30.6,17.4,943.0,False,53.6,226,0.7
43,0 days 00:43:32.148000,30.8,17.6,942.9,False,53.6,284,3.2
44,0 days 00:44:32.144000,31.0,17.1,943.0,False,53.6,282,2.1
45,0 days 00:45:32.153000,31.0,17.2,943.0,False,53.1,274,2.3
46,0 days 00:46:32.644000,30.8,17.2,942.9,False,53.0,337,1.6
47,0 days 00:47:32.169000,30.9,17.4,942.9,False,53.4,306,1.8
