,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:16:02.504000,ANT,12,,1.0,1.0,0 days 00:14:15.217000,,,38.606,35.956,,0 days 00:15:26.616000,0 days 00:16:02.728000,178.0,244.0,219.0,227.0,False,SOFT,1.0,True,Mercedes,0 days 00:14:15.217000,2026-09-12 14:00:17.747,1,,False,,False,False,,
1,0 days 00:17:36.070000,ANT,12,0 days 00:01:33.566000,2.0,1.0,,,28.878,33.673,31.015,0 days 00:16:31.382000,0 days 00:17:05.055000,0 days 00:17:36.070000,229.0,260.0,222.0,303.0,True,SOFT,2.0,True,Mercedes,0 days 00:16:02.504000,2026-09-12 14:02:05.034,1,,False,,False,True,93.566,93.566
2,0 days 00:19:44.222000,ANT,12,0 days 00:02:08.152000,3.0,1.0,,0 days 00:19:43.198000,41.791,44.498,41.863,0 days 00:18:17.861000,0 days 00:19:02.359000,0 days 00:19:44.222000,182.0,202.0,,190.0,False,SOFT,3.0,True,Mercedes,0 days 00:17:36.070000,2026-09-12 14:03:38.600,1,,False,,False,False,128.152,128.152
3,0 days 00:22:03.442000,ANT,12,0 days 00:02:19.220000,4.0,2.0,0 days 00:20:09.761000,,56.026,44.218,38.976,0 days 00:20:40.248000,0 days 00:21:24.466000,0 days 00:22:03.442000,173.0,198.0,212.0,191.0,False,SOFT,4.0,False,Mercedes,0 days 00:19:44.222000,2026-09-12 14:05:46.752,1,,False,,False,False,139.22,139.22
4,0 days 00:23:51.835000,ANT,12,0 days 00:01:48.393000,5.0,2.0,,0 days 00:23:50.786000,28.785,33.589,46.019,0 days 00:22:32.227000,0 days 00:23:05.816000,0 days 00:23:51.835000,232.0,261.0,,303.0,False,SOFT,5.0,False,Mercedes,0 days 00:22:03.442000,2026-09-12 14:08:05.972,1,,False,,False,False,108.393,108.393
5,0 days 00:28:58.433000,ANT,12,,6.0,3.0,0 days 00:27:08.664000,,,42.067,35.833,,0 days 00:28:22.618000,0 days 00:28:58.614000,182.0,233.0,220.0,209.0,False,SOFT,6.0,False,Mercedes,0 days 00:23:51.835000,2026-09-12 14:09:54.365,1,,False,,False,False,,
6,0 days 00:30:31.700000,ANT,12,0 days 00:01:33.267000,7.0,3.0,,,28.763,33.595,30.909,0 days 00:29:27.196000,0 days 00:30:00.791000,0 days 00:30:31.700000,230.0,256.0,222.0,301.0,True,SOFT,7.0,False,Mercedes,0 days 00:28:58.433000,2026-09-12 14:15:00.963,1,,False,,False,True,93.267,93.267
7,0 days 00:32:33.230000,ANT,12,0 days 00:02:01.530000,8.0,3.0,,0 days 00:32:30.377000,38.725,40.785,42.02,0 days 00:31:10.425000,0 days 00:31:51.210000,0 days 00:32:33.230000,181.0,208.0,,207.0,False,SOFT,8.0,False,Mercedes,0 days 00:30:31.700000,2026-09-12 14:16:34.230,1,,False,,False,False,121.53,121.53
8,0 days 00:40:44.694000,ANT,12,,9.0,4.0,0 days 00:39:01.817000,,,37.402,33.418,,0 days 00:40:11.403000,0 days 00:40:44.744000,195.0,245.0,221.0,243.0,False,SOFT,1.0,True,Mercedes,0 days 00:32:33.230000,2026-09-12 14:18:35.760,12,,False,,False,False,,
9,0 days 00:42:17.297000,ANT,12,0 days 00:01:32.603000,10.0,4.0,,,28.448,33.413,30.742,0 days 00:41:13.142000,0 days 00:41:46.555000,0 days 00:42:17.297000,231.0,259.0,223.0,301.0,True,SOFT,2.0,True,Mercedes,0 days 00:40:44.694000,2026-09-12 14:26:47.224,1,,False,,False,True,92.603,92.603
10,0 days 00:44:23.666000,ANT,12,0 days 00:02:06.369000,11.0,4.0,,0 days 00:44:22.778000,40.602,46.318,39.449,0 days 00:42:57.899000,0 days 00:43:44.217000,0 days 00:44:23.666000,192.0,204.0,,213.0,False,SOFT,3.0,True,Mercedes,0 days 00:42:17.297000,2026-09-12 14:28:19.827,12,,False,,False,False,126.369,126.36899999999999
11,0 days 00:51:16.346000,ANT,12,,12.0,5.0,0 days 00:49:33.229000,,,40.206,34.401,,0 days 00:50:41.945000,0 days 00:51:16.505000,179.0,233.0,221.0,239.0,False,SOFT,4.0,False,Mercedes,0 days 00:44:23.666000,2026-09-12 14:30:26.196,1,,False,,False,False,,
