Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:55:08.537000,NOR,1,0 days 00:01:27.198000,1.0,1.0,,,,33.656,24.811,,0 days 00:54:43.839000,0 days 00:55:08.685000,237.0,252.0,297.0,293.0,False,MEDIUM,1.0,True,McLaren,0 days 00:53:41.090000,2026-06-14 13:03:27.855,1,4.0,False,,False,False,87.198,
1,0 days 00:56:30.788000,NOR,1,0 days 00:01:22.251000,2.0,1.0,,,23.744,33.611,24.896,0 days 00:55:32.301000,0 days 00:56:05.912000,0 days 00:56:30.808000,241.0,246.0,296.0,335.0,True,MEDIUM,2.0,True,McLaren,0 days 00:55:08.537000,2026-06-14 13:04:55.302,1,4.0,False,,False,True,82.251,82.251
2,0 days 00:57:53.210000,NOR,1,0 days 00:01:22.422000,3.0,1.0,,,23.976,33.5,24.946,0 days 00:56:54.784000,0 days 00:57:28.284000,0 days 00:57:53.230000,245.0,263.0,293.0,340.0,False,MEDIUM,3.0,True,McLaren,0 days 00:56:30.788000,2026-06-14 13:06:17.553,1,4.0,False,,False,True,82.422,82.422
3,0 days 00:59:15.983000,NOR,1,0 days 00:01:22.773000,4.0,1.0,,,23.999,33.552,25.222,0 days 00:58:17.229000,0 days 00:58:50.781000,0 days 00:59:16.003000,242.0,252.0,293.0,334.0,False,MEDIUM,4.0,True,McLaren,0 days 00:57:53.210000,2026-06-14 13:07:39.975,1,4.0,False,,False,True,82.773,82.773
4,0 days 01:00:39.270000,NOR,1,0 days 00:01:23.287000,5.0,1.0,,,24.189,33.813,25.285,0 days 00:59:40.192000,0 days 01:00:14.005000,0 days 01:00:39.290000,245.0,254.0,292.0,332.0,False,MEDIUM,5.0,True,McLaren,0 days 00:59:15.983000,2026-06-14 13:09:02.748,1,4.0,False,,False,True,83.287,83.287
5,0 days 01:02:02.496000,NOR,1,0 days 00:01:23.226000,6.0,1.0,,,24.222,33.707,25.297,0 days 01:01:03.512000,0 days 01:01:37.219000,0 days 01:02:02.516000,250.0,251.0,291.0,331.0,False,MEDIUM,6.0,True,McLaren,0 days 01:00:39.270000,2026-06-14 13:10:26.035,1,4.0,False,,False,True,83.226,83.226
6,0 days 01:03:25.853000,NOR,1,0 days 00:01:23.357000,7.0,1.0,,,24.175,33.895,25.287,0 days 01:02:26.691000,0 days 01:03:00.586000,0 days 01:03:25.873000,259.0,256.0,291.0,330.0,False,MEDIUM,7.0,True,McLaren,0 days 01:02:02.496000,2026-06-14 13:11:49.261,1,4.0,False,,False,True,83.357,83.357
7,0 days 01:04:49.245000,NOR,1,0 days 00:01:23.392000,8.0,1.0,,,24.237,33.773,25.382,0 days 01:03:50.110000,0 days 01:04:23.883000,0 days 01:04:49.265000,247.0,256.0,292.0,330.0,False,MEDIUM,8.0,True,McLaren,0 days 01:03:25.853000,2026-06-14 13:13:12.618,1,4.0,False,,False,True,83.392,83.39200000000001
8,0 days 01:06:12.746000,NOR,1,0 days 00:01:23.501000,9.0,1.0,,,24.26,33.774,25.467,0 days 01:05:13.525000,0 days 01:05:47.299000,0 days 01:06:12.766000,252.0,256.0,290.0,330.0,False,MEDIUM,9.0,True,McLaren,0 days 01:04:49.245000,2026-06-14 13:14:36.010,1,4.0,False,,False,True,83.501,83.501
9,0 days 01:07:36.065000,NOR,1,0 days 00:01:23.319000,10.0,1.0,,,24.292,33.706,25.321,0 days 01:06:37.058000,0 days 01:07:10.764000,0 days 01:07:36.085000,252.0,258.0,292.0,330.0,False,MEDIUM,10.0,True,McLaren,0 days 01:06:12.746000,2026-06-14 13:15:59.511,1,4.0,False,,False,True,83.319,83.319
10,0 days 01:08:59.466000,NOR,1,0 days 00:01:23.401000,11.0,1.0,,,24.283,33.758,25.36,0 days 01:08:00.368000,0 days 01:08:34.126000,0 days 01:08:59.486000,257.0,261.0,290.0,332.0,False,MEDIUM,11.0,True,McLaren,0 days 01:07:36.065000,2026-06-14 13:17:22.830,1,3.0,False,,False,True,83.401,83.40100000000001
11,0 days 01:10:23.084000,NOR,1,0 days 00:01:23.618000,12.0,1.0,,,24.221,33.969,25.428,0 days 01:09:23.707000,0 days 01:09:57.676000,0 days 01:10:23.104000,254.0,247.0,290.0,331.0,False,MEDIUM,12.0,True,McLaren,0 days 01:08:59.466000,2026-06-14 13:18:46.231,1,3.0,False,,False,True,83.618,83.618
12,0 days 01:11:50.930000,NOR,1,0 days 00:01:27.846000,13.0,1.0,,0 days 01:11:48.151000,24.308,33.977,29.561,0 days 01:10:47.412000,0 days 01:11:21.389000,0 days 01:11:50.950000,258.0,248.0,,330.0,False,MEDIUM,13.0,True,McLaren,0 days 01:10:23.084000,2026-06-14 13:20:09.849,1,2.0,False,,False,False,87.846,87.846
