,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:18.570000,30.7,52.9,1010.3,False,54.8,110,4.9
1,0 days 00:01:18.570000,30.7,53.4,1010.4,False,54.2,98,2.1
2,0 days 00:02:18.601000,30.7,51.7,1010.4,False,51.4,114,4.0
3,0 days 00:03:18.610000,30.8,52.5,1010.4,False,53.3,106,3.6
4,0 days 00:04:18.613000,30.7,52.6,1010.3,False,52.7,104,4.9
5,0 days 00:05:18.632000,30.6,53.1,1010.4,False,53.6,98,3.3
6,0 days 00:06:18.632000,30.6,52.8,1010.3,False,53.4,106,3.7
7,0 days 00:07:18.625000,30.5,52.7,1010.4,False,53.9,111,3.6
8,0 days 00:08:18.648000,30.6,53.2,1010.4,False,52.1,102,3.7
9,0 days 00:09:18.661000,30.7,53.3,1010.3,False,52.4,114,4.3
10,0 days 00:10:18.667000,30.7,52.9,1010.3,False,53.1,99,3.7
11,0 days 00:11:18.666000,30.7,53.2,1010.3,False,53.7,109,2.4
12,0 days 00:12:18.666000,30.7,53.1,1010.2,False,53.6,108,3.5
13,0 days 00:13:18.675000,30.7,52.5,1010.3,False,52.2,121,3.0
14,0 days 00:14:18.671000,30.8,52.2,1010.3,False,53.4,121,1.9
15,0 days 00:15:18.673000,30.7,52.4,1010.2,False,52.0,104,2.7
16,0 days 00:16:18.717000,30.5,52.3,1010.2,False,52.8,113,1.2
17,0 days 00:17:18.669000,30.5,52.1,1010.3,False,53.3,117,3.2
18,0 days 00:18:18.676000,30.6,52.6,1010.3,False,53.8,116,1.6
19,0 days 00:19:18.678000,30.7,52.1,1010.3,False,53.8,109,4.1
20,0 days 00:20:18.677000,30.8,51.8,1010.3,False,53.8,97,3.4
21,0 days 00:21:18.672000,30.8,52.9,1010.2,False,53.0,106,3.2
22,0 days 00:22:18.675000,30.7,52.9,1010.3,False,53.0,59,1.1
23,0 days 00:23:18.678000,30.7,52.4,1010.1,False,52.9,51,0.4
24,0 days 00:24:18.678000,30.7,52.4,1010.3,False,54.0,94,1.6
25,0 days 00:25:18.681000,30.7,52.1,1010.2,False,53.8,122,1.9
26,0 days 00:26:18.679000,30.6,52.5,1010.3,False,53.8,150,1.0
27,0 days 00:27:18.677000,30.7,51.9,1010.2,False,53.4,106,1.9
28,0 days 00:28:18.674000,30.6,52.0,1010.1,False,53.9,119,1.3
29,0 days 00:29:18.686000,30.7,52.5,1010.3,False,53.8,101,1.3
30,0 days 00:30:18.683000,30.7,52.1,1010.1,False,53.8,113,4.9
31,0 days 00:31:18.682000,30.7,52.3,1010.1,False,53.3,116,3.6
32,0 days 00:32:18.682000,30.5,53.3,1010.1,False,52.8,116,3.0
33,0 days 00:33:18.672000,30.4,53.3,1010.2,False,52.1,120,3.3
34,0 days 00:34:18.682000,30.5,53.3,1010.2,False,52.5,97,4.3
35,0 days 00:35:18.682000,30.7,52.9,1010.3,False,52.3,88,1.8
36,0 days 00:36:18.687000,31.0,52.7,1010.2,False,51.3,110,2.7
37,0 days 00:37:18.683000,31.0,52.6,1010.2,False,51.8,90,2.6
38,0 days 00:38:18.683000,30.8,53.1,1010.2,False,51.9,109,3.2
39,0 days 00:39:18.692000,30.8,52.5,1010.3,False,52.2,113,3.4
40,0 days 00:40:18.686000,30.7,52.8,1010.3,False,51.8,111,3.2
41,0 days 00:41:18.687000,30.6,53.4,1010.3,False,51.4,107,3.2
42,0 days 00:42:18.688000,30.6,54.1,1010.1,False,52.0,103,3.8
43,0 days 00:43:18.691000,30.6,54.0,1010.2,False,51.2,105,4.6
44,0 days 00:44:18.686000,30.5,54.3,1010.2,False,49.9,130,2.0
45,0 days 00:45:18.686000,30.4,53.8,1010.2,False,51.0,146,2.4
46,0 days 00:46:18.687000,30.4,54.0,1010.1,False,50.8,99,3.3
47,0 days 00:47:18.696000,30.3,54.1,1010.2,False,51.0,117,2.4
48,0 days 00:48:18.687000,30.2,55.0,1010.2,False,49.6,115,3.6
49,0 days 00:49:18.689000,30.2,55.4,1010.1,False,49.1,109,4.3
50,0 days 00:50:18.699000,30.1,55.2,1010.0,False,49.8,115,5.6
51,0 days 00:51:18.688000,30.0,54.8,1010.1,False,49.5,111,4.4
52,0 days 00:52:18.694000,30.1,54.9,1010.2,False,49.4,119,4.4
53,0 days 00:53:18.692000,30.1,55.7,1010.0,False,49.6,107,4.0
54,0 days 00:54:18.708000,30.2,55.9,1010.1,False,50.6,97,3.3
55,0 days 00:55:18.689000,30.2,55.8,1010.1,False,50.7,120,1.1
56,0 days 00:56:18.691000,30.3,54.9,1010.0,False,51.3,57,1.2
57,0 days 00:57:18.704000,30.5,53.3,1009.9,False,51.2,89,1.8
58,0 days 00:58:18.705000,30.6,53.6,1010.0,False,51.3,112,2.8
