Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:52.822000,RUS,63,,1.0,1.0,0 days 00:19:03.774000,,,43.956,26.866,,0 days 00:20:25.984000,0 days 00:20:53.023000,208.0,219.0,291.0,157.0,False,SOFT,1.0,True,Mercedes,0 days 00:19:03.774000,2026-06-13 14:06:03.284,1,,False,,False,False,,
1,0 days 00:22:08.539000,RUS,63,0 days 00:01:15.717000,2.0,1.0,,,22.063,30.563,23.091,0 days 00:21:14.885000,0 days 00:21:45.448000,0 days 00:22:08.539000,275.0,277.0,289.0,334.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:52.822000,2026-06-13 14:07:52.332,1,,False,,False,True,75.717,75.717
2,0 days 00:24:03.404000,RUS,63,0 days 00:01:54.865000,3.0,1.0,,0 days 00:24:00.538000,34.623,45.388,34.854,0 days 00:22:43.162000,0 days 00:23:28.550000,0 days 00:24:03.404000,171.0,203.0,,158.0,False,SOFT,3.0,True,Mercedes,0 days 00:22:08.539000,2026-06-13 14:09:08.049,12,,False,,False,False,114.865,114.865
3,0 days 00:44:00.956000,RUS,63,,4.0,2.0,0 days 00:41:56.516000,,,40.458,31.587,,0 days 00:43:29.444000,0 days 00:44:00.956000,204.0,203.0,293.0,118.0,False,SOFT,1.0,True,Mercedes,0 days 00:24:03.404000,2026-06-13 14:11:02.914,12,,False,,False,False,,
4,0 days 00:45:16.184000,RUS,63,0 days 00:01:15.228000,5.0,2.0,,,21.965,30.343,22.92,0 days 00:44:22.921000,0 days 00:44:53.264000,0 days 00:45:16.184000,275.0,288.0,289.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 00:44:00.956000,2026-06-13 14:31:00.466,1,,False,,False,True,75.228,75.22800000000001
5,0 days 00:47:04.002000,RUS,63,0 days 00:01:47.818000,6.0,2.0,,0 days 00:47:01.245000,31.786,40.05,35.982,0 days 00:45:47.970000,0 days 00:46:28.020000,0 days 00:47:04.002000,205.0,193.0,,192.0,False,SOFT,3.0,True,Mercedes,0 days 00:45:16.184000,2026-06-13 14:32:15.694,1,,False,,False,False,107.818,107.818
6,0 days 01:16:20.340000,RUS,63,,7.0,3.0,0 days 01:02:56.319000,0 days 01:04:52.816000,,44.43,,,0 days 01:04:14.719000,,182.0,128.0,,181.0,False,SOFT,1.0,True,Mercedes,0 days 00:47:04.002000,2026-06-13 14:34:03.512,125,,False,,False,False,,
7,0 days 01:18:01.042000,RUS,63,,8.0,4.0,0 days 01:16:20.340000,,,36.629,26.082,,0 days 01:17:35.020000,0 days 01:18:01.042000,215.0,232.0,298.0,191.0,False,SOFT,2.0,False,Mercedes,0 days 01:16:20.340000,2026-06-13 15:03:19.850,1,,False,,False,False,,
8,0 days 01:19:16.187000,RUS,63,0 days 00:01:15.145000,9.0,4.0,,,21.943,30.316,22.886,0 days 01:18:22.985000,0 days 01:18:53.301000,0 days 01:19:16.187000,274.0,278.0,286.0,329.0,True,SOFT,3.0,False,Mercedes,0 days 01:18:01.042000,2026-06-13 15:05:00.552,1,,False,,False,True,75.145,75.145
9,0 days 01:20:57.769000,RUS,63,0 days 00:01:41.582000,10.0,4.0,,0 days 01:20:54.339000,27.421,37.868,36.293,0 days 01:19:43.608000,0 days 01:20:21.476000,0 days 01:20:57.769000,215.0,185.0,,292.0,False,SOFT,4.0,False,Mercedes,0 days 01:19:16.187000,2026-06-13 15:06:15.697,1,,False,,False,False,101.582,101.582
10,0 days 01:23:01.572000,RUS,63,0 days 00:02:03.803000,11.0,5.0,0 days 01:21:22.718000,,57.275,40.303,26.225,0 days 01:21:55.044000,0 days 01:22:35.347000,0 days 01:23:01.572000,205.0,233.0,296.0,172.0,False,SOFT,1.0,True,Mercedes,0 days 01:20:57.769000,2026-06-13 15:07:57.279,1,,False,,False,False,123.803,123.803
11,0 days 01:24:16.251000,RUS,63,0 days 00:01:14.679000,12.0,5.0,,,21.849,30.115,22.715,0 days 01:23:23.421000,0 days 01:23:53.536000,0 days 01:24:16.251000,273.0,281.0,287.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 01:23:01.572000,2026-06-13 15:10:01.082,1,,False,,False,True,74.679,74.679
12,0 days 01:26:12.239000,RUS,63,0 days 00:01:55.988000,13.0,5.0,,0 days 01:26:07.333000,33.787,41.815,40.386,0 days 01:24:50.038000,0 days 01:25:31.853000,0 days 01:26:12.239000,183.0,197.0,,157.0,False,SOFT,3.0,True,Mercedes,0 days 01:24:16.251000,2026-06-13 15:11:15.761,1,,False,,False,False,115.988,115.988
13,0 days 00:21:05.596000,HAM,44,,1.0,1.0,0 days 00:19:19.663000,,,44.951,28.542,,0 days 00:20:37.089000,0 days 00:21:05.900000,189.0,108.0,293.0,176.0,False,SOFT,1.0,True,Ferrari,0 days 00:19:19.663000,2026-06-13 14:06:19.173,1,,False,,False,False,,
14,0 days 00:22:21.221000,HAM,44,0 days 00:01:15.625000,2.0,1.0,,,22.018,30.596,23.011,0 days 00:21:27.614000,0 days 00:21:58.210000,0 days 00:22:21.221000,266.0,297.0,279.0,332.0,True,SOFT,2.0,True,Ferrari,0 days 00:21:05.596000,2026-06-13 14:08:05.106,1,,False,,False,True,75.625,75.625
15,0 days 00:24:14.158000,HAM,44,0 days 00:01:52.937000,3.0,1.0,,0 days 00:24:11.440000,38.058,40.958,33.921,0 days 00:22:59.279000,0 days 00:23:40.237000,0 days 00:24:14.158000,219.0,219.0,,187.0,False,SOFT,3.0,True,Ferrari,0 days 00:22:21.221000,2026-06-13 14:09:20.731,12,,False,,False,False,112.937,112.93699999999998
16,0 days 00:44:08.234000,HAM,44,,4.0,2.0,0 days 00:42:12.101000,,,41.171,30.469,,0 days 00:43:37.765000,0 days 00:44:08.244000,191.0,215.0,294.0,85.0,False,SOFT,1.0,True,Ferrari,0 days 00:24:14.158000,2026-06-13 14:11:13.668,12,,False,,False,False,,
17,0 days 00:45:23.652000,HAM,44,0 days 00:01:15.418000,5.0,2.0,,,21.973,30.503,22.942,0 days 00:44:30.207000,0 days 00:45:00.710000,0 days 00:45:23.652000,269.0,288.0,273.0,331.0,True,SOFT,2.0,True,Ferrari,0 days 00:44:08.234000,2026-06-13 14:31:07.744,1,,False,,False,True,75.418,75.418
18,0 days 00:47:01.694000,HAM,44,0 days 00:01:38.042000,6.0,2.0,,0 days 00:46:58.901000,30.203,35.382,32.457,0 days 00:45:53.855000,0 days 00:46:29.237000,0 days 00:47:01.694000,193.0,216.0,,206.0,False,SOFT,3.0,True,Ferrari,0 days 00:45:23.652000,2026-06-13 14:32:23.162,1,,False,,False,False,98.042,98.042
19,0 days 01:04:00.962000,HAM,44,,7.0,3.0,0 days 01:02:14.932000,,,42.015,29.392,,0 days 01:03:31.570000,0 days 01:04:01.011000,192.0,152.0,293.0,144.0,False,SOFT,1.0,True,Ferrari,0 days 00:47:01.694000,2026-06-13 14:34:01.204,1,,False,,False,False,,
20,0 days 01:16:33.111000,HAM,44,,8.0,3.0,,0 days 01:05:59.186000,21.873,,,0 days 01:04:22.960000,,,267.0,,,333.0,False,SOFT,2.0,True,Ferrari,0 days 01:04:00.962000,2026-06-13 14:51:00.472,125,,False,,False,False,,
21,0 days 01:18:13.145000,HAM,44,,9.0,4.0,0 days 01:16:33.111000,,,38.512,27.92,,0 days 01:17:45.315000,0 days 01:18:13.336000,204.0,224.0,293.0,205.0,False,SOFT,4.0,False,Ferrari,0 days 01:16:33.111000,2026-06-13 15:03:32.621,1,,False,,False,False,,
22,0 days 01:19:28.855000,HAM,44,0 days 00:01:15.710000,10.0,4.0,,,22.157,30.504,23.049,0 days 01:18:35.302000,0 days 01:19:05.806000,0 days 01:19:28.855000,267.0,294.0,274.0,329.0,True,SOFT,5.0,False,Ferrari,0 days 01:18:13.145000,2026-06-13 15:05:12.655,1,,False,,False,True,75.71,75.71000000000001
23,0 days 01:20:58.284000,HAM,44,0 days 00:01:29.429000,11.0,4.0,,0 days 01:20:55.454000,24.3,32.989,32.14,0 days 01:19:53.155000,0 days 01:20:26.144000,0 days 01:20:58.284000,243.0,227.0,,290.0,False,SOFT,6.0,False,Ferrari,0 days 01:19:28.855000,2026-06-13 15:06:28.365,1,,False,,False,False,89.429,89.429
24,0 days 01:23:56.568000,HAM,44,,12.0,5.0,0 days 01:22:14.512000,,,41.239,28.2,,0 days 01:23:28.469000,0 days 01:23:56.818000,207.0,208.0,295.0,208.0,False,SOFT,1.0,True,Ferrari,0 days 01:20:58.284000,2026-06-13 15:07:57.794,1,,False,,False,False,,
25,0 days 01:25:11.311000,HAM,44,0 days 00:01:14.743000,13.0,5.0,,,21.886,30.008,22.849,0 days 01:24:18.454000,0 days 01:24:48.462000,0 days 01:25:11.311000,268.0,288.0,276.0,333.0,True,SOFT,2.0,True,Ferrari,0 days 01:23:56.568000,2026-06-13 15:10:56.078,1,,False,,False,True,74.743,74.743
26,0 days 01:27:01.797000,HAM,44,0 days 00:01:50.486000,14.0,5.0,,0 days 01:26:55.270000,31.086,39.059,40.341,0 days 01:25:42.397000,0 days 01:26:21.456000,0 days 01:27:01.797000,191.0,196.0,,210.0,False,SOFT,3.0,True,Ferrari,0 days 01:25:11.311000,2026-06-13 15:12:10.821,1,,False,,False,False,110.486,110.486
27,0 days 00:20:40.959000,ANT,12,,1.0,1.0,0 days 00:18:53.724000,,,40.499,26.942,,0 days 00:20:14.118000,0 days 00:20:41.270000,197.0,237.0,289.0,161.0,False,SOFT,1.0,True,Mercedes,0 days 00:18:53.724000,2026-06-13 14:05:53.234,1,,False,,False,False,,
28,0 days 00:21:56.936000,ANT,12,0 days 00:01:15.977000,2.0,1.0,,,22.179,30.624,23.174,0 days 00:21:03.138000,0 days 00:21:33.762000,0 days 00:21:56.936000,270.0,282.0,286.0,332.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:40.959000,2026-06-13 14:07:40.469,1,,False,,False,True,75.977,75.977
29,0 days 00:24:25.550000,ANT,12,0 days 00:02:28.614000,3.0,1.0,,0 days 00:23:43.239000,37.327,40.529,70.758,0 days 00:22:34.263000,0 days 00:23:14.792000,0 days 00:24:25.550000,53.0,233.0,,153.0,False,SOFT,3.0,True,Mercedes,0 days 00:21:56.936000,2026-06-13 14:08:56.446,12,,False,,False,False,148.614,148.61399999999998
30,0 days 00:43:40.899000,ANT,12,,4.0,2.0,0 days 00:41:43.347000,,,41.159,30.698,,0 days 00:43:10.380000,0 days 00:43:41.059000,199.0,238.0,288.0,100.0,False,SOFT,1.0,True,Mercedes,0 days 00:24:25.550000,2026-06-13 14:11:25.060,12,,False,,False,False,,
31,0 days 00:44:56.194000,ANT,12,0 days 00:01:15.295000,5.0,2.0,,,22.076,30.339,22.88,0 days 00:44:02.975000,0 days 00:44:33.314000,0 days 00:44:56.194000,271.0,287.0,284.0,333.0,True,SOFT,2.0,True,Mercedes,0 days 00:43:40.899000,2026-06-13 14:30:40.409,1,,False,,False,True,75.295,75.295
32,0 days 00:46:33.855000,ANT,12,0 days 00:01:37.661000,6.0,2.0,,0 days 00:46:31.181000,28.496,36.305,32.86,0 days 00:45:24.690000,0 days 00:46:00.995000,0 days 00:46:33.855000,223.0,211.0,,241.0,False,SOFT,3.0,True,Mercedes,0 days 00:44:56.194000,2026-06-13 14:31:55.704,1,,False,,False,False,97.661,97.661
33,0 days 01:04:27.674000,ANT,12,,7.0,3.0,0 days 01:02:44.997000,,,40.367,29.897,,0 days 01:03:57.777000,0 days 01:04:27.690000,200.0,244.0,291.0,172.0,False,SOFT,1.0,True,Mercedes,0 days 00:46:33.855000,2026-06-13 14:33:33.365,12,,False,,False,False,,
34,0 days 01:16:04.212000,ANT,12,,8.0,3.0,,0 days 01:06:30.550000,,,,,,,,,,,False,SOFT,2.0,True,Mercedes,0 days 01:04:27.674000,2026-06-13 14:51:27.184,251,,False,,False,False,,
35,0 days 01:17:37.812000,ANT,12,,9.0,4.0,0 days 01:16:04.212000,,,36.628,25.768,,0 days 01:17:12.182000,0 days 01:17:38.038000,217.0,248.0,294.0,213.0,False,SOFT,3.0,False,Mercedes,0 days 01:16:04.212000,2026-06-13 15:03:03.722,1,,False,,False,False,,
36,0 days 01:18:53.226000,ANT,12,0 days 00:01:15.414000,10.0,4.0,,,22.082,30.388,22.944,0 days 01:17:59.894000,0 days 01:18:30.282000,0 days 01:18:53.226000,273.0,289.0,287.0,328.0,True,SOFT,4.0,False,Mercedes,0 days 01:17:37.812000,2026-06-13 15:04:37.322,1,,False,,False,True,75.414,75.414
37,0 days 01:20:27.069000,ANT,12,0 days 00:01:33.843000,11.0,4.0,,0 days 01:20:24.258000,27.155,35.885,30.803,0 days 01:19:20.381000,0 days 01:19:56.266000,0 days 01:20:27.069000,219.0,227.0,,256.0,False,SOFT,5.0,False,Mercedes,0 days 01:18:53.226000,2026-06-13 15:05:52.736,1,,False,,False,False,93.843,93.843
38,0 days 01:22:49.413000,ANT,12,0 days 00:02:22.344000,12.0,5.0,0 days 01:21:12.239000,,78.555,37.815,25.974,0 days 01:21:45.624000,0 days 01:22:23.439000,0 days 01:22:49.413000,208.0,246.0,296.0,155.0,False,SOFT,1.0,True,Mercedes,0 days 01:20:27.069000,2026-06-13 15:07:26.579,1,,False,,False,False,142.344,142.344
39,0 days 01:24:04.411000,ANT,12,0 days 00:01:14.998000,13.0,5.0,,,21.879,30.204,22.915,0 days 01:23:11.292000,0 days 01:23:41.496000,0 days 01:24:04.411000,273.0,288.0,284.0,328.0,True,SOFT,2.0,True,Mercedes,0 days 01:22:49.413000,2026-06-13 15:09:48.923,1,,False,,False,True,74.998,74.99799999999999
40,0 days 01:25:49.016000,ANT,12,0 days 00:01:44.605000,14.0,5.0,,0 days 01:25:44.525000,28.776,37.798,38.031,0 days 01:24:33.187000,0 days 01:25:10.985000,0 days 01:25:49.016000,200.0,213.0,,262.0,False,SOFT,3.0,True,Mercedes,0 days 01:24:04.411000,2026-06-13 15:11:03.921,1,,False,,False,False,104.605,104.605
41,0 days 00:22:00.737000,NOR,1,,1.0,1.0,0 days 00:19:54.999000,,,40.762,32.526,,0 days 00:21:28.286000,0 days 00:22:01.043000,208.0,53.0,295.0,168.0,False,SOFT,1.0,True,McLaren,0 days 00:19:54.999000,2026-06-13 14:06:54.509,1,,False,,False,False,,
42,0 days 00:23:17.024000,NOR,1,0 days 00:01:16.287000,2.0,1.0,,,22.048,31.021,23.218,0 days 00:22:22.785000,0 days 00:22:53.806000,0 days 00:23:17.024000,278.0,282.0,294.0,334.0,True,SOFT,2.0,True,McLaren,0 days 00:22:00.737000,2026-06-13 14:09:00.247,1,,False,,False,True,76.287,76.287
43,0 days 00:25:01.102000,NOR,1,0 days 00:01:44.078000,3.0,1.0,,0 days 00:24:57.907000,29.32,39.46,35.298,0 days 00:23:46.344000,0 days 00:24:25.804000,0 days 00:25:01.102000,188.0,177.0,,242.0,False,SOFT,3.0,True,McLaren,0 days 00:23:17.024000,2026-06-13 14:10:16.534,12,,False,,False,False,104.078,104.078
44,0 days 00:44:30.273000,NOR,1,,4.0,2.0,0 days 00:42:41.836000,,,37.651,28.251,,0 days 00:44:02.080000,0 days 00:44:30.280000,81.0,237.0,290.0,140.0,False,SOFT,4.0,False,McLaren,0 days 00:25:01.102000,2026-06-13 14:12:00.612,12,,False,,False,False,,
45,0 days 00:45:46.294000,NOR,1,0 days 00:01:16.021000,5.0,2.0,,,22.126,30.874,23.021,0 days 00:44:52.399000,0 days 00:45:23.273000,0 days 00:45:46.294000,279.0,290.0,283.0,336.0,True,SOFT,5.0,False,McLaren,0 days 00:44:30.273000,2026-06-13 14:31:29.783,1,,False,,False,True,76.021,76.021
46,0 days 00:47:21.345000,NOR,1,0 days 00:01:35.051000,6.0,2.0,,0 days 00:47:18.417000,27.569,35.846,31.636,0 days 00:46:13.863000,0 days 00:46:49.709000,0 days 00:47:21.345000,204.0,204.0,,247.0,False,SOFT,6.0,False,McLaren,0 days 00:45:46.294000,2026-06-13 14:32:45.804,1,,False,,False,False,95.051,95.051
47,0 days 00:50:25.943000,NOR,1,,7.0,3.0,0 days 00:48:48.362000,,,36.928,27.317,,0 days 00:49:58.681000,0 days 00:50:26.160000,217.0,226.0,290.0,160.0,False,SOFT,1.0,True,McLaren,0 days 00:47:21.345000,2026-06-13 14:34:20.855,1,,False,,False,False,,
48,0 days 00:51:41.304000,NOR,1,0 days 00:01:15.361000,8.0,3.0,,,22.099,30.425,22.837,0 days 00:50:48.042000,0 days 00:51:18.467000,0 days 00:51:41.304000,273.0,289.0,283.0,329.0,True,SOFT,2.0,True,McLaren,0 days 00:50:25.943000,2026-06-13 14:37:25.453,1,,False,,False,True,75.361,75.361
49,0 days 00:53:23.052000,NOR,1,0 days 00:01:41.748000,9.0,3.0,,0 days 00:53:20.132000,30.455,38.499,32.794,0 days 00:52:11.759000,0 days 00:52:50.258000,0 days 00:53:23.052000,181.0,112.0,,254.0,False,SOFT,3.0,True,McLaren,0 days 00:51:41.304000,2026-06-13 14:38:40.814,1,,False,,False,False,101.748,101.748
50,0 days 01:03:22.174000,NOR,1,,10.0,4.0,0 days 01:01:36.054000,,,37.99,25.972,,0 days 01:02:56.270000,0 days 01:03:22.174000,215.0,227.0,292.0,134.0,False,SOFT,1.0,True,McLaren,0 days 00:53:23.052000,2026-06-13 14:40:22.562,1,,False,,False,False,,
51,0 days 01:21:28.954000,NOR,1,,11.0,4.0,,0 days 01:06:36.449000,21.928,30.34,,0 days 01:03:44.222000,0 days 01:04:14.423000,,272.0,292.0,,333.0,False,SOFT,2.0,True,McLaren,0 days 01:03:22.174000,2026-06-13 14:50:21.684,125,,False,,False,False,,
52,0 days 01:23:09.404000,NOR,1,,12.0,5.0,0 days 01:21:28.954000,,,40.608,27.264,,0 days 01:22:42.140000,0 days 01:23:09.755000,222.0,211.0,289.0,147.0,False,SOFT,1.0,True,McLaren,0 days 01:21:28.954000,2026-06-13 15:08:28.464,1,,False,,False,False,,
53,0 days 01:24:24.405000,NOR,1,0 days 00:01:15.001000,13.0,5.0,,,21.992,30.237,22.772,0 days 01:23:31.396000,0 days 01:24:01.633000,0 days 01:24:24.405000,274.0,286.0,283.0,329.0,True,SOFT,2.0,True,McLaren,0 days 01:23:09.404000,2026-06-13 15:10:08.914,1,,False,,False,True,75.001,75.001
54,0 days 01:26:11.224000,NOR,1,,14.0,5.0,,0 days 01:26:11.224000,29.846,43.959,,0 days 01:24:54.248000,0 days 01:25:38.400000,,177.0,150.0,,220.0,False,SOFT,3.0,True,McLaren,0 days 01:24:24.405000,2026-06-13 15:11:23.915,1,,False,,False,False,,
55,0 days 00:19:51.022000,VER,3,,1.0,1.0,0 days 00:18:09.310000,,,40.66,25.922,,0 days 00:19:25.123000,0 days 00:19:51.107000,203.0,242.0,292.0,203.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:09.310000,2026-06-13 14:05:08.820,1,,False,,False,False,,
